stage,seed,Kmax_Pa_sqrt_m,Kmax_MPa_sqrt_m,mode,trajectory_name,status,authorized
1,1720,15000000.0,15,static_shield,S1_K15MPa_seed1720_static,COMPLETE_UNCENSORED_K_B_STEP_FUNCTION_VALID,true
1,1720,18000000.0,18,static_shield,S1_K18MPa_seed1720_static,COMPLETE_UNCENSORED_K_B_STEP_FUNCTION_VALID,true
1,1720,21000000.0,21,static_shield,S1_K21MPa_seed1720_static,COMPLETE_UNCENSORED_K_B_STEP_FUNCTION_VALID,true
2,1001723,15000000.0,15,static_shield,S2_K15MPa_seed1001723_static,NOT_AUTHORIZED_STAGE1_DOMINANT_GATE_PASSED,false
2,1001723,18000000.0,18,static_shield,S2_K18MPa_seed1001723_static,NOT_AUTHORIZED_STAGE1_DOMINANT_GATE_PASSED,false
2,1001723,21000000.0,21,static_shield,S2_K21MPa_seed1001723_static,NOT_AUTHORIZED_STAGE1_DOMINANT_GATE_PASSED,false
