trajectory,event_index,blocks_to_fire,waiting_time_s_this_event,cumulative_time_s,accepted_length_m,cumulative_extension_m,pre_event_max_pB,pre_event_K_rebond_Pa_sqrt_m,max_pB_post_commit,max_K_rebond_post_commit_Pa_sqrt_m,max_phase_resolved_K_rebond_Pa_sqrt_m,action_weighted_K_rebond_Pa_sqrt_m,cleavage_action,hazard_threshold_action,hazard_event_index,engine_id,any_bulk_action_used,all_bulk_action_qualified,K_b_applied_Pa_sqrt_m,mpz_mobile_count,mpz_retained_count,mpz_emitted_total,mpz_escaped_total,mpz_recovered_total,r_eff,sigma_tip,mpz_total_K_shield_Pa_sqrt_m
S1_K15MPa_seed1720_static,0,1,0.00144308969830943,0.00144308969830943,4.9999999999999996e-06,4.9999999999999996e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4332087756327596,1,1,False,True,0.0,8.647205279231458e-07,1.834809141300327e-51,8.647205279231458e-07,0.0,0.0,1e-06,5984134206.02149,0.0
S1_K15MPa_seed1720_static,1,3,0.011131582442275221,0.01257467214058465,4.9999999999999996e-06,9.999999999999999e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004735693787404665,2,1,False,True,900000.0,6.661707148403847e-06,1.086286306215577e-49,7.526427676326996e-06,0.0,0.0,1e-06,5984134206.02149,0.0
S1_K15MPa_seed1720_static,2,1,0.00012168674500849519,0.012696358885593145,4.9999999999999996e-06,1.4999999999999999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4743474603364672,3,1,False,True,900000.0,7.295362282666812e-08,1.3061018084028411e-53,7.599381299153663e-06,0.0,0.0,1e-06,5984134206.02149,0.0
S1_K15MPa_seed1720_static,3,4,0.012188667815666389,0.024885026701259534,4.9999999999999996e-06,1.9999999999999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.063242955769338,4,1,False,True,900000.0,7.2936472490944235e-06,1.3018060446417132e-49,1.48930285482481e-05,0.0,0.0,1e-06,5984134206.02149,0.0
S1_K15MPa_seed1720_static,4,96,0.027320722210733943,0.05220574891199348,4.9999999999999996e-06,2.4999999999999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9401919556857865,5,1,False,True,900000.0,1.633167993644952e-05,6.498398423162374e-49,3.122470848469758e-05,0.0,0.0,1e-06,5984134206.02149,0.0
S1_K15MPa_seed1720_static,5,383,0.10124580585663734,0.15345155476863082,4.9999999999999996e-06,2.9999999999999997e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.685684778076526,6,1,False,True,900000.0,6.0348218236840775e-05,8.672714687480618e-48,9.157292672153847e-05,0.0,0.0,1e-06,5984134206.02149,0.0
S1_K15MPa_seed1720_static,6,458,0.12040173085018413,0.27385328561881495,4.9999999999999996e-06,3.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8521657919641812,7,1,False,True,900000.0,7.172734701929318e-05,1.2178333944653319e-47,0.00016330027374082966,0.0,0.0,1e-06,5984134206.02149,0.0
S1_K15MPa_seed1720_static,7,77,0.02189695662069785,0.2957502422395128,4.9999999999999996e-06,3.9999999999999996e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7287324266244588,8,1,False,True,900000.0,1.3093756324074333e-05,4.183539986104792e-49,0.00017639403006490376,0.0,0.0,1e-06,5984134206.02149,0.0
S1_K15MPa_seed1720_static,8,166,0.044420908831999284,0.3401711510715121,4.9999999999999996e-06,4.4999999999999996e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2231995271257637,9,1,False,True,900000.0,2.653100199517025e-05,1.7059253875403254e-48,0.0002029250320600739,0.0,0.0,1e-06,5984134206.02149,0.0
S1_K15MPa_seed1720_static,9,2,0.0057352576333391525,0.34590640870485123,4.9999999999999996e-06,4.9999999999999996e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8975835192495756,10,1,False,True,900000.0,3.4342013006901977e-06,2.891086154227673e-50,0.00020635923336076412,0.0,0.0,1e-06,5984134206.02149,0.0
