A_T_kB,A_sigma_kB,sigma_S_MPa,Lambda_S_ref,sigma_y_300_MPa,T_peak_K,sigma_peak_MPa,peak_amp_frac_vs_300
0.0,0.0,300.0,-0.0,1139.4850985962655,250.0,1556.76959854122,0.3662044378281104
0.0,1.0,300.0,0.0274325883744144,1247.6631557338087,250.0,1650.0175838360549,0.3224864229204578
0.0,2.0,300.0,0.0548651767488289,1355.7236918222586,250.0,1745.1920428684489,0.28727708558570453
0.0,3.0,300.0,0.0822977651232434,1464.5050552746434,250.0,1842.749820893968,0.2582748104945196
0.0,5.0,300.0,0.1371629418720724,1687.3264438466642,250.0,2046.9969863464148,0.21316002236046017
0.0,10.0,300.0,0.2743258837441449,2313.0502319367183,250.0,2640.449689108985,0.14154446481611194
0.0,12.0,300.0,0.3291910604929739,2612.8498450336015,250.0,2930.16231704462,0.12144305675052602
0.0,15.0,300.0,0.4114888256162173,3159.463203963063,250.0,3460.7387038534443,0.09535654648944081
0.0,18.0,300.0,0.4937865907394609,3913.7726835384274,250.0,4188.982529200553,0.0703183010141788
1.0,0.0,300.0,-0.0,1247.6840207491443,250.0,1607.920649671129,0.28872424662911733
1.0,1.0,300.0,0.0274325883744144,1355.7364050156657,250.0,1702.1738586900576,0.25553452160222023
1.0,2.0,300.0,0.0548651767488289,1464.513138841766,250.0,1798.6025897929833,0.22812321862502194
1.0,3.0,300.0,0.0822977651232434,1574.7918229820473,250.0,1897.6776585409568,0.20503398026761954
1.0,5.0,300.0,0.1371629418720724,1802.8977559076768,250.0,2105.840193488596,0.16803084733354812
1.0,10.0,300.0,0.2743258837441449,2458.0191150797164,250.0,2716.340370832343,0.10509326561695564
1.0,12.0,300.0,0.3291910604929739,2779.5566931970775,250.0,3017.6272671962183,0.08565055520609266
1.0,15.0,300.0,0.4114888256162173,3380.2489819790617,250.0,3575.7301157082034,0.0578303949712875
1.0,18.0,300.0,0.4937865907394609,4247.073224974581,450.0,4370.353584622919,0.029027133067402122
1.5,0.0,300.0,-0.0,1301.678117852824,250.0,1633.6877207423724,0.25506275194762673
1.5,1.0,300.0,0.0274325883744144,1409.989797679157,250.0,1728.4943464786263,0.22589138540131848
1.5,2.0,300.0,0.0548651767488289,1519.4205810380483,250.0,1825.6034493403313,0.20151291362204837
1.5,3.0,300.0,0.0822977651232434,1630.7331981613752,250.0,1925.4942457654477,0.18075369283976728
1.5,5.0,300.0,0.1371629418720724,1862.0701964702384,250.0,2135.7466080768563,0.14697427203625413
1.5,10.0,300.0,0.2743258837441449,2534.0865281216293,250.0,2755.325149267061,0.08730507766418816
1.5,12.0,300.0,0.3291910604929739,2868.129664206749,250.0,3062.816532180758,0.06787938160663809
1.5,15.0,300.0,0.4114888256162173,3500.648072137235,250.0,3635.857411262753,0.03862408798007766
1.5,18.0,300.0,0.4937865907394609,4437.45960809886,450.0,5295.171255888105,0.1932888912890216
2.0,0.0,300.0,-0.0,1355.7491165127126,250.0,1659.5947994498986,0.2241164528425026
2.0,1.0,300.0,0.0274325883744144,1464.5212218805525,250.0,1754.9891886592668,0.19833646821842033
2.0,2.0,300.0,0.0548651767488289,1574.797141671114,250.0,1852.8149708439553,0.17654199503932255
2.0,3.0,300.0,0.0822977651232434,1687.3336410355046,250.0,1953.5607328111848,0.15777975694972723
2.0,5.0,300.0,0.1371629418720724,1922.309491584988,250.0,2165.9947043954085,0.126766898814767
2.0,10.0,300.0,0.2743258837441449,2612.850579992096,250.0,2795.0452314702297,0.06973022218464742
2.0,12.0,300.0,0.3291910604929739,2960.672674187973,250.0,3109.0428679264865,0.05011367687892321
2.0,15.0,300.0,0.4114888256162173,3628.915610589133,550.0,4753.607410154115,0.3099250355348977
2.0,18.0,300.0,0.4937865907394609,4647.913642997648,500.0,9879.630823971967,1.1256055044947328
3.0,0.0,300.0,-0.0,1464.5293043926026,250.0,1711.866373589353,0.1688850256904424
3.0,1.0,300.0,0.0274325883744144,1574.802460157831,250.0,1808.5411782953188,0.14842415099736495
3.0,2.0,300.0,0.0548651767488289,1687.3372394377982,250.0,1907.9121387957832,0.1307236598603596
3.0,3.0,300.0,0.0822977651232434,1802.9027378741723,250.0,2010.4895904723985,0.1151403501904904
3.0,5.0,300.0,0.1371629418720724,2046.4494604910308,250.0,2227.5744574360633,0.08850694846945939
3.0,10.0,300.0,0.2743258837441449,2779.5572415296792,800.0,4484.485254356707,0.6133811483906519
3.0,12.0,300.0,0.3291910604929739,3159.4636631387257,800.0,13202.70841367528,3.178781534255479
3.0,15.0,300.0,0.4114888256162173,3913.7728701092383,500.0,9566.61408503232,1.444345750898239
3.0,18.0,300.0,0.4937865907394609,5148.345273027957,400.0,10623.769212372195,1.0635308334951499
