T_K,sigma_GPa,G_cleave_eV,G_emit_eV
300.0,0.0,2.651703999572871,2.1619279970100975
300.0,0.25,2.609281445789662,2.1413465428834075
300.0,0.5,2.520041547539629,2.086886775532522
300.0,0.75,2.3925725415377923,2.0050443845475887
300.0,1.0,2.238064359034292,1.9038741836839876
300.0,1.25,2.0681653492574914,1.7916140521373793
300.0,1.5,1.8931967709497612,1.6755068071043568
300.0,1.75,1.7211750848085143,1.5611572773855378
300.0,2.0,1.5576013661690238,1.4524060849594895
300.0,2.25,1.4057481477072076,1.3515391942274977
300.0,2.5,1.2671601700678539,1.2596405304619207
300.0,2.75,1.1421732468434682,1.1769542933394737
300.0,3.0,1.030353277972621,1.1031904222033555
300.0,3.25,0.9308262457092793,1.0377537528524026
300.0,3.5,0.8425063443391569,0.9799022245472933
300.0,3.75,0.7642430736610665,0.9288487796694739
300.0,4.0,0.6949096601532926,0.8838225556126659
300.0,4.25,0.6334516811491414,0.8441024955453154
300.0,4.5,0.5789100709211832,0.80903322217842
300.0,4.75,0.530428432249289,0.7780300563680439
300.0,5.0,0.4872512641013126,0.7505777606041945
300.0,5.25,0.4487173396464706,0.7262259383840868
300.0,5.5,0.4142508504197491,0.7045828984609674
300.0,5.75,0.3833518702010829,0.685309057116962
300.0,6.0,0.3555870151692172,0.6681104830102039
300.0,6.25,0.3305807568446472,0.6527328986585373
300.0,6.5,0.30800759104041714,0.6389562776338381
300.0,6.75,0.28758511859052954,0.6265900748146326
300.0,7.0,0.26906801202493935,0.615469070859139
300.0,7.25,0.2522428008688745,0.605449783589123
300.0,7.5,0.23692339057238,0.5964073869417843
300.0,7.75,0.22294722606879025,0.588233075528671
300.0,8.0,0.21017201438775127,0.5808318153317229
300.0,8.25,0.19847292785764073,0.5741204260768987
300.0,8.5,0.18774021801991386,0.5680259468362528
300.0,8.75,0.1778771791952182,0.562484242560532
300.0,9.0,0.16879840902030585,0.5574388150784393
300.0,9.25,0.1604283208951434,0.5528397873970524
300.0,9.5,0.152699870022539,0.5486430348210118
300.0,9.75,0.1455534605825986,0.5448094404742609
300.0,10.0,0.13893600661524264,0.5413042562961717
300.0,10.25,0.1328001234671639,0.5380965535512727
300.0,10.5,0.12710343028528143,0.5351587494019234
300.0,10.75,0.12180794709605607,0.5324661982084783
300.0,11.0,0.11687957258168168,0.5299968379995098
300.0,11.25,0.11228763082414092,0.527730884047087
300.0,11.5,0.10800447710106321,0.5256505627339407
300.0,11.75,0.10400515433886098,0.5237398799492888
300.0,12.0,0.10026709310603928,0.5219844191309985
300.0,12.25,0.09676984910281737,0.5203711648113923
300.0,12.5,0.09349487300579186,0.518888348145601
300.0,12.75,0.0904253082863651,0.5175253114244135
300.0,13.0,0.08754581326246774,0.5162723890142902
300.0,13.25,0.08484240418422531,0.5151208025390966
300.0,13.5,0.08230231661189871,0.5140625684324458
300.0,13.75,0.07991388273218301,0.5130904162556434
300.0,14.0,0.07766642258803104,0.5121977164019158
300.0,14.25,0.07555014747695354,0.5113784159993158
300.0,14.5,0.07355607401104926,0.5106269819878927
300.0,14.75,0.07167594753535332,0.5099383504858254
300.0,15.0,0.06990217377491184,0.5093078816780573
300.0,15.25,0.06822775772984827,0.5087313195626653
300.0,15.5,0.06664624896539807,0.5082047559773551
300.0,15.75,0.06515169255365927,0.5077245984033498
300.0,16.0,0.06373858501831998,0.5072875411083355
300.0,16.25,0.06240183471515525,0.5068905392456384
300.0,16.5,0.06113672615152899,0.5065307855747289
300.0,16.75,0.059938887809117755,0.5062056895095873
300.0,17.0,0.05880426308694514,0.505912858237375
300.0,17.25,0.05772908402773765,0.5056500796809993
300.0,17.5,0.05670984753056375,0.5054153071062465
300.0,17.75,0.05574329378753235,0.5052066451977245
300.0,18.0,0.054826386712711415,0.5050223374484147
300.0,18.25,0.05395629615799015,0.5048607547255848
300.0,18.5,0.05313038173386554,0.5047203848915117
300.0,18.75,0.052346178073526324,0.5045998233712261
300.0,19.0,0.05160138139651734,0.5044977645715498
300.0,19.25,0.050893837244018206,0.5044129940663036
300.0,19.5,0.050221529271643375,0.5043443814718913
300.0,19.75,0.04958256899790608,0.5042908739456832
300.0,20.0,0.04897518641729704,0.5042514902468735
600.0,0.0,2.703407999145742,2.2136319965829685
600.0,0.25,2.66297406073072,2.2089594654017772
600.0,0.5,2.5754386899391344,2.168135917718462
600.0,0.75,2.4494469410679507,2.0981115837787563
600.0,1.0,2.296231358553772,2.00728218282973
600.0,1.25,2.1274728781793137,1.9041462865018635
600.0,1.5,1.9535181037847773,1.796149472774389
600.0,1.75,1.782403505355335,1.6890566447500082
600.0,2.0,1.6196461656564693,1.5868364838489541
600.0,2.25,1.4685315757599795,1.491878621639576
600.0,2.5,1.3306150786345594,1.4053518019854665
600.0,2.75,1.2062412463141998,1.3275702920952286
600.0,3.0,1.0949832774387098,1.2583024209219684
600.0,3.25,0.9959732851710968,1.1970020715368452
600.0,3.5,0.9081306514893395,1.1429686847386558
600.0,3.75,0.830309295337513,1.0954505560709475
600.0,4.0,0.7613862310326983,1.0537071256378137
600.0,4.25,0.7003103012864746,1.0170434596338842
600.0,4.5,0.6461252703659155,0.9848268207261817
600.0,4.75,0.5979772058848142,0.9564922484421471
600.0,5.0,0.5551127635407059,0.9315417591092434
600.0,5.25,0.5168726118107098,0.9095401186879022
600.0,5.5,0.4826826145603137,0.8901090145753872
600.0,5.75,0.4520443267764687,0.8729207127099514
600.0,6.0,0.4245256812663786,0.857691814777398
600.0,6.25,0.3997523238407855,0.8441774376175466
600.0,6.5,0.37739980099348097,0.832165960248251
600.0,6.75,0.3571866564770868,0.8214743808969925
600.0,7.0,0.33886841144831537,0.811944269236049
600.0,7.25,0.3222323612662976,0.8034382697584099
600.0,7.5,0.30709310427841935,0.7958370995800013
600.0,7.75,0.2932887138597892,0.7890369808465656
600.0,8.0,0.2806774683507573,0.7829474500256735
600.0,8.25,0.2691350606072312,0.7774894910635248
600.0,8.5,0.258552217434933,0.772593945146308
600.0,8.75,0.24883266797075404,0.768200155754721
600.0,9.0,0.23989140843300358,0.7642548133699235
600.0,9.25,0.23165321826593518,0.7607109693532891
600.0,9.5,0.2240513894331011,0.7575271930954112
600.0,9.75,0.2170266364627439,0.7546668505053261
600.0,10.0,0.21052615986998716,0.7520974853240308
600.0,10.25,0.20450283985595683,0.7497902876515185
600.0,10.5,0.19891454080315793,0.747719636534838
600.0,10.75,0.1937235101383222,0.7458627055365098
