T_K,sigma_GPa,G_cleave_eV,G_emit_eV
300.0,0.0,6.051703999572871,2.1619279970100975
300.0,0.25,5.975618079453027,2.1413465428834075
300.0,0.5,5.789272316770397,2.086886775532522
300.0,0.75,5.511838596583663,2.0050443845475887
300.0,1.0,5.169098841792913,1.9038741836839876
300.0,1.25,4.788165349257491,1.7916140521373793
300.0,1.5,4.3931967709497615,1.6755068071043568
300.0,1.75,4.003054279439387,1.5611572773855378
300.0,2.0,3.6307720978763407,1.4524060849594895
300.0,2.25,3.28420118638124,1.3515391942274977
300.0,2.5,2.967160170067854,1.2596405304619207
300.0,2.75,2.6806347853050068,1.1769542933394737
300.0,3.0,2.4237959009234404,1.1031904222033555
300.0,3.25,2.1947667661553756,1.0377537528524026
300.0,3.5,1.9911549929878052,0.9799022245472933
300.0,3.75,1.8103969198149128,0.9288487796694739
300.0,4.0,1.6499658399285735,0.8838225556126659
300.0,4.25,1.5074876708663651,0.8441024955453154
300.0,4.5,1.380796863374013,0.80903322217842
300.0,4.75,1.267955547216751,0.7780300563680439
300.0,5.0,1.1672512641013126,0.7505777606041945
300.0,5.25,1.077183143713014,0.7262259383840868
300.0,5.5,0.9964426312416667,0.7045828984609674
300.0,5.75,0.9238924107416235,0.685309057116962
300.0,6.0,0.858545595050874,0.6681104830102039
300.0,6.25,0.7995462740860264,0.6527328986585373
300.0,6.5,0.7461519209373243,0.6389562776338381
300.0,6.75,0.6977178085784668,0.6265900748146326
300.0,7.0,0.653683396640324,0.615469070859139
300.0,7.25,0.6135605479464515,0.605449783589123
300.0,7.5,0.5769233905723801,0.5964073869417843
300.0,7.75,0.5433996294618156,0.588233075528671
300.0,8.0,0.5126631175905981,0.5808318153317229
300.0,8.25,0.4844275115414087,0.5741204260768987
300.0,8.5,0.458440854962589,0.5680259468362528
300.0,8.75,0.43448095278012383,0.562484242560532
300.0,9.0,0.41235141761629435,0.5574388150784393
300.0,9.25,0.3918782868583837,0.5528397873970524
300.0,9.5,0.37290712390854935,0.5486430348210118
300.0,9.75,0.35530053029265407,0.5448094404742609
300.0,10.0,0.3389360066152426,0.5413042562961717
300.0,10.25,0.3237041099915884,0.5380965535512727
300.0,10.5,0.30950686376167624,0.5351587494019234
300.0,10.75,0.2962563821909765,0.5324661982084783
300.0,11.0,0.28387367867205493,0.5299968379995098
300.0,11.25,0.27228763082414087,0.527730884047087
300.0,11.5,0.26143407998914986,0.5256505627339407
300.0,11.75,0.2512550460668817,0.5237398799492888
300.0,12.0,0.24169804152534047,0.5219844191309985
300.0,12.25,0.23271547085411684,0.5203711648113923
300.0,12.5,0.22426410377502265,0.518888348145601
300.0,12.75,0.21630461224786082,0.5175253114244135
300.0,13.0,0.20880116276318098,0.5162723890142902
300.0,13.25,0.2017210566421146,0.5151208025390966
300.0,13.5,0.19503441210261485,0.5140625684324458
300.0,13.75,0.188713882732183,0.5130904162556434
300.0,14.0,0.18273440775490368,0.5121977164019158
300.0,14.25,0.17707299011654742,0.5113784159993158
300.0,14.5,0.17170849895331255,0.5106269819878927
300.0,14.75,0.16662149347224245,0.5099383504858254
300.0,15.0,0.1617940656668037,0.5093078816780573
300.0,15.25,0.15720969962987447,0.5087313195626653
300.0,15.5,0.1528531455171222,0.5082047559773551
300.0,15.75,0.1487103064637109,0.5077245984033498
300.0,16.0,0.1447681369725621,0.5072875411083355
300.0,16.25,0.14101455147816103,0.5068905392456384
300.0,16.5,0.1374383419504518,0.5065307855747289
300.0,16.75,0.13402910354239295,0.5062056895095873
300.0,17.0,0.1307771674053194,0.505912858237375
300.0,17.25,0.12767353990101477,0.5056500796809993
300.0,17.5,0.12470984753056372,0.5054153071062465
300.0,17.75,0.12187828697951834,0.5052066451977245
300.0,18.0,0.11917157974829054,0.5050223374484147
300.0,18.25,0.11658293089735285,0.5048607547255848
300.0,18.5,0.11410599148996309,0.5047203848915117
300.0,18.75,0.11173482436173596,0.5045998233712261
300.0,19.0,0.10946387288732741,0.5044977645715498
300.0,19.25,0.1072879324505201,0.5044129940663036
300.0,19.5,0.10520212435573134,0.5043443814718913
300.0,19.75,0.10320187194696771,0.5042908739456832
300.0,20.0,0.10128287872498934,0.5042514902468735
600.0,0.0,6.103407999145742,2.2136319965829685
600.0,0.25,6.029310694394086,2.2089594654017772
600.0,0.5,5.844669459169902,2.168135917718462
600.0,0.75,5.568712996113821,2.0981115837787563
600.0,1.0,5.227265841312392,2.00728218282973
600.0,1.25,4.847472878179314,1.9041462865018635
600.0,1.5,4.453518103784777,1.796149472774389
600.0,1.75,4.064282699986207,1.6890566447500082
600.0,2.0,3.692816897363786,1.5868364838489541
600.0,2.25,3.346984614434012,1.491878621639576
600.0,2.5,3.0306150786345594,1.4053518019854665
600.0,2.75,2.7447027847757384,1.3275702920952286
600.0,3.0,2.4884259003895295,1.2583024209219684
600.0,3.25,2.2599138056171935,1.1970020715368452
600.0,3.5,2.056779300137988,1.1429686847386558
600.0,3.75,1.876463141491359,1.0954505560709475
600.0,4.0,1.7164424108079792,1.0537071256378137
600.0,4.25,1.5743462910036983,1.0170434596338842
600.0,4.5,1.4480120628187454,0.9848268207261817
600.0,4.75,1.335504320852276,0.9564922484421471
600.0,5.0,1.235112763540706,0.9315417591092434
600.0,5.25,1.145338415877253,0.9095401186879022
600.0,5.5,1.0648743953822313,0.8901090145753872
600.0,5.75,0.9925848673170095,0.8729207127099514
600.0,6.0,0.9274842611480354,0.857691814777398
600.0,6.25,0.8687178410821648,0.8441774376175466
600.0,6.5,0.8155441308903881,0.832165960248251
600.0,6.75,0.767319346465024,0.8214743808969925
600.0,7.0,0.7234837960637,0.811944269236049
600.0,7.25,0.6835501083438746,0.8034382697584099
600.0,7.5,0.6470931042784193,0.7958370995800013
600.0,7.75,0.6137411172528147,0.7890369808465656
600.0,8.0,0.5831685715536042,0.7829474500256735
600.0,8.25,0.5550896442909992,0.7774894910635248
600.0,8.5,0.5292528543776082,0.772593945146308
600.0,8.75,0.5054364415556596,0.768200155754721
600.0,9.0,0.48344441702899205,0.7642548133699235
600.0,9.25,0.4631031842291754,0.7607109693532891
600.0,9.5,0.4442586433191114,0.7575271930954112
600.0,9.75,0.42677370617279936,0.7546668505053261
600.0,10.0,0.41052615986998714,0.7520974853240308
600.0,10.25,0.39540682638038127,0.7497902876515185
600.0,10.5,0.3813179742795527,0.747719636534838
600.0,10.75,0.36817194523324265,0.7458627055365098
600.0,11.0,0.3558899637914111,0.7441991219442614
600.0,11.25,0.344401103912619,0.742710671744814
600.0,11.5,0.33364138973746976,0.7413810437104028
600.0,11.75,0.32355301157132005,0.7401956069746983
600.0,12.0,0.3140836409273599,0.7391412173370571
600.0,12.25,0.3051858309111738,0.7382060482577508
600.0,12.5,0.2968164902724385,0.7373794431148306
600.0,12.75,0.2889364211716559,0.7366517858046766
600.0,13.0,0.2815099121625309,0.7360143871989921
600.0,13.25,0.2745043791177716,0.735459385334255
600.0,13.5,0.2678900478643877,0.7349796575165313
600.0,13.75,0.2616396731745161,0.7345687427842106
600.0,14.0,0.25572828950483933,0.7342207733913032
600.0,14.25,0.2501329895129957,0.7339304141608043
600.0,14.5,0.24483272692065874,0.733692808716565
600.0,14.75,0.23980814075496837,0.7335035317375354
600.0,15.0,0.23504139839503774,0.7333585464938319
600.0,15.25,0.2305160551886711,0.7332541670229409
600.0,15.5,0.22621692869484467,0.7331870243890372
