condition_id,observable,T_K,Kdot,Kmax,R,frequency_Hz,cycles_max,target_rate_s
Kc_T300_kd0.005,Kc,300.0,0.005,80.0,,,,
Kc_T400_kd0.005,Kc,400.0,0.005,80.0,,,,
Kc_T500_kd0.005,Kc,500.0,0.005,80.0,,,,
Kc_T600_kd0.005,Kc,600.0,0.005,80.0,,,,
Kc_T700_kd0.005,Kc,700.0,0.005,80.0,,,,
Kc_T800_kd0.005,Kc,800.0,0.005,80.0,,,,
Kc_T900_kd0.005,Kc,900.0,0.005,80.0,,,,
Kc_T1000_kd0.005,Kc,1000.0,0.005,80.0,,,,
Kc_T1100_kd0.005,Kc,1100.0,0.005,80.0,,,,
Kc_T1200_kd0.005,Kc,1200.0,0.005,80.0,,,,
Kc_T300_kd0.02,Kc,300.0,0.02,80.0,,,,
Kc_T400_kd0.02,Kc,400.0,0.02,80.0,,,,
Kc_T500_kd0.02,Kc,500.0,0.02,80.0,,,,
Kc_T600_kd0.02,Kc,600.0,0.02,80.0,,,,
Kc_T700_kd0.02,Kc,700.0,0.02,80.0,,,,
Kc_T800_kd0.02,Kc,800.0,0.02,80.0,,,,
Kc_T900_kd0.02,Kc,900.0,0.02,80.0,,,,
Kc_T1000_kd0.02,Kc,1000.0,0.02,80.0,,,,
Kc_T1100_kd0.02,Kc,1100.0,0.02,80.0,,,,
Kc_T1200_kd0.02,Kc,1200.0,0.02,80.0,,,,
Kc_T300_kd0.08,Kc,300.0,0.08,80.0,,,,
Kc_T400_kd0.08,Kc,400.0,0.08,80.0,,,,
Kc_T500_kd0.08,Kc,500.0,0.08,80.0,,,,
Kc_T600_kd0.08,Kc,600.0,0.08,80.0,,,,
Kc_T700_kd0.08,Kc,700.0,0.08,80.0,,,,
Kc_T800_kd0.08,Kc,800.0,0.08,80.0,,,,
Kc_T900_kd0.08,Kc,900.0,0.08,80.0,,,,
Kc_T1000_kd0.08,Kc,1000.0,0.08,80.0,,,,
Kc_T1100_kd0.08,Kc,1100.0,0.08,80.0,,,,
Kc_T1200_kd0.08,Kc,1200.0,0.08,80.0,,,,
fat_T300_K6_f1000_R01,fatigue_life,300.0,,6.0,0.1,1000.0,1000000000000.0,
fat_T300_K10_f1000_R01,fatigue_life,300.0,,10.0,0.1,1000.0,1000000000000.0,
fat_T300_K14_f1000_R01,fatigue_life,300.0,,14.0,0.1,1000.0,1000000000000.0,
fat_T300_K20_f1000_R01,fatigue_life,300.0,,20.0,0.1,1000.0,1000000000000.0,
fat_T300_K28_f1000_R01,fatigue_life,300.0,,28.0,0.1,1000.0,1000000000000.0,
fat_T300_K40_f1000_R01,fatigue_life,300.0,,40.0,0.1,1000.0,1000000000000.0,
fat_T300_K56_f1000_R01,fatigue_life,300.0,,56.0,0.1,1000.0,1000000000000.0,
fat_T700_K6_f1000_R01,fatigue_life,700.0,,6.0,0.1,1000.0,1000000000000.0,
fat_T700_K10_f1000_R01,fatigue_life,700.0,,10.0,0.1,1000.0,1000000000000.0,
fat_T700_K14_f1000_R01,fatigue_life,700.0,,14.0,0.1,1000.0,1000000000000.0,
fat_T700_K20_f1000_R01,fatigue_life,700.0,,20.0,0.1,1000.0,1000000000000.0,
fat_T700_K28_f1000_R01,fatigue_life,700.0,,28.0,0.1,1000.0,1000000000000.0,
fat_T700_K40_f1000_R01,fatigue_life,700.0,,40.0,0.1,1000.0,1000000000000.0,
fat_T700_K56_f1000_R01,fatigue_life,700.0,,56.0,0.1,1000.0,1000000000000.0,
fat_T1100_K6_f1000_R01,fatigue_life,1100.0,,6.0,0.1,1000.0,1000000000000.0,
fat_T1100_K10_f1000_R01,fatigue_life,1100.0,,10.0,0.1,1000.0,1000000000000.0,
fat_T1100_K14_f1000_R01,fatigue_life,1100.0,,14.0,0.1,1000.0,1000000000000.0,
