T_K,sigma_GPa,G_cleave_eV,G_emit_eV
300.0,0.0,4.051703999572871,2.1619279970100975
300.0,0.25,3.9954200596510483,2.1413465428834075
300.0,0.5,3.866195393693475,2.086886775532522
300.0,0.75,3.6769762112625632,2.0050443845475887
300.0,1.0,3.4449609107584305,1.9038741836839876
300.0,1.25,3.188165349257491,1.7916140521373793
300.0,1.5,2.9226085356556437,1.6755068071043568
300.0,1.75,2.6607724002447557,1.5611572773855378
300.0,2.0,2.4112599027543897,1.4524060849594895
300.0,2.25,2.179228810690633,1.3515391942274977
300.0,2.5,1.967160170067854,1.2596405304619207
300.0,2.75,1.7756574097393958,1.1769542933394737
300.0,3.0,1.6041237697758999,1.1031904222033555
300.0,3.25,1.4512723423635543,1.0377537528524026
300.0,3.5,1.3154793173121297,0.9799022245472933
300.0,3.75,1.1950123044302974,0.9288487796694739
300.0,4.0,1.088168087119585,0.8838225556126659
300.0,4.25,0.9933488533856453,0.8441024955453154
300.0,4.5,0.9090987501664661,0.80903322217842
300.0,4.75,0.8341160678241263,0.7780300563680439
300.0,5.0,0.7672512641013126,0.7505777606041945
300.0,5.25,0.7074973766150472,0.7262259383840868
300.0,5.5,0.6539768778170092,0.7045828984609674
300.0,5.75,0.6059273868942467,0.685309057116962
300.0,6.0,0.5626876068851935,0.6681104830102039
300.0,6.25,0.5236842051205093,0.6527328986585373
300.0,6.5,0.4884199621744377,0.6389562776338381
300.0,6.75,0.4564632850561508,0.6265900748146326
300.0,7.0,0.42743905274892124,0.615469070859139
300.0,7.25,0.4010206967243474,0.605449783589123
300.0,7.5,0.37692339057237995,0.5964073869417843
300.0,7.75,0.35489821570121244,0.588233075528671
300.0,8.0,0.3347271745301,0.5808318153317229
300.0,8.25,0.3162189329038981,0.5741204260768987
300.0,8.5,0.29920518617278014,0.5680259468362528
300.0,8.75,0.2835375565537087,0.562484242560532
300.0,9.0,0.2690849419715952,0.5574388150784393
300.0,9.25,0.2557312480564776,0.5528397873970524
300.0,9.5,0.24337344515207268,0.5486430348210118
300.0,9.75,0.231919901051445,0.5448094404742609
300.0,10.0,0.2212889477917132,0.5413042562961717
300.0,10.25,0.21140764733016223,0.5380965535512727
300.0,10.5,0.2022107264226205,0.5351587494019234
300.0,10.75,0.1936396556645527,0.5324661982084783
300.0,11.0,0.18564185156007063,0.5299968379995098
300.0,11.25,0.1781699837653174,0.527730884047087
300.0,11.5,0.17118137240792244,0.5256505627339407
300.0,11.75,0.16463746269745777,0.5237398799492888
300.0,12.0,0.15850336598457507,0.5219844191309985
300.0,12.25,0.15274745805923481,0.5203711648113923
300.0,12.5,0.1473410268519457,0.518888348145601
300.0,12.75,0.14225796285874567,0.5175253114244135
300.0,13.0,0.13747448658629083,0.5162723890142902
300.0,13.25,0.13296890813747383,0.5151208025390966
300.0,13.5,0.12872141475513477,0.5140625684324458
300.0,13.75,0.12471388273218302,0.5130904162556434
300.0,14.0,0.12092971059791975,0.5121977164019158
300.0,14.25,0.11735367091678632,0.5113784159993158
300.0,14.5,0.11397177839904005,0.5106269819878927
300.0,14.75,0.11077117233289586,0.5099383504858254
