class,rate_factor,rate_label,n,RMSE_MPa_sqrt_m,mean_abs_percent_error,bias_MPa_sqrt_m,complete_fraction
DBTT,0.1,0.1x,9,1.224125465304153,3.436927527858062,1.0282610618603742,1.0
DBTT,1.0,1x,10,1.3257949610302504,4.4939285784338106,1.1566179834167873,1.0
DBTT,10.0,10x,10,1.3406889926700982,5.097418314238531,1.0979877244198597,1.0
DBTT,100.0,100x,9,1.606952195851565,6.780343304223845,1.527013391192178,1.0
ceramic,0.1,0.1x,10,0.18568773763148144,72.1128253381345,-0.05366356672612778,1.0
ceramic,1.0,1x,10,0.23285577081145822,74.00440795157675,-0.0439138390284822,1.0
ceramic,10.0,10x,10,0.24998491171522458,25.97830685989377,-0.050013700596245415,1.0
ceramic,100.0,100x,10,0.2554638837251787,167.25365865823605,-0.08406072896089897,1.0
peak,0.1,0.1x,10,0.6487342123318188,24.48046454877617,0.21595326938644438,1.0
peak,1.0,1x,10,1.1787161422579082,25.5563347809201,-0.2874273752349596,1.0
peak,10.0,10x,10,0.6649845859618997,64.14581616630674,0.2955543910123287,0.9
peak,100.0,100x,10,0.19795669983940734,21.856792399494744,0.104354294659349,1.0
weakT,0.1,0.1x,10,0.2657841777087155,1.5495757460810367,0.21528064365379668,1.0
weakT,1.0,1x,10,0.2266527752524972,1.2366434754593159,0.15447079973148342,1.0
weakT,10.0,10x,10,0.2423041973552354,1.358241502162913,0.18486970392537874,1.0
weakT,100.0,100x,10,0.18882655612205743,0.9004014806333183,0.1101657044159424,1.0
