analysis_family,context_id,row_class,column_class,observed,expected,standardized_residual
strength_vs_fracture_class,ctx_FCC_like_case29,highT_anomaly,ceramic_like,660,554.803125,4.466150866612291
strength_vs_fracture_class,ctx_FCC_like_case29,highT_anomaly,peak_shaped,53,158.196875,-8.363804804432558
strength_vs_fracture_class,ctx_FCC_like_case29,lowT_anomaly,ceramic_like,530,498.0,1.4339542878343068
strength_vs_fracture_class,ctx_FCC_like_case29,lowT_anomaly,peak_shaped,110,142.0,-2.685380346549405
strength_vs_fracture_class,ctx_FCC_like_case29,midT_anomaly,ceramic_like,123,631.8375,-20.243071598492797
strength_vs_fracture_class,ctx_FCC_like_case29,midT_anomaly,peak_shaped,689,180.1625,37.909399961755504
strength_vs_fracture_class,ctx_FCC_like_case29,ordinary_softening,ceramic_like,435,338.484375,5.246000341051577
strength_vs_fracture_class,ctx_FCC_like_case29,ordinary_softening,peak_shaped,0,96.515625,-9.824236611564281
strength_vs_fracture_class,ctx_FCC_like_case29,plateau,ceramic_like,766,596.04375,6.961423753998236
strength_vs_fracture_class,ctx_FCC_like_case29,plateau,peak_shaped,0,169.95625,-13.036726966535735
strength_vs_fracture_class,ctx_FCC_like_case29,strong_softening,ceramic_like,474,368.83125,5.476118744697205
strength_vs_fracture_class,ctx_FCC_like_case29,strong_softening,peak_shaped,0,105.16875,-10.255181617114346
fracture_vs_fatigue_temperature_phenotype,ctx_FCC_like_case29,ceramic_like,intermediate_temperature_window,1551,1599.046875,-1.201529805843132
fracture_vs_fatigue_temperature_phenotype,ctx_FCC_like_case29,ceramic_like,low_temperature_endurance,563,480.103125,3.783300977890385
fracture_vs_fatigue_temperature_phenotype,ctx_FCC_like_case29,ceramic_like,no_endurance,874,908.85,-1.155996919179479
fracture_vs_fatigue_temperature_phenotype,ctx_FCC_like_case29,peak_shaped,intermediate_temperature_window,504,455.953125,2.2501167253229055
fracture_vs_fatigue_temperature_phenotype,ctx_FCC_like_case29,peak_shaped,low_temperature_endurance,54,136.896875,-7.085025078764521
fracture_vs_fatigue_temperature_phenotype,ctx_FCC_like_case29,peak_shaped,no_endurance,294,259.15,2.1648468391029594
strength_vs_fatigue_temperature_phenotype,ctx_FCC_like_case29,highT_anomaly,intermediate_temperature_window,381,381.56640625,-0.0289963258183737
strength_vs_fatigue_temperature_phenotype,ctx_FCC_like_case29,highT_anomaly,low_temperature_endurance,149,114.56276041666666,3.217411407418244
strength_vs_fatigue_temperature_phenotype,ctx_FCC_like_case29,highT_anomaly,no_endurance,183,216.87083333333334,-2.2999866102649724
strength_vs_fatigue_temperature_phenotype,ctx_FCC_like_case29,lowT_anomaly,intermediate_temperature_window,389,342.5,2.5125960053560914
strength_vs_fatigue_temperature_phenotype,ctx_FCC_like_case29,lowT_anomaly,low_temperature_endurance,88,102.83333333333333,-1.462755701048824
strength_vs_fatigue_temperature_phenotype,ctx_FCC_like_case29,lowT_anomaly,no_endurance,163,194.66666666666666,-2.269637792195608
strength_vs_fatigue_temperature_phenotype,ctx_FCC_like_case29,midT_anomaly,intermediate_temperature_window,486,434.546875,2.468274412969726
strength_vs_fatigue_temperature_phenotype,ctx_FCC_like_case29,midT_anomaly,low_temperature_endurance,47,130.46979166666668,-7.307592898696219
strength_vs_fatigue_temperature_phenotype,ctx_FCC_like_case29,midT_anomaly,no_endurance,279,246.98333333333332,2.0372404500956565
strength_vs_fatigue_temperature_phenotype,ctx_FCC_like_case29,ordinary_softening,intermediate_temperature_window,231,232.79296875,-0.11751350796072055
strength_vs_fatigue_temperature_phenotype,ctx_FCC_like_case29,ordinary_softening,low_temperature_endurance,99,69.89453125,3.481392583343156
strength_vs_fatigue_temperature_phenotype,ctx_FCC_like_case29,ordinary_softening,no_endurance,105,132.3125,-2.374438998456801
strength_vs_fatigue_temperature_phenotype,ctx_FCC_like_case29,plateau,intermediate_temperature_window,415,409.9296875,0.2504263602432283
strength_vs_fatigue_temperature_phenotype,ctx_FCC_like_case29,plateau,low_temperature_endurance,156,123.07864583333334,2.967469994287276
strength_vs_fatigue_temperature_phenotype,ctx_FCC_like_case29,plateau,no_endurance,195,232.99166666666667,-2.4889613468082534
strength_vs_fatigue_temperature_phenotype,ctx_FCC_like_case29,strong_softening,intermediate_temperature_window,153,253.6640625,-6.3204060697979285
strength_vs_fatigue_temperature_phenotype,ctx_FCC_like_case29,strong_softening,low_temperature_endurance,78,76.1609375,0.2107319317012706
strength_vs_fatigue_temperature_phenotype,ctx_FCC_like_case29,strong_softening,no_endurance,243,144.175,8.230417063702365
fracture_vs_growth_threshold_class,ctx_FCC_like_case29,ceramic_like,intermediate_threshold_window,0,7.916666666666667,-2.8136571693556887
fracture_vs_growth_threshold_class,ctx_FCC_like_case29,ceramic_like,mixed_or_unresolved,1,0.7916666666666666,0.23414645289542355
fracture_vs_growth_threshold_class,ctx_FCC_like_case29,ceramic_like,threshold_loss_by_300K,2,1.5833333333333333,0.331133089266261
fracture_vs_growth_threshold_class,ctx_FCC_like_case29,ceramic_like,threshold_loss_by_500K,5,3.9583333333333335,0.5235673853646193
fracture_vs_growth_threshold_class,ctx_FCC_like_case29,ceramic_like,threshold_loss_by_700K,68,61.75,0.7953559537197222
fracture_vs_growth_threshold_class,ctx_FCC_like_case29,peak_shaped,intermediate_threshold_window,10,2.0833333333333335,5.484827557301444
fracture_vs_growth_threshold_class,ctx_FCC_like_case29,peak_shaped,mixed_or_unresolved,0,0.20833333333333334,-0.45643546458763845
fracture_vs_growth_threshold_class,ctx_FCC_like_case29,peak_shaped,threshold_loss_by_300K,0,0.4166666666666667,-0.6454972243679029
fracture_vs_growth_threshold_class,ctx_FCC_like_case29,peak_shaped,threshold_loss_by_500K,0,1.0416666666666667,-1.0206207261596576
fracture_vs_growth_threshold_class,ctx_FCC_like_case29,peak_shaped,threshold_loss_by_700K,10,16.25,-1.5504341823651058
strength_vs_growth_threshold_class,ctx_FCC_like_case29,highT_anomaly,intermediate_threshold_window,2,1.875,0.09128709291752768
strength_vs_growth_threshold_class,ctx_FCC_like_case29,highT_anomaly,mixed_or_unresolved,0,0.1875,-0.43301270189221935
strength_vs_growth_threshold_class,ctx_FCC_like_case29,highT_anomaly,threshold_loss_by_300K,0,0.375,-0.6123724356957946
strength_vs_growth_threshold_class,ctx_FCC_like_case29,highT_anomaly,threshold_loss_by_500K,0,0.9375,-0.9682458365518541
strength_vs_growth_threshold_class,ctx_FCC_like_case29,highT_anomaly,threshold_loss_by_700K,16,14.625,0.3595462477533374
strength_vs_growth_threshold_class,ctx_FCC_like_case29,lowT_anomaly,intermediate_threshold_window,4,1.875,1.5518805795979707
strength_vs_growth_threshold_class,ctx_FCC_like_case29,lowT_anomaly,mixed_or_unresolved,0,0.1875,-0.43301270189221935
strength_vs_growth_threshold_class,ctx_FCC_like_case29,lowT_anomaly,threshold_loss_by_300K,0,0.375,-0.6123724356957946
strength_vs_growth_threshold_class,ctx_FCC_like_case29,lowT_anomaly,threshold_loss_by_500K,0,0.9375,-0.9682458365518541
strength_vs_growth_threshold_class,ctx_FCC_like_case29,lowT_anomaly,threshold_loss_by_700K,14,14.625,-0.16343011261515336
strength_vs_growth_threshold_class,ctx_FCC_like_case29,midT_anomaly,intermediate_threshold_window,4,1.5625,1.95
strength_vs_growth_threshold_class,ctx_FCC_like_case29,midT_anomaly,mixed_or_unresolved,0,0.15625,-0.3952847075210474
strength_vs_growth_threshold_class,ctx_FCC_like_case29,midT_anomaly,threshold_loss_by_300K,0,0.3125,-0.5590169943749475
strength_vs_growth_threshold_class,ctx_FCC_like_case29,midT_anomaly,threshold_loss_by_500K,0,0.78125,-0.8838834764831843
strength_vs_growth_threshold_class,ctx_FCC_like_case29,midT_anomaly,threshold_loss_by_700K,11,12.1875,-0.3401545651687306
strength_vs_growth_threshold_class,ctx_FCC_like_case29,ordinary_softening,intermediate_threshold_window,0,1.5625,-1.25
strength_vs_growth_threshold_class,ctx_FCC_like_case29,ordinary_softening,mixed_or_unresolved,0,0.15625,-0.3952847075210474
strength_vs_growth_threshold_class,ctx_FCC_like_case29,ordinary_softening,threshold_loss_by_300K,0,0.3125,-0.5590169943749475
strength_vs_growth_threshold_class,ctx_FCC_like_case29,ordinary_softening,threshold_loss_by_500K,1,0.78125,0.24748737341529162
strength_vs_growth_threshold_class,ctx_FCC_like_case29,ordinary_softening,threshold_loss_by_700K,14,12.1875,0.5191832836785889
strength_vs_growth_threshold_class,ctx_FCC_like_case29,plateau,intermediate_threshold_window,0,1.5625,-1.25
strength_vs_growth_threshold_class,ctx_FCC_like_case29,plateau,mixed_or_unresolved,0,0.15625,-0.3952847075210474
strength_vs_growth_threshold_class,ctx_FCC_like_case29,plateau,threshold_loss_by_300K,0,0.3125,-0.5590169943749475
strength_vs_growth_threshold_class,ctx_FCC_like_case29,plateau,threshold_loss_by_500K,0,0.78125,-0.8838834764831843
strength_vs_growth_threshold_class,ctx_FCC_like_case29,plateau,threshold_loss_by_700K,15,12.1875,0.805629233294362
strength_vs_growth_threshold_class,ctx_FCC_like_case29,strong_softening,intermediate_threshold_window,0,1.5625,-1.25
strength_vs_growth_threshold_class,ctx_FCC_like_case29,strong_softening,mixed_or_unresolved,1,0.15625,2.134537420613656
strength_vs_growth_threshold_class,ctx_FCC_like_case29,strong_softening,threshold_loss_by_300K,2,0.3125,3.018691769624716
strength_vs_growth_threshold_class,ctx_FCC_like_case29,strong_softening,threshold_loss_by_500K,4,0.78125,3.6415999231107197
strength_vs_growth_threshold_class,ctx_FCC_like_case29,strong_softening,threshold_loss_by_700K,8,12.1875,-1.1994924140160501
growth_threshold_vs_SN_temperature_phenotype,ctx_FCC_like_case29,intermediate_threshold_window,intermediate_temperature_window,3,3.3333333333333335,-0.18257418583505544
growth_threshold_vs_SN_temperature_phenotype,ctx_FCC_like_case29,intermediate_threshold_window,low_temperature_endurance,3,3.3333333333333335,-0.18257418583505544
growth_threshold_vs_SN_temperature_phenotype,ctx_FCC_like_case29,intermediate_threshold_window,no_endurance,4,3.3333333333333335,0.36514837167011066
growth_threshold_vs_SN_temperature_phenotype,ctx_FCC_like_case29,mixed_or_unresolved,intermediate_temperature_window,0,0.3333333333333333,-0.5773502691896257
growth_threshold_vs_SN_temperature_phenotype,ctx_FCC_like_case29,mixed_or_unresolved,low_temperature_endurance,0,0.3333333333333333,-0.5773502691896257
growth_threshold_vs_SN_temperature_phenotype,ctx_FCC_like_case29,mixed_or_unresolved,no_endurance,1,0.3333333333333333,1.1547005383792517
growth_threshold_vs_SN_temperature_phenotype,ctx_FCC_like_case29,threshold_loss_by_300K,intermediate_temperature_window,1,0.6666666666666666,0.4082482904638631
growth_threshold_vs_SN_temperature_phenotype,ctx_FCC_like_case29,threshold_loss_by_300K,low_temperature_endurance,0,0.6666666666666666,-0.816496580927726
growth_threshold_vs_SN_temperature_phenotype,ctx_FCC_like_case29,threshold_loss_by_300K,no_endurance,1,0.6666666666666666,0.4082482904638631
growth_threshold_vs_SN_temperature_phenotype,ctx_FCC_like_case29,threshold_loss_by_500K,intermediate_temperature_window,1,1.6666666666666667,-0.5163977794943223
growth_threshold_vs_SN_temperature_phenotype,ctx_FCC_like_case29,threshold_loss_by_500K,low_temperature_endurance,0,1.6666666666666667,-1.2909944487358058
growth_threshold_vs_SN_temperature_phenotype,ctx_FCC_like_case29,threshold_loss_by_500K,no_endurance,4,1.6666666666666667,1.8073922282301278
growth_threshold_vs_SN_temperature_phenotype,ctx_FCC_like_case29,threshold_loss_by_700K,intermediate_temperature_window,27,26.0,0.19611613513818404
growth_threshold_vs_SN_temperature_phenotype,ctx_FCC_like_case29,threshold_loss_by_700K,low_temperature_endurance,29,26.0,0.5883484054145521
growth_threshold_vs_SN_temperature_phenotype,ctx_FCC_like_case29,threshold_loss_by_700K,no_endurance,22,26.0,-0.7844645405527362
strength_vs_fracture_class,ctx_shifted_ductile_case64,highT_anomaly,ceramic_like,698,661.5674479166667,1.41645418050941
strength_vs_fracture_class,ctx_shifted_ductile_case64,highT_anomaly,peak_shaped,15,51.432552083333334,-5.0800800660474685
strength_vs_fracture_class,ctx_shifted_ductile_case64,lowT_anomaly,ceramic_like,562,593.8333333333334,-1.306320766572012
strength_vs_fracture_class,ctx_shifted_ductile_case64,lowT_anomaly,peak_shaped,78,46.166666666666664,4.685089131326289
strength_vs_fracture_class,ctx_shifted_ductile_case64,midT_anomaly,ceramic_like,628,753.4260416666667,-4.569486545624433
strength_vs_fracture_class,ctx_shifted_ductile_case64,midT_anomaly,peak_shaped,184,58.57395833333333,16.388357514078145
strength_vs_fracture_class,ctx_shifted_ductile_case64,ordinary_softening,ceramic_like,435,403.62109375,1.561891545858552
strength_vs_fracture_class,ctx_shifted_ductile_case64,ordinary_softening,peak_shaped,0,31.37890625,-5.60168780368917
