temperature_K,context_id,surface_id,endurance_binary,score
100.0,ctx_shifted_ductile_case64,EXP_00294,0,45.0
100.0,ctx_shifted_ductile_case64,EXP_00347,0,29.0
100.0,ctx_shifted_ductile_case64,EXP_00378,0,32.0
100.0,ctx_shifted_ductile_case64,EXP_00383,0,15.0
100.0,ctx_shifted_ductile_case64,EXP_00444,0,7.5
100.0,ctx_shifted_ductile_case64,EXP_00454,0,34.0
100.0,ctx_shifted_ductile_case64,EXP_00465,0,47.0
100.0,ctx_shifted_ductile_case64,EXP_00483,0,41.0
100.0,ctx_shifted_ductile_case64,EXP_00497,0,30.0
100.0,ctx_shifted_ductile_case64,EXP_00511,1,18.0
100.0,ctx_shifted_ductile_case64,EXP_00534,0,79.0
100.0,ctx_shifted_ductile_case64,EXP_00542,1,79.0
100.0,ctx_shifted_ductile_case64,EXP_00558,0,43.0
100.0,ctx_shifted_ductile_case64,EXP_00559,0,59.0
100.0,ctx_shifted_ductile_case64,EXP_00575,1,79.0
100.0,ctx_shifted_ductile_case64,EXP_00634,1,79.0
100.0,ctx_shifted_ductile_case64,EXP_00721,0,79.0
100.0,ctx_shifted_ductile_case64,EXP_00726,0,54.0
100.0,ctx_shifted_ductile_case64,EXP_00760,0,1.0
100.0,ctx_shifted_ductile_case64,EXP_00772,1,79.0
100.0,ctx_shifted_ductile_case64,EXP_00823,0,60.0
100.0,ctx_shifted_ductile_case64,EXP_00884,0,17.0
100.0,ctx_shifted_ductile_case64,EXP_00995,1,79.0
100.0,ctx_shifted_ductile_case64,EXP_01078,0,53.0
100.0,ctx_shifted_ductile_case64,EXP_01163,1,19.0
100.0,ctx_shifted_ductile_case64,EXP_01271,0,40.0
100.0,ctx_shifted_ductile_case64,EXP_01336,0,25.0
100.0,ctx_shifted_ductile_case64,EXP_01355,0,33.0
100.0,ctx_shifted_ductile_case64,EXP_01357,0,51.0
100.0,ctx_shifted_ductile_case64,EXP_01402,1,79.0
100.0,ctx_shifted_ductile_case64,EXP_01558,1,79.0
100.0,ctx_shifted_ductile_case64,EXP_01559,1,79.0
100.0,ctx_shifted_ductile_case64,EXP_01622,1,79.0
100.0,ctx_shifted_ductile_case64,EXP_01625,0,79.0
100.0,ctx_shifted_ductile_case64,EXP_01666,0,79.0
100.0,ctx_shifted_ductile_case64,EXP_01779,0,7.5
100.0,ctx_shifted_ductile_case64,EXP_01826,1,79.0
