Law,sigma_max_GPa,delta_c_nm,shape_fraction,Asite_m2,RMSE_H_eV,RMSE_v_normalized
Bilinear,10.8479239054586,0.703888060427173,0.116710609752027,9.32024144040031e-20,0.0164832509132814,0.070709814928369
Exponential,10.2153855554013,2.97653585570443,0.210831071908755,2.41435372287698e-20,0.010948017756106,0.0474688949916732
Polynomial,9.09350215554197,0.432464185581956,NaN,1.60806998882299e-19,0.0170253860699364,0.0754243084496517
