case_label,source_case,material_response_class,target_Kmax_MPa_sqrtm,K_initial_MPa_sqrtm,K_first_fire_MPa_sqrtm,K_final_MPa_sqrtm,DeltaK_nominal_MPa_sqrtm,DeltaK_initial_MPa_sqrtm,DeltaK_first_fire_MPa_sqrtm,DeltaK_final_MPa_sqrtm,DeltaK_MPa_sqrtm,cycles_total,cycles_to_first_fire,n_adv_or_fire_total,a_adv_m,da_dN_m_per_cycle,da_dN_upper_bound_m_per_cycle,plot_da_dN_m_per_cycle,is_censored_upper_bound,direct_lt_1_cycle,log10_da_dN_or_bound,B_final,N_em_final,dN_store_last_block,dN_mobile_last_block,dN_escape_last_block,cyclic_plastic_work_J,G_cleave_eff_eV,S_cleave_kB,K_calibration_rel_error,cycle_limiter_code,blocks_completed,run_dir
FCC_like_case29,29,Smooth ductile/FCC-like Paris baseline,3.0,2.9999999999999885,2.999999999999989,3.060403509445315,2.7,2.6999999999999895,2.69999999999999,2.7543631585007833,2.7543631585007833,199999999999996.03,149755290274190.06,1,5.000000000000013e-06,2.500000000000056e-20,,2.500000000000056e-20,False,False,-19.602059991327952,0.4984416138005574,3.585196129103862e-302,9.962493606452337e-306,0.1010428034756336,1.0364752679714929e+18,0.0,0.6617621546959728,1.417648910164623,0.0,8.0,3706.0,runs/v8_material_response_production_2d/FCC_like_case29/v8_2d_K3
FCC_like_case29,29,Smooth ductile/FCC-like Paris baseline,3.5,3.4999999999999845,3.4999999999999862,4.051303907888385,3.15,3.149999999999986,3.1499999999999875,3.6461735170995464,3.646173517099547,105372466811561.3,6616244642220.311,38,0.00019000000000000047,1.8031275697453255e-18,,1.8031275697453255e-18,False,False,-17.743973546224602,0.2108085781142464,1.5819275854266493e-302,1.7070848219846224e-306,0.0173138015122873,1.144523973218026e+17,9.749131413869274e-06,0.6110604571607491,1.3580983915058156,-3.3306690738754696e-16,1.0,5000.0,runs/v8_material_response_production_2d/FCC_like_case29/v8_2d_K3p5
FCC_like_case29,29,Smooth ductile/FCC-like Paris baseline,4.0,3.999999999999985,3.999999999999984,6.007828187098801,3.6,3.5999999999999863,3.599999999999986,5.407045368388921,5.407045368388921,6343586580203.427,386698540283.2272,50,0.00025000000000000066,3.940988222343828e-17,,3.940988222343828e-17,False,False,-16.404394863022937,0.0007797990650966,2.6404149748401325e-304,5.2368254800116e-310,5.311356263711676e-06,14083952532709.8,0.0001434451781548,0.5329493578704648,1.2575672939697262,-3.3306690738754696e-16,1.0,5000.0,runs/v8_material_response_production_2d/FCC_like_case29/v8_2d_K4
FCC_like_case29,29,Smooth ductile/FCC-like Paris baseline,4.5,4.499999999999983,4.499999999999984,6.7601608329579905,4.05,4.049999999999985,4.049999999999986,6.084144749662191,6.084144749662191,482107615971.355,28942396973.40522,50,0.00025000000000000066,5.185564212593869e-16,,5.185564212593869e-16,False,False,-15.285203983520796,0.0016778638582262,2.510392361170735e-305,4.340883636141e-311,4.4026633318479315e-07,813140595185.6547,0.0003881808893421,0.5082273928469507,1.2233166515251026,-7.771561172376097e-16,1.0,5000.0,runs/v8_material_response_production_2d/FCC_like_case29/v8_2d_K4p5
FCC_like_case29,29,Smooth ductile/FCC-like Paris baseline,5.0,4.999999999999981,4.999999999999982,7.515532583627056,4.5,4.499999999999983,4.499999999999984,6.7639793252643505,6.7639793252643505,44893519787.67622,2654036383.4067974,50,0.00025000000000000066,5.568732440280356e-15,,5.568732440280356e-15,False,False,-14.254243648064863,0.0028941800690014,2.934082477220222e-306,4.610380514856e-312,4.6759957047209056e-08,59862401658.2381,0.0008715797973689,0.485609794897466,1.1908708909206915,4.440892098500626e-16,1.0,5000.0,runs/v8_material_response_production_2d/FCC_like_case29/v8_2d_K5
FCC_like_case29,29,Smooth ductile/FCC-like Paris baseline,5.5,5.499999999999981,5.499999999999982,8.274423002061061,4.95,4.949999999999983,4.949999999999984,7.446980701854955,7.446980701854955,4941106977.722521,289658907.76921076,50,0.00025000000000000066,5.0595949678311135e-14,,5.0595949678311135e-14,False,False,-13.295884248036975,0.0044614005758998,4.067231313283149e-307,6.0520220304e-313,6.138154742283061e-09,5425853457.647584,0.0017282808674485,0.4647769423934629,1.1600009056719645,0.0,1.0,5000.0,runs/v8_material_response_production_2d/FCC_like_case29/v8_2d_K5p5
FCC_like_case29,29,Smooth ductile/FCC-like Paris baseline,6.0,5.999999999999977,5.999999999999978,9.036185313283935,5.4,5.399999999999979,5.39999999999998,8.132566781955543,8.132566781955543,620628756.0823762,36776995.28183645,50,0.00025000000000000066,4.028173002780072e-13,,4.028173002780072e-13,False,False,-12.394891885551568,0.0063105677302874,6.467658614292927e-308,9.5847818377e-314,9.721192979018871e-10,591826528.098092,0.0030154141225558,0.4455060619721699,1.1305655728297443,0.0,1.0,5000.0,runs/v8_material_response_production_2d/FCC_like_case29/v8_2d_K6
FCC_like_case29,29,Smooth ductile/FCC-like Paris baseline,6.5,6.49999999999997,6.499999999999971,9.79692943070723,5.8500000000000005,5.849999999999973,5.849999999999974,8.817236487636508,8.817236487636508,86838784.36722574,5333892.231554545,50,0.00025000000000000066,2.8788979696306578e-12,,2.8788979696306578e-12,False,False,-11.540773726581312,0.0084469373054796,1.1525695601398826e-308,1.812042409e-314,1.8378314958686302e-10,77074335.68509875,0.0047717480350983,0.4276897786576,1.1025658336863196,6.661338147750939e-16,1.0,5000.0,runs/v8_material_response_production_2d/FCC_like_case29/v8_2d_K6p5
FCC_like_case29,29,Smooth ductile/FCC-like Paris baseline,7.0,6.99999999999997,6.999999999999971,10.55813636922614,6.3,6.299999999999973,6.299999999999974,9.502322732303528,9.502322732303526,13535369.8788061,870644.1178017991,50,0.00025000000000000066,1.8470126951717417e-11,,1.8470126951717417e-11,False,False,-10.733530119489869,0.0006673096416616,2.29752701926064e-309,4.02059857e-315,4.07781994929544e-11,11782178.9040621,0.007050294914234,0.4111193615732251,1.0758164674731308,-3.3306690738754696e-16,1.0,4999.0,runs/v8_material_response_production_2d/FCC_like_case29/v8_2d_K7
FCC_like_case29,29,Smooth ductile/FCC-like Paris baseline,7.5,7.499999999999969,7.499999999999968,11.324401587449431,6.75,6.7499999999999725,6.749999999999972,10.191961428704488,10.19196142870449,2300747.7157105776,158003.16550054093,50,0.00025000000000000066,1.0866032737656726e-10,,1.0866032737656726e-10,False,False,-9.963928990838996,0.0025650424747314,5.02177643378774e-310,1.032657945e-315,1.047354791533736e-11,2081678.5182859884,0.0099282214670324,0.3955643063889337,1.050059328585757,-7.771561172376097e-16,1.0,4999.0,runs/v8_material_response_production_2d/FCC_like_case29/v8_2d_K7p5
