surface_id,fracture_context,temperature_K,Kc_first_MPa_sqrtm,DeltaK_th_MPa_sqrtm
EXP_00012,ctx_FCC_like_case29,100.0,6.6,10.834385936471252
EXP_00012,ctx_FCC_like_case29,300.0,2.7,2.9752868755273085
EXP_00017,ctx_FCC_like_case29,300.0,6.6,6.1088040437812525
EXP_00017,ctx_FCC_like_case29,500.0,0.9,0.6796903092137605
EXP_00059,ctx_FCC_like_case29,100.0,16.3,15.022646747556973
EXP_00059,ctx_FCC_like_case29,300.0,5.7,5.288431934249585
EXP_00059,ctx_FCC_like_case29,500.0,0.9,0.6797007619598596
EXP_00129,ctx_FCC_like_case29,300.0,6.6,6.108804789473972
EXP_00129,ctx_FCC_like_case29,500.0,0.9,0.6792779514355697
EXP_00269,ctx_FCC_like_case29,100.0,14.2,12.92672042312333
EXP_00294,ctx_FCC_like_case29,100.0,16.7,15.412575955243142
EXP_00294,ctx_FCC_like_case29,300.0,5.7,5.315889291286388
EXP_00294,ctx_FCC_like_case29,500.0,0.9,0.6765399080595493
EXP_00347,ctx_FCC_like_case29,100.0,14.5,13.33506372037531
EXP_00347,ctx_FCC_like_case29,300.0,5.2,4.702335659272358
EXP_00347,ctx_FCC_like_case29,500.0,0.9,0.6736458846223004
EXP_00378,ctx_FCC_like_case29,100.0,14.7,13.467832480955847
EXP_00378,ctx_FCC_like_case29,300.0,5.6,5.090709643763015
EXP_00378,ctx_FCC_like_case29,500.0,0.9,0.6797013682879561
EXP_00383,ctx_FCC_like_case29,300.0,6.6,6.108804827049974
EXP_00383,ctx_FCC_like_case29,500.0,0.9,0.6792771934199147
EXP_00444,ctx_FCC_like_case29,300.0,6.4,5.882451476964879
EXP_00444,ctx_FCC_like_case29,500.0,0.9,0.6792771934199143
EXP_00454,ctx_FCC_like_case29,100.0,14.2,13.323413835778874
EXP_00454,ctx_FCC_like_case29,300.0,4.0,4.510665691411902
EXP_00454,ctx_FCC_like_case29,500.0,0.9,0.7086355188880672
EXP_00465,ctx_FCC_like_case29,100.0,17.0,15.62694647090332
EXP_00465,ctx_FCC_like_case29,300.0,6.6,6.086459335173058
EXP_00465,ctx_FCC_like_case29,500.0,0.9,0.679277193419914
EXP_00483,ctx_FCC_like_case29,100.0,15.8,14.52250325246037
EXP_00483,ctx_FCC_like_case29,300.0,5.6,5.218997839505403
EXP_00483,ctx_FCC_like_case29,500.0,0.9,0.6796844948188472
EXP_00497,ctx_FCC_like_case29,100.0,14.8,13.412166302509736
EXP_00497,ctx_FCC_like_case29,300.0,5.8,5.297023653618578
EXP_00497,ctx_FCC_like_case29,500.0,0.9,0.679277193419914
EXP_00511,ctx_FCC_like_case29,300.0,6.6,6.109353269198429
EXP_00511,ctx_FCC_like_case29,500.0,0.9,0.6792779508205632
EXP_00534,ctx_FCC_like_case29,300.0,6.6,6.109706741202336
EXP_00534,ctx_FCC_like_case29,500.0,0.9,0.6896043884430844
EXP_00542,ctx_FCC_like_case29,300.0,6.6,6.108804043781237
EXP_00542,ctx_FCC_like_case29,500.0,0.9,0.6747535499863679
EXP_00558,ctx_FCC_like_case29,100.0,16.0,14.833253525301046
EXP_00558,ctx_FCC_like_case29,300.0,5.6,5.234639396495614
EXP_00558,ctx_FCC_like_case29,500.0,0.9,0.6794154137421254
EXP_00559,ctx_FCC_like_case29,100.0,18.5,17.650363925483013
EXP_00559,ctx_FCC_like_case29,300.0,5.7,5.417840628351073
EXP_00559,ctx_FCC_like_case29,500.0,0.9,0.6794777139769574
EXP_00575,ctx_FCC_like_case29,300.0,6.6,6.108804824324713
EXP_00575,ctx_FCC_like_case29,500.0,0.9,0.6792779514257338
EXP_00634,ctx_FCC_like_case29,300.0,6.6,6.108804043781224
EXP_00634,ctx_FCC_like_case29,500.0,0.9,0.6792771934199143
EXP_00721,ctx_FCC_like_case29,100.0,21.0,19.48467795691855
EXP_00721,ctx_FCC_like_case29,300.0,6.6,6.109755970193045
EXP_00721,ctx_FCC_like_case29,500.0,0.9,0.6792779514129181
EXP_00726,ctx_FCC_like_case29,100.0,17.8,16.61695307738867
EXP_00726,ctx_FCC_like_case29,300.0,6.6,6.104637031194188
EXP_00726,ctx_FCC_like_case29,500.0,0.9,0.6797042151921502
EXP_00760,ctx_FCC_like_case29,300.0,5.9,5.512071168540521
EXP_00760,ctx_FCC_like_case29,500.0,0.9,0.679277950738859
EXP_00772,ctx_FCC_like_case29,300.0,6.6,6.109539697535307
EXP_00772,ctx_FCC_like_case29,500.0,0.9,0.6792771934199143
EXP_00823,ctx_FCC_like_case29,100.0,19.6,18.037618095640617
EXP_00823,ctx_FCC_like_case29,300.0,6.6,6.082931413627312
EXP_00823,ctx_FCC_like_case29,500.0,0.9,0.6797040845833451
EXP_00884,ctx_FCC_like_case29,300.0,6.1,5.609259593475821
EXP_00884,ctx_FCC_like_case29,500.0,0.9,0.6792771934199143
EXP_00995,ctx_FCC_like_case29,300.0,6.6,6.108804810585364
EXP_00995,ctx_FCC_like_case29,500.0,0.9,0.6792779514353574
EXP_01078,ctx_FCC_like_case29,100.0,18.0,16.62306545994391
EXP_01078,ctx_FCC_like_case29,300.0,6.1,5.712228019166237
EXP_01078,ctx_FCC_like_case29,500.0,0.9,0.6797031562834415
EXP_01163,ctx_FCC_like_case29,300.0,6.6,6.108804043778964
EXP_01163,ctx_FCC_like_case29,500.0,0.9,0.6792771934199143
EXP_01271,ctx_FCC_like_case29,100.0,15.6,14.491729496266544
EXP_01271,ctx_FCC_like_case29,300.0,5.9,5.503995843921333
EXP_01271,ctx_FCC_like_case29,500.0,0.9,0.679704074220365
EXP_01336,ctx_FCC_like_case29,100.0,14.4,13.105002075873804
EXP_01336,ctx_FCC_like_case29,300.0,5.2,4.79330511916892
EXP_01336,ctx_FCC_like_case29,500.0,0.9,0.6737097658968288
EXP_01355,ctx_FCC_like_case29,100.0,14.8,13.46984297585088
