line_id,line_index,H0_eV,chi_shield,N_sat,regime_hint
line_01,1,2.6,0.0,inf,ceramic
line_02,2,2.717241379310345,0.011724137931034485,inf,ceramic
line_03,3,2.8344827586206898,0.02344827586206897,inf,ceramic
line_04,4,2.9517241379310346,0.03517241379310345,inf,ceramic
line_05,5,3.0689655172413794,0.04689655172413794,inf,ceramic
line_06,6,3.1862068965517243,0.05862068965517242,inf,peak
line_07,7,3.303448275862069,0.0703448275862069,inf,peak
line_08,8,3.420689655172414,0.0820689655172414,inf,peak
line_09,9,3.537931034482759,0.09379310344827588,inf,peak
line_10,10,3.655172413793103,0.11379310344827578,10875.000000000064,peak
line_11,11,3.772413793103448,0.143103448275862,3480.000000000006,peak
line_12,12,3.889655172413793,0.17241379310344823,2071.4285714285734,weakT
line_13,13,4.006896551724138,0.20137931034482756,1501.2942191544435,weakT
line_14,14,4.124137931034483,0.22482758620689652,1523.6427320490368,weakT
line_15,15,4.241379310344827,0.24827586206896549,1546.6666666666667,weakT
line_16,16,4.358620689655172,0.27172413793103445,1570.3971119133573,weakT
line_17,17,4.475862068965517,0.29517241379310344,1594.8670944087992,weakT
line_18,18,4.593103448275862,0.3186206896551724,1620.1117318435756,weakT
line_19,19,4.710344827586207,0.34206896551724136,1646.1684011352886,weakT
line_20,20,4.827586206896552,0.3655172413793103,1673.076923076923,weakT
line_21,21,4.944827586206896,0.3889655172413793,1700.8797653958943,weakT
line_22,22,5.062068965517241,0.4124137931034482,1729.6222664015907,dbtt
line_23,23,5.179310344827586,0.4358620689655172,1759.3528816986855,dbtt
line_24,24,5.296551724137931,0.4593103448275862,1790.1234567901236,dbtt
line_25,25,5.413793103448276,0.48275862068965514,1821.9895287958113,dbtt
line_26,26,5.531034482758621,0.5062068965517241,1855.0106609808104,dbtt
line_27,27,5.6482758620689655,0.5296551724137931,1889.2508143322473,dbtt
line_28,28,5.76551724137931,0.553103448275862,1924.7787610619469,dbtt
line_29,29,5.882758620689655,0.576551724137931,1961.6685456595262,dbtt
line_30,30,6.0,0.6,2000.0,dbtt
