candidate_id,F1B_response_class,F2R_response_class,F2R_confirmed,condition_count,first_passage_count
P40_TJBSV2_S_038503,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True,13,11
P40_TJBSV2_S_006687,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True,13,13
P40_TJBSV2_S_038278,WEAK_T_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,WEAK_T_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True,13,13
