framework,class,T_K,Kc_first_MPa_sqrt_m,crack_extension_um,n_growth_events,case_dir,record_source,source_priority,source_file,rate_factor,rate_label,n_r_curve_points,K_mean_all_points_MPa_sqrt_m,K_median_all_points_MPa_sqrt_m,K_p10_all_points_MPa_sqrt_m,K_p90_all_points_MPa_sqrt_m,is_complete,first_passage_MPa_sqrt_m,K_analytic_interp_MPa_sqrt_m,error_vs_analytic_MPa_sqrt_m,relative_error_vs_analytic,percent_error_vs_analytic
FEM/CZM,DBTT,600.0,21.732310776570934,500.2078621007416,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/DBTT/T600_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/DBTT/T600_th45/summary.json,1.0,1x,138,27.100218884320313,26.622406004115106,22.250719333286316,33.01212635442244,True,21.732310776570934,20.52,1.2123107765709342,0.05907947254244319,5.907947254244319
FEM/CZM,DBTT,700.0,21.90859385461755,501.0807374019883,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/DBTT/T700_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/DBTT/T700_th45/summary.json,1.0,1x,127,27.6142021953702,28.556640426784632,21.65529410104899,33.76156043739001,True,21.90859385461755,20.04,1.8685938546175507,0.09324320631824105,9.324320631824106
FEM/CZM,DBTT,800.0,24.50618512796841,500.8301673409207,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/DBTT/T800_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/DBTT/T800_th45/summary.json,1.0,1x,129,25.194169735769513,24.919684928718784,21.605728558057486,29.488940475431523,True,24.50618512796841,22.86,1.6461851279684119,0.07201159789888066,7.201159789888066
FEM/CZM,DBTT,900.0,39.43958345837096,502.9398255837452,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/DBTT/T900_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/DBTT/T900_th45/summary.json,1.0,1x,137,29.836794553429577,29.898568869351287,24.781165020709473,34.553352669360336,True,39.43958345837096,38.18,1.2595834583709618,0.03299066156026616,3.299066156026616
FEM/CZM,DBTT,1000.0,48.7439891575558,501.9473810907668,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/DBTT/T1000_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/DBTT/T1000_th45/summary.json,1.0,1x,141,34.30226391306653,34.24164327462544,27.15617283587536,39.85793968546826,True,48.7439891575558,49.16,-0.4160108424441944,-0.008462384915463679,-0.8462384915463679
FEM/CZM,DBTT,1100.0,53.24007498782175,500.1765201026818,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/DBTT/T1100_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/DBTT/T1100_th45/summary.json,1.0,1x,139,42.09972668390793,43.54243420313422,33.700036381083386,48.94750750909066,True,53.24007498782175,51.76,1.4800749878217516,0.028594957260853007,2.8594957260853007
FEM/CZM,DBTT,1200.0,53.53778582112109,502.39846966402104,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/DBTT/T1200_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/DBTT/T1200_th45/summary.json,1.0,1x,141,40.53958401309496,40.50219722415972,32.394507591828585,46.675158332923175,True,53.53778582112109,51.76,1.7777858211210926,0.034346712154580614,3.4346712154580614
FEM/CZM,DBTT,300.0,26.426471366833372,500.9628143923749,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_10x/DBTT/T300_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_10x/DBTT/T300_th45/summary.json,10.0,10x,128,31.669999571912093,31.909149295960248,26.593147329670096,36.16536180326971,True,26.426471366833372,25.9,0.5264713668333734,0.02032707980051635,2.0327079800516348
FEM/CZM,DBTT,400.0,24.19452846334745,503.36636758104447,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_10x/DBTT/T400_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_10x/DBTT/T400_th45/summary.json,10.0,10x,135,31.32231367096395,29.702214610620384,24.607593407289176,40.249709167697816,True,24.19452846334745,23.48,0.7145284633474489,0.030431365559942455,3.0431365559942454
FEM/CZM,DBTT,500.0,23.286042068983605,501.9920897272603,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_10x/DBTT/T500_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_10x/DBTT/T500_th45/summary.json,10.0,10x,138,29.699563164788696,27.73729201664172,23.498934004875913,38.805088909165285,True,23.286042068983605,21.98,1.3060420689836043,0.059419566377779995,5.9419566377779995
