class,case_dir,replicate,seed,final_extension_um,target_hit,complete,status,n_raw_points,n_bins,K0_0_50_MPa_sqrt_m,Kss_late_MPa_sqrt_m,DeltaK_late_minus_early_MPa_sqrt_m,Kmin_MPa_sqrt_m,DeltaA_at_Kmin_um,Kss_minus_Kmin_MPa_sqrt_m,AUC_0_max_MPa_sqrt_m,slope_100_400_MPa_sqrt_m_per_um,Eprime_GPa,sat_success,sat_K0,sat_dK,sat_Kss,sat_ell_um,sat_p,sat_rmse,J_power_success,J0_kJ_m2,A_kJ_m2_per_um_m,m_power,J_power_rmse_kJ_m2
DBTT,runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/DBTT/replicate_01_seed1101/T500_th45,1,1101,1002.5834105879075,True,True,,264,40,22.888586889849908,37.12785752886862,14.23927063901871,20.514516150876567,161.60096182479725,16.61334137799205,30.61102058334086,0.029180455921852547,444.87847222222223,True,23.018265980186204,111.12592766160735,134.14419364179355,4999.999911847568,1.154823484138705,2.5417756346695612,True,1.253747871794171,0.0001335936880382579,1.407280915106455,0.3502286013963164
DBTT,runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/DBTT/replicate_02_seed1102/T500_th45,2,1102,1001.1164019141174,True,True,,259,40,22.79985051773027,33.76481430484362,10.964963787113348,19.331425894725218,181.33779603814452,14.4333884101184,31.54684476213806,0.035823176557796634,444.87847222222223,True,22.82089115775863,12.689122155727807,35.51001331348644,333.2444540998599,2.518763000047857,4.040447328479478,True,1.1298182609697252e-11,0.3249279573296993,0.3276024062950402,0.7039634851947993
DBTT,runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/DBTT/replicate_03_seed1103/T500_th45,3,1103,1001.505,True,True,,267,40,22.549106480367733,34.905331875715646,12.356225395347913,21.26271150056331,169.29225107218912,13.642620375152337,30.527017494561107,0.02341841757463238,444.87847222222223,True,21.63767869308949,23.338188589265453,44.97586728235494,988.233524277509,0.9450158296428618,2.115322326825243,True,0.9850944365631148,0.00983806754659936,0.7729799564509614,0.2986704847345806
DBTT,runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/DBTT/replicate_04_seed1124/T500_th45,4,1124,1004.0710039606182,True,True,,264,40,22.92635857641809,34.6807202256024,11.754361649184311,21.049163392830373,97.42702790429018,13.631556832772027,31.61930965200737,0.02609710143745775,444.87847222222223,True,23.15511910834636,11.747299108063148,34.90241821640951,330.0338142802558,2.531552231734064,3.500769925769811,True,2.343340912674241e-10,0.3690901177271982,0.30276069104564085,0.5620720600614278
DBTT,runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/DBTT/replicate_05_seed1105/T500_th45,5,1105,1000.4002048658176,True,True,,279,40,22.671279919861174,25.499353177250168,2.8280732573889935,19.494085708267953,35.65312369264637,6.005267468982215,28.999532321840245,0.033681473010916514,444.87847222222223,True,23.71228316794629,6.8771411501365804,30.58942431808287,256.3404388394211,4.999999999966238,3.473891519506775,True,1.0733731184961863e-13,0.9971976455755919,0.1108063127150102,0.5352877623601651
ceramic,runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/ceramic/replicate_01_seed1101/T500_th45,1,1101,1002.023,True,True,,268,40,9.432584025745651,14.589347322561448,5.156763296815797,9.134516043046078,70.12059377507416,5.4548312795153695,12.957304661946376,0.003911857251073583,444.87847222222223,True,9.509173238391035,5.797545647966531,15.306718886357565,488.1170505212214,1.5587415276144854,1.1792646102517736,True,0.15848336099291893,0.0029065075943605365,0.7042118979094228,0.06993137560644659
ceramic,runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/ceramic/replicate_02_seed1102/T500_th45,2,1102,1001.561,True,True,,267,40,9.366535003318118,16.721731158206552,7.355196154888434,8.260189735596247,186.32748971380957,8.461541422610305,14.277860159094386,0.019246230710069312,444.87847222222223,True,9.328010372651589,6.616522498868813,15.944532871520401,296.3938966324338,2.657653661545623,1.8327967411071,True,2.1670017899254557e-12,0.056004684778107036,0.3531303597847443,0.13496863246663204
ceramic,runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/ceramic/replicate_03_seed1103/T500_th45,3,1103,1003.3561903605488,True,True,,259,40,9.194449719706933,15.950948476935956,6.756498757229023,8.742687533543142,700.4916373424279,7.208260943392814,13.968026333723552,0.014564427089644684,444.87847222222223,True,9.818486836150818,6.154530901230079,15.973017737380896,354.7582669497171,3.6154248705540977,1.902786446966127,True,1.5161044946511792e-11,0.04187831028319118,0.39610930413722273,0.13533897493601071
ceramic,runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/ceramic/replicate_04_seed1104/T500_th45,4,1104,1000.28427457006,True,True,,264,40,9.372762880559584,17.540917575243693,8.168154694684109,8.730598197478573,97.38170198553613,8.81031937776512,14.286626214002752,0.010229651593766946,444.87847222222223,True,9.709149330053002,7.196045775358517,16.90519510541152,423.3532614994228,2.0043876781684253,1.6475274592100706,True,0.085941525590489,0.010949785413556795,0.5831062456815809,0.11397222957831861
ceramic,runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/ceramic/replicate_05_seed1105/T500_th45,5,1105,1000.587,True,True,,267,40,9.287222168557655,18.136590272409425,8.84936810385177,5.958127033398087,368.1090718039525,12.178463239011338,14.490584883819606,0.02482971605322682,444.87847222222223,True,8.651528933519385,12.581509036185134,21.23303796970452,666.9879402940353,1.1362634618944283,1.567328833385333,True,0.12999340984546073,0.0024811361057968193,0.8117115153414931,0.10656196817540807
peak,runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/peak/replicate_01_seed1101/T500_th45,1,1101,1001.5010212050439,True,True,,270,40,16.839256041143067,25.722251435909683,8.882995394766617,16.076087972279215,93.58541779009134,9.646163463630469,23.201351273344084,0.029840740137378256,444.87847222222223,True,16.574967709622193,8.979328241063609,25.554295950685802,303.9420954872156,2.0972109490873967,1.5006053009497446,True,0.07581769946589936,0.164380142150989,0.32256965086058714,0.18333800570787284
peak,runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/peak/replicate_02_seed1102/T500_th45,2,1102,1002.9533766535769,True,True,,259,40,16.722813041951337,29.517408288561416,12.79459524661008,13.39485252905904,173.97860550607388,16.122555759502376,25.006229459281645,0.03233175285141532,444.87847222222223,True,16.89805830452343,11.7952865187104,28.69334482323383,345.3210907109794,3.0753736635055913,3.7293388401818017,True,0.36381923397140287,0.015716390753600908,0.6946610570940513,0.4540631389453887
peak,runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/peak/replicate_03_seed1103/T500_th45,3,1103,1002.993,True,True,,265,40,16.51829560664804,25.75105948585786,9.23276387920982,13.189709583003816,175.507026889664,12.561349902854042,22.434201355842184,0.012869337625914839,444.87847222222223,True,16.933944350703555,8.453836458213631,25.387780808917185,395.72992981335153,1.8973804561384937,1.8978530704873569,True,0.39345291811538474,0.03027452770272577,0.5287390778187102,0.20610361227883953
peak,runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/peak/replicate_04_seed1104/T500_th45,4,1104,1002.741,True,True,,266,40,16.823739417791224,27.52967592271568,10.705936504924455,15.61756656154965,97.60851672840724,11.91210936116603,24.214026425482498,0.012930378902456427,444.87847222222223,True,16.364085950083908,11.721734369160414,28.08582031924432,380.938938167837,1.3360059994471447,2.956742186194511,True,0.22762084641213762,0.08575688714102365,0.42286187782983464,0.33237678978392254
peak,runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/peak/replicate_05_seed1105/T500_th45,5,1105,1003.376,True,True,,282,40,16.661089328819507,28.55216517894875,11.891075850129244,14.34393662719616,35.75197606090408,14.208228551752592,25.793245301766234,0.03868046238570381,444.87847222222223,True,16.77162750054051,13.447273924692787,30.218901425233298,365.080232448539,2.906758881791763,2.2360493875620726,True,5.698692006922401e-14,0.10810993110298765,0.44066038404287305,0.37737885627976275
weakT,runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/weakT/replicate_01_seed1101/T500_th45,1,1101,1002.478072794869,True,True,,261,40,12.809953130882919,15.68813064080997,2.878177509927051,6.430507614919157,182.52185420767665,9.257623025890812,13.99376052640123,0.013426225905645461,444.87847222222223,True,10.835673219954401,5.106108519165892,15.941781739120295,422.58891166732326,4.999999999999999,1.5324707847777697,True,0.23464854203766972,0.0012481521278232917,0.8365052026668468,0.11034095769375564
weakT,runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/weakT/replicate_02_seed1102/T500_th45,2,1102,1001.7733629547365,True,True,,259,40,12.869742089301884,19.626327491872956,6.756585402571073,3.664989871649862,192.87179369448975,15.961337620223095,14.20251909731864,0.009045922244944733,444.87847222222223,True,10.087495519301639,10.571700261269633,20.659195780571274,676.573661920777,3.001650264655099,2.2185371469346507,True,0.2183842197457514,2.301775904981649e-06,1.8479569795700272,0.13672988214990636
weakT,runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/weakT/replicate_03_seed1103/T500_th45,3,1103,1003.1424532721664,True,True,,267,40,12.959464857725678,17.962759971996764,5.003295114271086,7.026692341942456,186.7734184914187,10.936067630054307,14.939579406750127,0.02930810673295094,444.87847222222223,True,10.713028928324016,6.418604391470717,17.131633319794734,370.6269419647793,4.32362587441544,2.0769489552816713,True,0.23908551014756874,0.0008504619789903988,0.9402655222030388,0.14684676643424993
weakT,runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/weakT/replicate_04_seed1104/T500_th45,4,1104,1003.4503128351646,True,True,,261,40,12.686422050347463,18.611690730653564,5.9252686803061,7.394698248480086,186.8765386713881,11.216992482173477,15.107769602615527,0.02658167946541526,444.87847222222223,True,10.470898409077604,8.00831212914766,18.479210538225264,467.0774169803806,2.148037408136732,2.335082528231678,True,0.22027771699560333,0.0009014123751876487,0.9502925771860496,0.1574571422483884
weakT,runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/weakT/replicate_05_seed1105/T500_th45,5,1105,1002.447,True,True,,256,40,12.821489788014038,17.018643871170276,4.197154083156239,6.413185599942415,182.62818033490456,10.60545827122786,14.330049386502433,0.008999574178088094,444.87847222222223,True,10.63139193157804,6.455285357040473,17.086677288618514,482.5031749167404,4.999999999999584,1.4425533639504016,True,0.22790394624300847,0.00018002865561594195,1.1586289622316208,0.10500066344735187
