regime,noise_realization,acquisition,n_observations,cost,cost_per_observation,nfev,success,condition_number,effective_rank,full_column_rank,true_cleave_H0_eV,fit_cleave_H0_eV,abs_error_cleave_H0_eV,true_cleave_S_sigma_max_kB,fit_cleave_S_sigma_max_kB,abs_error_cleave_S_sigma_max_kB,true_chi_shield,fit_chi_shield,abs_error_chi_shield,true_sat_strength,fit_sat_strength,abs_error_sat_strength,true_emit_H0_eV,fit_emit_H0_eV,abs_error_emit_H0_eV,true_emit_S_T_c0_kB,fit_emit_S_T_c0_kB,abs_error_emit_S_T_c0_kB,true_emit_S_T_c1,fit_emit_S_T_c1,abs_error_emit_S_T_c1,true_emit_S_sigma_max_kB,fit_emit_S_sigma_max_kB,abs_error_emit_S_sigma_max_kB,rmse_G_cleave_eV,rmse_G_emit_eV,holdout_n_total,holdout_n_Kc,holdout_rmse_Kc_absolute,holdout_nrmse_Kc_sigma,holdout_n_fatigue_life,holdout_rmse_fatigue_life_decades,holdout_nrmse_fatigue_life_sigma,holdout_n_strength,holdout_rmse_strength_absolute,holdout_nrmse_strength_sigma
ceramic,0,A_sparse_fracture,4,1.533794148739072e-12,3.83448537184768e-13,30,False,inf,3,False,2.6,2.7407043537669162,0.14070435376691615,1.0,1.782711341862983,0.782711341862983,0.0,0.0066784003141305785,0.0066784003141305785,0.0,1.7584803581765522,1.7584803581765522,1.8,1.6562188286998865,0.14378117130011359,-20.0,-8.588274843644953,11.411725156355047,0.02,0.01236328623201368,0.00763671376798632,8.0,4.394796151494079,3.605203848505921,0.06866676665024919,0.3823600205111875,71,22.0,0.7810818620568224,23.6528071772118,3.0,0.9496397814649232,4.748198907324617,10.0,2.5633362093178556,27.214907314565874
ceramic,0,B_dense_fracture,10,6.189904245180256,0.6189904245180256,30,False,916572636.0850953,8,True,2.6,2.6960671479779004,0.09606714797790028,1.0,1.7065045937478505,0.7065045937478505,0.0,0.011564092044718024,0.011564092044718024,0.0,1.8535162288209153,1.8535162288209153,1.8,1.6494571648816263,0.15054283511837374,-20.0,-8.75499936819064,11.24500063180936,0.02,0.011142795028682479,0.008857204971317522,8.0,4.191110040550492,3.808889959449508,0.053991026459803075,0.3743033218105701,65,17.0,0.7251254775542145,10.776111491669711,3.0,0.7165020740403913,3.5825103702019567,10.0,2.5148765818410093,26.458368146177577
ceramic,0,C_rate_fracture,16,352.5583339871325,22.034895874195783,14,True,10330246.935837468,8,True,2.6,2.6958670684666317,0.09586706846663162,1.0,1.7064438818711745,0.7064438818711745,0.0,0.011580425213567867,0.011580425213567867,0.0,1.8535132098007663,1.8535132098007663,1.8,1.649470899013904,0.15052910098609606,-20.0,-8.754942365894067,11.245057634105933,0.02,0.011143618614327078,0.008856381385672922,8.0,4.191100930898729,3.8088990691012707,0.05393885776113452,0.3743119140924937,59,12.0,0.8483927479608583,11.58345846806519,3.0,0.7160358606465431,3.580179303232715,10.0,2.5148982228710044,26.458530920910256
ceramic,0,D_add_fatigue,37,378.4490774441887,10.228353444437532,30,False,948021.8895713835,8,True,2.6,2.6670931669369513,0.06709316693695122,1.0,1.7039467462926583,0.7039467462926583,0.0,0.018381900295734246,0.018381900295734246,0.0,1.8539019101294683,1.8539019101294683,1.8,1.6514853753996845,0.1485146246003155,-20.0,-8.749540381959285,11.250459618040715,0.02,0.011169388557548662,0.008830611442451338,8.0,4.18572445609714,3.81427554390286,0.0470644257005436,0.37460111495882686,38,12.0,0.8845189586975944,12.081554044333993,0.0,,,10.0,2.5139166003538493,26.40892122688971
ceramic,0,E_add_fatigue_protocols,46,371.18866856405145,8.069318881827206,30,False,929851.8359876585,8,True,2.6,2.641747689335846,0.04174768933584572,1.0,1.7018923045621495,0.7018923045621495,0.0,0.02091690250555277,0.02091690250555277,0.0,1.8542014612413245,1.8542014612413245,1.8,1.6533296796766415,0.14667032032335858,-20.0,-8.746028146983804,11.253971853016196,0.02,0.011186479213037859,0.008813520786962141,8.0,4.181830946680252,3.818169053319748,0.041792368921238866,0.37471699082881177,29,12.0,0.8857818437651983,12.09666991598055,,,,10.0,2.512548893786237,26.35686976791557
ceramic,0,F_add_strength,61,280.3516890995705,4.595929329501155,27,True,8056.665414853932,8,True,2.6,2.195646922285466,0.4043530777145339,1.0,5.795484080561284,4.795484080561284,0.0,0.02133461270965895,0.02133461270965895,0.0,0.9236302596567795,0.9236302596567795,1.8,1.7753082288833186,0.024691771116681416,-20.0,-25.8713492843993,5.871349284399301,0.02,0.0260322097922259,0.0060322097922259,8.0,2.6805546819299635,5.319445318070036,0.23939743641569766,0.24127489361589918,14,12.0,0.22703578721255924,2.996542368913044,,,,,,
ceramic,0,G_full_universe,75,378.38546144345406,5.0451394859127205,30,False,8656.45499089741,8,True,2.6,2.2463510124746184,0.35364898752538165,1.0,3.951878114211559,2.951878114211559,0.0,0.002964290691716176,0.002964290691716176,0.0,0.8992513866694837,0.8992513866694837,1.8,1.7648899166353065,0.03511008336469357,-20.0,-22.404156670499766,2.4041566704997663,0.02,0.022408916261239257,0.0024089162612392565,8.0,6.038237479028896,1.9617625209711038,0.15877403691421837,0.0882851710893297,0,,,,,,,,,
ceramic,1,A_sparse_fracture,4,2.477178030928987,0.6192945077322467,30,True,inf,4,False,2.6,2.6089340504389966,0.008934050438996533,1.0,0.8755011179437057,0.12449888205629434,0.0,0.0007028713629939187,0.0007028713629939187,0.0,2.9849624885420565,2.9849624885420565,1.8,1.9883420055028893,0.18834200550288926,-20.0,-10.054319082595118,9.945680917404882,0.02,0.043139926859563256,0.023139926859563256,8.0,12.39339003167735,4.393390031677351,0.006122168409539122,0.24481334381920536,71,22.0,1.7056118120440458,79.32623836335712,3.0,0.37906770996944755,1.895338549847238,10.0,2.1216771051817975,17.878342691046953
ceramic,1,B_dense_fracture,10,4.270462706440967,0.4270462706440967,29,True,inf,6,False,2.6,2.23260398198638,0.3673960180136202,1.0,5.740133912034519,4.740133912034519,0.0,0.05072410691849482,0.05072410691849482,0.0,0.5856390419838783,0.5856390419838783,1.8,1.7911325694135394,0.008867430586460667,-20.0,-10.054319082595118,9.945680917404882,0.02,0.043139926859563256,0.023139926859563256,8.0,14.309014913017654,6.309014913017654,0.2344526533238857,0.2888172068448537,65,17.0,0.695945901149301,5.223869432686461,3.0,0.8637414496298518,4.318707248149258,10.0,2.2198232374462514,19.458864013381092
ceramic,1,C_rate_fracture,16,26.08724279729396,1.6304526748308725,17,True,inf,6,False,2.6,2.3024403014104426,0.29755969858955744,1.0,5.648002894308594,4.648002894308594,0.0,0.0452469289625675,0.0452469289625675,0.0,0.2618031480605512,0.2618031480605512,1.8,1.8147827501929619,0.014782750192961824,-20.0,-10.054319082595118,9.945680917404882,0.02,0.043139926859563256,0.023139926859563256,8.0,14.356536148428647,6.356536148428647,0.22692995625910087,0.2895107626872167,59,12.0,0.7810042102762924,5.963502492128146,3.0,1.04318105522451,5.215905276122549,10.0,2.1886257887538525,19.043300190401048
ceramic,1,D_add_fatigue,37,139.95787396513484,3.7826452423009416,5,True,inf,6,False,2.6,2.3024403014104426,0.29755969858955744,1.0,5.648002894308594,4.648002894308594,0.0,0.0452469289625675,0.0452469289625675,0.0,0.2618031480605512,0.2618031480605512,1.8,1.8147827501929619,0.014782750192961824,-20.0,-10.054319082595118,9.945680917404882,0.02,0.043139926859563256,0.023139926859563256,8.0,14.356536148428647,6.356536148428647,0.22692995625910087,0.2895107626872167,38,12.0,0.7810042102762924,5.963502492128146,0.0,,,10.0,2.1886257887538525,19.043300190401048
ceramic,1,E_add_fatigue_protocols,46,113.74897898065264,2.472803890883753,10,True,inf,6,False,2.6,2.3214003606468507,0.27859963935314935,1.0,4.641545984921862,3.641545984921862,0.0,0.047707654417018276,0.047707654417018276,0.0,0.23320383158400762,0.23320383158400762,1.8,1.814013944666305,0.014013944666305012,-20.0,-10.054319082595118,9.945680917404882,0.02,0.043139926859563256,0.023139926859563256,8.0,14.75270377268444,6.752703772684439,0.18000605395322034,0.30008492521334174,29,12.0,0.7896561790382288,5.981037761066395,,,,10.0,2.1638797060079717,18.824727228559365
ceramic,1,F_add_strength,61,339.7821349440533,5.5701989335090705,30,False,37479.06340141856,8,True,2.6,2.2888237105831375,0.3111762894168626,1.0,4.866500571607289,3.866500571607289,0.0,0.0025771660153651016,0.0025771660153651016,0.0,0.8063118538157961,0.8063118538157961,1.8,1.7651998351247482,0.03480016487525184,-20.0,-28.271127183946295,8.271127183946295,0.02,0.02851888423216628,0.00851888423216628,8.0,0.8150557406375243,7.184944259362476,0.1920902900821474,0.32646927726027514,14,12.0,0.10911021456328948,1.7181475748559831,,,,,,
