candidate_id,temperature_K,Kdot,threshold_action,threshold_mode,tier,K,K_over_K_FP,cumulative_action,action_over_threshold,cleavage_stress_Pa,renewal_rate_s
A_NATIVE,300.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,0.0,0.0,0.0,0.0,0.0,2.089107905650242e-70
A_NATIVE,300.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,0.15122202213484112,0.015625,6.3219129935134925e-68,8.418760061511794e-67,60328858.35738945,2.0936890232159312e-70
A_NATIVE,300.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,0.30244404426968224,0.03125,1.2690522864364559e-67,1.6899705383455083e-66,120657716.7147789,2.1240921042931357e-70
A_NATIVE,300.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,0.45366606640452334,0.046875,1.9221752519126948e-67,2.559720808975482e-66,180986575.07216832,2.2057080120847593e-70
A_NATIVE,300.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,0.6048880885393645,0.0625,2.611482634042655e-67,3.4776571147638023e-66,241315433.4295578,2.3693426206038672e-70
A_NATIVE,300.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,0.7561101106742056,0.078125,3.368064500012568e-67,4.4851814516262185e-66,301644291.7869472,2.6599106880844904e-70
A_NATIVE,300.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,0.9073321328090467,0.09375,4.240569711188037e-67,5.647078496530444e-66,361973150.14433664,3.152147129794363e-70
A_NATIVE,300.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,1.058554154943888,0.109375,5.308378555277097e-67,7.069057327806631e-66,422302008.5017261,3.981809915571677e-70
A_NATIVE,300.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,1.209776177078729,0.125,6.70886073651357e-67,8.934050323811135e-66,482630866.8591156,5.412708444975313e-70
A_NATIVE,300.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,1.36099819921357,0.140625,8.696143097176474e-67,1.158047291552693e-65,542959725.2165049,7.991292692306683e-70
A_NATIVE,300.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,1.5122202213484113,0.15625,1.1775505909277504e-66,1.5681196333267758e-65,603288583.5738944,1.2929037464678253e-69
A_NATIVE,300.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,1.6634422434832523,0.171875,1.7032878633597405e-66,2.268233025671763e-65,663617441.931284,2.3120380970915724e-69
A_NATIVE,300.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,1.8146642656180934,0.1875,2.7007978422108065e-66,3.5965963200618104e-65,723946300.2886733,4.6075736778275207e-69
A_NATIVE,300.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,1.9658862877529346,0.203125,4.821427802451732e-66,6.420595137008443e-65,784275158.6460627,1.0312938644412725e-68
A_NATIVE,300.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,2.117108309887776,0.21875,9.912049325077028e-66,1.319966995295778e-64,844604017.0034522,2.611578049943224e-68
A_NATIVE,300.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,2.2683303320226167,0.234375,2.3810579327207854e-65,3.170805331978317e-64,904932875.3608416,7.53323290018629e-68
A_NATIVE,300.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,2.419552354157458,0.25,6.72556782086139e-65,8.956298800592776e-64,965261733.7182312,2.490636952823876e-67
A_NATIVE,300.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,2.570774376292299,0.265625,2.2367434856790488e-64,2.9786247840491205e-63,1025590592.0756205,9.490817233613909e-67
A_NATIVE,300.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,2.72199639842714,0.28125,8.757634380275256e-64,1.1662359578442776e-62,1085919450.4330099,4.188613125870616e-66
A_NATIVE,300.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,2.8732184205619813,0.296875,4.037720270230889e-63,5.37694811451123e-62,1146248308.7903996,2.149764840905413e-65
A_NATIVE,300.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,3.0244404426968226,0.3125,2.193697605321752e-62,2.921301480369292e-61,1206577167.1477888,1.2873419890665412e-64
A_NATIVE,300.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,3.1756624648316634,0.328125,1.4055701504908875e-61,1.8717685388500358e-60,1266906025.5051782,9.016386171827373e-64
