candidate_id,temperature_K,Kdot,threshold_action,threshold_mode,tier,AK,AK_finite_difference,AT,AT_finite_difference,implicit_thermal_derivative,independent_root_thermal_derivative,agreement_passed,AT_method,refinement_relative_K_error
A_NATIVE,300.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,104.48595178891023,104.48595146026918,0.20739845360878073,0.2073984592481537,-0.001984941038081191,-0.0019849412112415976,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,300.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,94.04509264939514,94.04509288090556,0.18494636960518118,0.18494636960518118,-0.0019665711882986877,-0.00196657151230184,True,finite_difference_transient_state_at_fixed_load,5.903388888839345e-12
A_NATIVE,325.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,113.96684687332669,113.96684567315684,0.19106646508936118,0.1910664695076969,-0.001676509180794746,-0.0016765092579928975,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,325.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,102.72981008465267,102.72981013616399,0.16585274809416628,0.16585274809416628,-0.0016144559009453855,-0.001614455900731393,True,finite_difference_transient_state_at_fixed_load,4.250155782870024e-12
A_NATIVE,350.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,118.86918434308404,118.86918262226541,0.17720282904791335,0.17720283257979919,-0.001490738159155403,-0.0014907382005491243,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,375.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,120.68772096194839,120.68771896579733,0.16526504087889418,0.16526504374757334,-0.001369360855948225,-0.0013693608810694258,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,400.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,120.36968907281279,120.36968697169969,0.15486798488258682,0.15486798724530182,-0.0012866028489024815,-0.0012866028651448147,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,425.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,118.54262519978222,118.54262310971642,0.1457266664166763,0.1457266683874181,-0.0012293187043148429,-0.001229318715507688,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,450.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,115.63625310067498,115.63625109594743,0.1376241305867136,0.13762413224513992,-0.0011901469210256717,-0.0011901469300878986,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,475.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,111.95245205241582,111.95245018436717,0.13039165242485704,0.130391653835078,-0.0011647056409609326,-0.0011647056482599893,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,500.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,107.70761158934735,107.7076098892693,0.12389574272846905,0.12389574393907754,-0.0011502970022289748,-0.001150297008172263,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,525.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,103.05935446107824,103.05935294318225,0.11802926370359863,0.11802926474841602,-0.0011452552203611364,-0.0011452552259250126,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,550.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,98.12396761434168,98.12396628742891,0.11270516477327094,0.11270516568396616,-0.0011485997510438835,-0.0011485997555116256,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,575.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,92.98808711411995,92.9880859750165,0.10785195794577436,0.10785195874196685,-0.00115984704377683,-0.0011598470489571078,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,600.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,87.71671067077627,87.71670971475797,0.10341038481445153,0.10341038551545445,-0.00117891316288156,-0.0011789131682582443,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,625.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,82.35879562425794,82.35879484201679,0.09933092120384399,0.09933092182447201,-0.0012060754464771105,-0.001206075452280242,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,650.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,76.95122819577524,76.95122757551464,0.09557188385575038,0.09557188440785236,-0.0012419799670071732,-0.0012419799734653125,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,675.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,71.52166636579427,71.52166589407427,0.092097979092509,0.09209797958608767,-0.001287693418963117,-0.0012876934265482198,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,700.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,66.09058173403974,66.09058139613211,0.08887918334128282,0.08887918378420512,-0.0013448086097796576,-0.0013448086188594388,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,725.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,60.67270966083394,60.672709441704775,0.08588988020188655,0.08588988060122649,-0.0014156262458363724,-0.0014156262563269628,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,750.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,55.27803386251783,55.27803374608453,0.08310820521476511,0.08310820557563492,-0.0015034580539073402,-0.0015034580683437326,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,775.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,49.91235969153882,49.912359662156454,0.08051557375754205,0.08051557408502497,-0.0016131389951333259,-0.0016131390143203639,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,800.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,44.577441101149496,44.57744114293005,0.07809639919837137,0.07809639949653224,-0.001751926473777732,-0.0017519265003662632,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,825.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,39.27045129959277,39.27045139643148,0.07583807269118892,0.07583807296335454,-0.0019311739534802685,-0.001931173992348878,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,850.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,33.98210650380864,33.982106639378614,0.0737314540986871,0.07373145434800499,-0.002169714054966647,-0.002169714115518584,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,875.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,28.691268092451587,28.691268249325663,0.07177265991531409,0.07177266014465555,-0.0025015506349890765,-0.002501550738827074,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,900.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,23.349753671772632,23.349753831976017,0.0699683142056874,0.06996831441691054,-0.0029965332906390207,-0.002996533499528553,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,925.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,17.845083179212246,17.845083333494216,0.0683479310984565,0.06834793129371519,-0.0038300707490159006,-0.003830071289585568,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,950.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,11.958444043773527,11.958444210977692,0.06697424065423951,0.06697424083505599,-0.005600581514541717,-0.005600583610896326,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,975.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,5.6766456931131914,5.676645837127126,0.06582083660603819,0.06582083677554529,-0.011595022864627765,-0.011595038168120686,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,1000.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,1.428858328725135,1.4288583376043107,0.06401851768264241,0.06401851784146206,-0.04480396439286001,-0.04480393285439421,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,1025.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,1.005520541940251,1.0055205420300695,0.061067029818117395,0.06106702996178104,-0.06073175760316397,-0.060731753193499216,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,1050.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,1.000069390788055,1.0000693907841196,0.058187346781327316,0.058187346910871796,-0.05818330939563671,-0.05818330947406469,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,1075.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,1.0000010659873517,1.00000106599607,0.05550050629513895,0.05550050641203175,-0.055500447132364295,-0.055500447247998075,True,analytic_barrier_and_renewal_quadrature,0.0
A_NATIVE,1100.0,0.0005,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F0_INTRINSIC_OPENING,1.0000000198060197,1.0000000198040482,0.05298914045536054,0.0529891405604932,-0.052989139405856596,-0.05298913951093276,True,analytic_barrier_and_renewal_quadrature,0.0
