temperature_K,context_id,surface_id,endurance_binary,score
100.0,ctx_FCC_like_case29,EXP_00000,0,19.4
100.0,ctx_FCC_like_case29,EXP_00001,0,17.7
100.0,ctx_FCC_like_case29,EXP_00002,0,24.1
100.0,ctx_FCC_like_case29,EXP_00003,0,22.4
100.0,ctx_FCC_like_case29,EXP_00004,0,14.1
100.0,ctx_FCC_like_case29,EXP_00005,0,19.9
100.0,ctx_FCC_like_case29,EXP_00006,0,22.1
100.0,ctx_FCC_like_case29,EXP_00007,0,14.4
100.0,ctx_FCC_like_case29,EXP_00008,0,32.6
100.0,ctx_FCC_like_case29,EXP_00009,0,31.0
100.0,ctx_FCC_like_case29,EXP_00010,0,26.8
100.0,ctx_FCC_like_case29,EXP_00011,0,14.8
100.0,ctx_FCC_like_case29,EXP_00012,0,6.6
100.0,ctx_FCC_like_case29,EXP_00013,0,14.3
100.0,ctx_FCC_like_case29,EXP_00014,0,16.0
100.0,ctx_FCC_like_case29,EXP_00015,0,28.6
100.0,ctx_FCC_like_case29,EXP_00016,0,27.7
100.0,ctx_FCC_like_case29,EXP_00017,1,32.7
100.0,ctx_FCC_like_case29,EXP_00018,0,25.4
100.0,ctx_FCC_like_case29,EXP_00019,0,21.7
100.0,ctx_FCC_like_case29,EXP_00020,0,32.7
100.0,ctx_FCC_like_case29,EXP_00021,0,15.0
100.0,ctx_FCC_like_case29,EXP_00022,0,27.8
100.0,ctx_FCC_like_case29,EXP_00023,0,32.7
100.0,ctx_FCC_like_case29,EXP_00024,0,23.3
100.0,ctx_FCC_like_case29,EXP_00025,0,20.2
100.0,ctx_FCC_like_case29,EXP_00026,0,32.2
100.0,ctx_FCC_like_case29,EXP_00027,0,17.7
100.0,ctx_FCC_like_case29,EXP_00028,0,17.3
100.0,ctx_FCC_like_case29,EXP_00029,0,14.1
100.0,ctx_FCC_like_case29,EXP_00030,0,8.4
100.0,ctx_FCC_like_case29,EXP_00031,0,22.4
100.0,ctx_FCC_like_case29,EXP_00032,0,18.3
100.0,ctx_FCC_like_case29,EXP_00033,1,30.9
100.0,ctx_FCC_like_case29,EXP_00034,1,32.7
100.0,ctx_FCC_like_case29,EXP_00035,0,15.2
