A_T_kB,A_sigma_kB,sigma_S_MPa,Lambda_S_ref,n_failed,n_censored,high_cycle_abs_slope_MPa_per_decade
0.0,0.0,300.0,-0.0,14,2,22.48585981399034
0.0,1.0,300.0,0.0274325883744144,13,3,29.6263352543539
0.0,2.0,300.0,0.0548651767488289,13,3,27.565367910545262
0.0,3.0,300.0,0.0822977651232434,13,3,26.01007317466424
0.0,5.0,300.0,0.1371629418720724,12,4,27.28065971424772
0.0,10.0,300.0,0.2743258837441449,10,6,33.548020502390266
0.0,12.0,300.0,0.3291910604929739,9,7,41.15881011870237
0.0,15.0,300.0,0.4114888256162173,7,9,63.147857760765284
0.0,18.0,300.0,0.4937865907394609,6,10,76.52112372155835
1.0,0.0,300.0,-0.0,13,3,29.62621768810395
1.0,1.0,300.0,0.0274325883744144,13,3,27.565271524089216
1.0,2.0,300.0,0.0548651767488289,13,3,26.00999173021288
1.0,3.0,300.0,0.0822977651232434,12,4,28.99872522874055
1.0,5.0,300.0,0.1371629418720724,12,4,25.931606458408847
1.0,10.0,300.0,0.2743258837441449,9,7,41.49227267890135
1.0,12.0,300.0,0.3291910604929739,8,8,45.858378848784504
1.0,15.0,300.0,0.4114888256162173,7,9,63.107834831191376
1.0,18.0,300.0,0.4937865907394609,5,11,109.61102425503621
1.5,0.0,300.0,-0.0,13,3,28.520612097178276
1.5,1.0,300.0,0.0274325883744144,13,3,26.730415984470035
1.5,2.0,300.0,0.0548651767488289,12,4,29.96289855420079
1.5,3.0,300.0,0.0822977651232434,12,4,28.107207776051666
1.5,5.0,300.0,0.1371629418720724,11,5,34.3809677102514
1.5,10.0,300.0,0.2743258837441449,9,7,41.285742408424696
1.5,12.0,300.0,0.3291910604929739,8,8,45.813644018999085
1.5,15.0,300.0,0.4114888256162173,7,9,63.098668673380224
1.5,18.0,300.0,0.4937865907394609,5,11,109.60766200738787
2.0,0.0,300.0,-0.0,13,3,27.56517513832244
2.0,1.0,300.0,0.0274325883744144,13,3,26.009910286271577
2.0,2.0,300.0,0.0548651767488289,12,4,28.99868675853925
2.0,3.0,300.0,0.0822977651232434,12,4,27.28059504041886
2.0,5.0,300.0,0.1371629418720724,11,5,33.265400323688105
2.0,10.0,300.0,0.2743258837441449,9,7,41.15879933826085
2.0,12.0,300.0,0.3291910604929739,8,8,45.7864733375074
2.0,15.0,300.0,0.4114888256162173,6,10,76.53239056190652
2.0,18.0,300.0,0.4937865907394609,4,12,130.6988172490045
3.0,0.0,300.0,-0.0,13,3,26.009828842839486
3.0,1.0,300.0,0.0274325883744144,12,4,28.998648288439966
3.0,2.0,300.0,0.0548651767488289,12,4,27.28056270361576
3.0,3.0,300.0,0.0822977651232434,12,4,25.931550669560817
3.0,5.0,300.0,0.1371629418720724,11,5,31.601675349290208
3.0,10.0,300.0,0.2743258837441449,8,8,45.85837072305993
3.0,12.0,300.0,0.3291910604929739,7,9,63.147850141587746
3.0,15.0,300.0,0.4114888256162173,6,10,76.52111826230191
3.0,18.0,300.0,0.4937865907394609,3,13,178.6230232653141
