job_id,stage,option,R,Kmax_MPa_sqrt_m,Kmin_MPa_sqrt_m,deltaK_driver_MPa_sqrt_m,deltaK_nominal_full_MPa_sqrt_m,deltaK_nominal_tensile_MPa_sqrt_m,Kmax_nominal_MPa_sqrt_m,developed_da_dN,event_count,cycles,final_extension_um,target_reached,stable_growth,stationarity_ratio,terminal_classification,result_path,seed,n_bins,temperature_K,frequency_Hz,branch,head,analysis_head,production_solver_hash,common_physics_hash,composite_hash,acceleration_mode,reused,resumed,stationarity_classification,W_m,B_m,nominal_Pmax_initial_N,nominal_Pmin_initial_N,mobile_count,retained_count,mobile_to_retained,tip_radius_m,internal_stress_Pa,shielding_Pa_sqrt_m,physical_return,returned_source_slip,gross_source_activity,gross_return_activity,far_field_escape,wake_transfer,r0_m,micro_advance_total_m,net_source_linked_blunting_m,cleavage_action,emission_action
primary__A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5__R0.5__Kmax24__seed1720,PRIMARY,A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5,0.5,24.0,12.0,12.0,12.0,12.0,24.0,8.519508786134757e-07,18,113.74452129354864,102.66778366452745,True,True,0.9022485321568703,PHYSICAL_TARGET_REACHED,/private/tmp/v10230-reversible-energy-integration/runs/A_native_PT03_PT08_R_nominal_deltaK_v1/developed/primary__A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5__R0.5__Kmax24__seed1720,1720,80,300.0,1000.0,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,4b554006d60539d7dec659f4bfe4bf298728780a,c15a957161e8cdb43bf944243d8a18a64839dbfe0518aa2d1c5f0c93773b817b,4ba723c80abcfdd7101cee0afaa9b4104eebf2a8e847892528128664829c7760,6eeb596c0fd79dbc940107eb9806b9ad9b3f15328b9858dd729a23ef1c55d60b,explicit_only,False,False,STABLE,0.01,0.0025,621.1772601931604,310.5886300965802,0.006685607002144839,1994.6231477083059,3.351814607098174e-06,1.3437578042135995e-06,1354048393.5714812,-174728.0789554186,0.0,0.0,42724.548303859476,0.0,5.4448084801698796e-05,0.0,1e-06,0.00010100782108740613,3.437578042135995e-07,19.244176100855203,4376183.556184366
primary__A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6__R0.5__Kmax24__seed1720,PRIMARY,A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6,0.5,24.0,12.0,12.0,12.0,12.0,24.0,8.270907994793303e-07,18,116.9875880075102,102.66778366452745,True,True,0.9022258649822619,PHYSICAL_TARGET_REACHED,/private/tmp/v10230-reversible-energy-integration/runs/A_native_PT03_PT08_R_nominal_deltaK_v1/developed/primary__A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6__R0.5__Kmax24__seed1720,1720,80,300.0,1000.0,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,4b554006d60539d7dec659f4bfe4bf298728780a,c15a957161e8cdb43bf944243d8a18a64839dbfe0518aa2d1c5f0c93773b817b,4ba723c80abcfdd7101cee0afaa9b4104eebf2a8e847892528128664829c7760,dfbf87038a937593b9ba6e78351287807ab19d36ade45f10cfaccaf179a9ae9e,explicit_only,False,False,STABLE,0.01,0.0025,621.1772601931604,310.5886300965802,1462.6918331781897,531.9296951521646,2.7497841284453384,1.3437564197068434e-06,1353793644.0752552,-4144.253835370488,0.0,0.0,42672.644359848775,0.0,5.438786893001284e-10,0.0,1e-06,0.00010100782108740613,3.4375641970684347e-07,19.313985328251416,4236031.7724979045
primary__A_NATIVE__R0.1__Kmax12__seed1720,PRIMARY_REUSE,A_NATIVE,0.1,12.0,1.2000000000000002,10.8,10.8,10.8,12.0,2.448159884833225e-08,18,3932.6758437389867,102.66778366452745,True,True,0.9875154106236836,REUSED_PHYSICAL_TARGET_REACHED,/private/tmp/v10230-reversible-energy-integration/runs/A_native_plus_8PT_fatigue_v1/developed/n80/A_NATIVE/DK_10.8,1720,80,300.0,1000.0,codex/v10.2.30-R-ratio-nominal-deltaK,f99693632376a5e0308e8e112e9cd1c36a0692f6,4b554006d60539d7dec659f4bfe4bf298728780a,c15a957161e8cdb43bf944243d8a18a64839dbfe0518aa2d1c5f0c93773b817b,4ba723c80abcfdd7101cee0afaa9b4104eebf2a8e847892528128664829c7760,659bf6e416abc219e854b3d753a056edc925da7f9959a7af6773821d078cea95,prior_qualified,True,False,STABLE,0.01,0.0025,310.5886300965802,31.05886300965802,61.11036654044313,5.861196697264987e-25,1.0426261000412952e+26,1.0105318630661543e-06,235483976.96506143,-3.2764422887172738e-24,0.0,0.0,2122.2345129029018,0.0,0.0,0.0,1e-06,0.00010100782108740613,1.0531863066154343e-08,22.299812577618738,17339.479627665027
primary__A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5__R0.1__Kmax12__seed1720,PRIMARY_REUSE,A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5,0.1,12.0,1.2000000000000002,10.8,10.8,10.8,12.0,2.4609091747657e-08,18,3912.913689375115,102.66778366452745,True,True,0.9840260020376133,REUSED_PHYSICAL_TARGET_REACHED,/private/tmp/v10230-reversible-energy-integration/runs/A_native_plus_8PT_fatigue_v1/developed/n80/A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5/DK_10.8,1720,80,300.0,1000.0,codex/v10.2.30-R-ratio-nominal-deltaK,f99693632376a5e0308e8e112e9cd1c36a0692f6,4b554006d60539d7dec659f4bfe4bf298728780a,c15a957161e8cdb43bf944243d8a18a64839dbfe0518aa2d1c5f0c93773b817b,4ba723c80abcfdd7101cee0afaa9b4104eebf2a8e847892528128664829c7760,6eeb596c0fd79dbc940107eb9806b9ad9b3f15328b9858dd729a23ef1c55d60b,prior_qualified,True,False,STABLE,0.01,0.0025,310.5886300965802,31.05886300965802,34.997650352439145,26.20736856116205,1.335412606220368,1.0105481756101103e-06,235339754.78805524,-531.3911516766515,0.0,0.0,2123.7670377657773,0.0,7.87732373600697e-10,0.0,1e-06,0.00010100782108740613,1.054817561011031e-08,22.29944022103277,15689.123035643559
primary__A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6__R0.1__Kmax12__seed1720,PRIMARY_REUSE,A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6,0.1,12.0,1.2000000000000002,10.8,10.8,10.8,12.0,2.448159884796169e-08,18,3932.675843793895,102.66778366452745,True,True,0.9875154106282913,REUSED_PHYSICAL_TARGET_REACHED,/private/tmp/v10230-reversible-energy-integration/runs/A_native_plus_8PT_fatigue_v1/developed/n80/A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6/DK_10.8,1720,80,300.0,1000.0,codex/v10.2.30-R-ratio-nominal-deltaK,f99693632376a5e0308e8e112e9cd1c36a0692f6,4b554006d60539d7dec659f4bfe4bf298728780a,c15a957161e8cdb43bf944243d8a18a64839dbfe0518aa2d1c5f0c93773b817b,4ba723c80abcfdd7101cee0afaa9b4104eebf2a8e847892528128664829c7760,dfbf87038a937593b9ba6e78351287807ab19d36ade45f10cfaccaf179a9ae9e,prior_qualified,True,False,STABLE,0.01,0.0025,310.5886300965802,31.05886300965802,61.110366591904054,9.722279151151264e-10,62856009009.64428,1.0105318630751909e-06,235483977.06599706,-5.4348066655664315e-09,0.0,0.0,2122.2345122066313,0.0,3.771418421190643e-10,0.0,1e-06,0.00010100782108740613,1.0531863075190914e-08,22.299812577601326,17339.479618294892
primary__A_NATIVE__R0.1__Kmax15__seed1720,PRIMARY_REUSE,A_NATIVE,0.1,15.0,1.5,13.5,13.5,13.5,15.0,3.003481684450034e-07,18,324.3458490899679,102.66778366452745,True,True,0.9194833287829696,REUSED_PHYSICAL_TARGET_REACHED,/private/tmp/v10230-reversible-energy-integration/runs/A_native_plus_8PT_fatigue_v1/developed/n80/A_NATIVE/DK_13.5,1720,80,300.0,1000.0,codex/v10.2.30-R-ratio-nominal-deltaK,f99693632376a5e0308e8e112e9cd1c36a0692f6,4b554006d60539d7dec659f4bfe4bf298728780a,c15a957161e8cdb43bf944243d8a18a64839dbfe0518aa2d1c5f0c93773b817b,4ba723c80abcfdd7101cee0afaa9b4104eebf2a8e847892528128664829c7760,659bf6e416abc219e854b3d753a056edc925da7f9959a7af6773821d078cea95,prior_qualified,True,False,STABLE,0.01,0.0025,388.23578762072526,38.82357876207253,239.57667092287775,7.863714266290958e-18,3.0466095640054047e+19,1.041289045198725e-06,466259258.18620414,-4.395858868047896e-17,0.0,0.0,6100.154604269425,0.0,0.0,0.0,1e-06,0.00010100782108740613,4.1289045198725045e-08,21.298163328414027,984055.9430048178
primary__A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5__R0.1__Kmax15__seed1720,PRIMARY_REUSE,A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5,0.1,15.0,1.5,13.5,13.5,13.5,15.0,3.0071066200467e-07,18,323.9703134687157,102.66778366452745,True,True,0.9192751735644015,REUSED_PHYSICAL_TARGET_REACHED,/private/tmp/v10230-reversible-energy-integration/runs/A_native_plus_8PT_fatigue_v1/developed/n80/A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5/DK_13.5,1720,80,300.0,1000.0,codex/v10.2.30-R-ratio-nominal-deltaK,f99693632376a5e0308e8e112e9cd1c36a0692f6,4b554006d60539d7dec659f4bfe4bf298728780a,c15a957161e8cdb43bf944243d8a18a64839dbfe0518aa2d1c5f0c93773b817b,4ba723c80abcfdd7101cee0afaa9b4104eebf2a8e847892528128664829c7760,6eeb596c0fd79dbc940107eb9806b9ad9b3f15328b9858dd729a23ef1c55d60b,prior_qualified,True,False,STABLE,0.01,0.0025,388.23578762072526,38.82357876207253,90.52802874235968,150.0591086304229,0.6032824636145151,1.0414631907710492e-06,466913811.6306925,-11728.404348105712,0.0,0.0,6119.467826502876,0.0,1.3902316876275058e-10,0.0,1e-06,0.00010100782108740613,4.1463190771049254e-08,21.292923175039704,987244.3683673637
primary__A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6__R0.1__Kmax15__seed1720,PRIMARY_REUSE,A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6,0.1,15.0,1.5,13.5,13.5,13.5,15.0,3.0034855640925616e-07,18,324.345467286255,102.66778366452745,True,True,0.9194833275258125,REUSED_PHYSICAL_TARGET_REACHED,/private/tmp/v10230-reversible-energy-integration/runs/A_native_plus_8PT_fatigue_v1/developed/n80/A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6/DK_13.5,1720,80,300.0,1000.0,codex/v10.2.30-R-ratio-nominal-deltaK,f99693632376a5e0308e8e112e9cd1c36a0692f6,4b554006d60539d7dec659f4bfe4bf298728780a,c15a957161e8cdb43bf944243d8a18a64839dbfe0518aa2d1c5f0c93773b817b,4ba723c80abcfdd7101cee0afaa9b4104eebf2a8e847892528128664829c7760,dfbf87038a937593b9ba6e78351287807ab19d36ade45f10cfaccaf179a9ae9e,prior_qualified,True,False,STABLE,0.01,0.0025,388.23578762072526,38.82357876207253,239.57375406697494,0.0029833288340714473,80304.1727518923,1.0412890566547806e-06,466259178.14768124,-0.01667696992600416,0.0,0.0,6100.214932559162,0.0,1.490027954464168e-10,0.0,1e-06,0.00010100782108740613,4.1289056654780646e-08,21.29815078308332,984076.604516528
primary__A_NATIVE__R0.1__Kmax18__seed1720,PRIMARY_REUSE,A_NATIVE,0.1,18.0,1.8,16.2,16.2,16.2,18.0,4.473410023231299e-07,18,218.13613231694143,102.66778366452745,True,True,0.9107076981123243,REUSED_PHYSICAL_TARGET_REACHED,/private/tmp/v10230-reversible-energy-integration/runs/A_native_plus_8PT_fatigue_v1/developed/n80/A_NATIVE/DK_16.2,1720,80,300.0,1000.0,codex/v10.2.30-R-ratio-nominal-deltaK,f99693632376a5e0308e8e112e9cd1c36a0692f6,4b554006d60539d7dec659f4bfe4bf298728780a,c15a957161e8cdb43bf944243d8a18a64839dbfe0518aa2d1c5f0c93773b817b,4ba723c80abcfdd7101cee0afaa9b4104eebf2a8e847892528128664829c7760,659bf6e416abc219e854b3d753a056edc925da7f9959a7af6773821d078cea95,prior_qualified,True,False,STABLE,0.01,0.0025,465.8829451448703,46.58829451448703,582.994152425294,3.402536862387193e-11,17134102465425.459,1.1004741824397272e-06,727372826.7194251,-1.9020365268450596e-10,0.0,0.0,13559.36952635337,0.0,1.7626001029767523e-12,0.0,1e-06,0.00010100782108740613,1.0047418243972728e-07,20.758873111549498,2078513.9368093682
primary__A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5__R0.1__Kmax18__seed1720,PRIMARY_REUSE,A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5,0.1,18.0,1.8,16.2,16.2,16.2,18.0,4.488329793367937e-07,18,216.82863793464628,102.66778366452745,True,True,0.9101588639903299,REUSED_PHYSICAL_TARGET_REACHED,/private/tmp/v10230-reversible-energy-integration/runs/A_native_plus_8PT_fatigue_v1/developed/n80/A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5/DK_16.2,1720,80,300.0,1000.0,codex/v10.2.30-R-ratio-nominal-deltaK,f99693632376a5e0308e8e112e9cd1c36a0692f6,4b554006d60539d7dec659f4bfe4bf298728780a,c15a957161e8cdb43bf944243d8a18a64839dbfe0518aa2d1c5f0c93773b817b,4ba723c80abcfdd7101cee0afaa9b4104eebf2a8e847892528128664829c7760,6eeb596c0fd79dbc940107eb9806b9ad9b3f15328b9858dd729a23ef1c55d60b,prior_qualified,True,False,STABLE,0.01,0.0025,465.8829451448703,46.58829451448703,41.41645237923895,548.5344079756674,0.07550383672755157,1.101673115075476e-06,731480752.6621747,-62047.51101164668,0.0,0.0,13616.320443065035,0.0,7.458182736281874e-11,0.0,1e-06,0.00010100782108740613,1.0167311507547615e-07,20.743982338380334,2156743.643302435
