base_protocol,confirm_protocol,common_Kmax_points_Pa_sqrt_m,seed_1720_slope_m,seed_1001723_slope_m,delta_m,sign_match,delta_m_tolerance,classification
D1,D1_confirm,15000000.0;18000000.0;21000000.0,-4.648074043583536,-4.640521547802387,0.007552495781149027,True,0.25,REBONDING_SEED_ROBUST
D2,D2_confirm,15000000.0;18000000.0;21000000.0,-4.579999524765285,-4.5945095228793,-0.014509998114014877,True,0.25,REBONDING_SEED_ROBUST
D3,D3_confirm,15000000.0;18000000.0;21000000.0,-4.228422562283578,-4.2231933288190895,0.0052292334644885585,True,0.25,REBONDING_SEED_ROBUST
D5,D5_confirm,15000000.0;18000000.0;21000000.0,-4.583806652797894,-4.5986193341785775,-0.014812681380683479,True,0.25,REBONDING_SEED_ROBUST
D6_conditional_persistent,D6_confirm,15000000.0;18000000.0;21000000.0,-4.667261184098629,-4.633316390516782,0.03394479358184643,True,0.25,REBONDING_SEED_ROBUST
