candidate_id,production_role,strict_V2_V2_1_sentinels,production_1D_topology_confirmed,rising_resistance_gate,state_attribution_gate,two_finite_exact_row_high_stress_fatigue_points,no_saturation_artifact,deterministic_checkpoint_restart,cross_code_full_precision_row,promotion_status,permanent_qualification
P25_TJBSV2_S_002987,P25_DBTT_LIKE,True,True,True,True,False,True,True,True,NOT_PROMOTED_MISSING_EXACT_ROW_HIGH_STRESS_FATIGUE,NOT_EXPERIMENTALLY_CALIBRATED_NOT_ASTMR_CURVE
P40_TJBSV2_S_038503,P40_DBTT_LIKE,True,True,False,False,False,True,False,True,NOT_PROMOTED_MISSING_EXACT_ROW_HIGH_STRESS_FATIGUE,NOT_EXPERIMENTALLY_CALIBRATED_NOT_ASTMR_CURVE
P25_TJBSV2_S_026704,P25_WEAK_T,True,True,False,False,False,True,False,True,NOT_PROMOTED_MISSING_EXACT_ROW_HIGH_STRESS_FATIGUE,NOT_EXPERIMENTALLY_CALIBRATED_NOT_ASTMR_CURVE
P40_TJBSV2_S_038278,P40_WEAK_T,True,True,False,False,False,True,False,True,NOT_PROMOTED_MISSING_EXACT_ROW_HIGH_STRESS_FATIGUE,NOT_EXPERIMENTALLY_CALIBRATED_NOT_ASTMR_CURVE
P25_TJBSV2_S_004127,P25_CERAMIC_LIKE,True,True,False,False,False,True,False,True,NOT_PROMOTED_MISSING_EXACT_ROW_HIGH_STRESS_FATIGUE,NOT_EXPERIMENTALLY_CALIBRATED_NOT_ASTMR_CURVE
P40_TJBSV2_S_031027,P40_CERAMIC_LIKE,True,True,False,False,False,True,False,True,NOT_PROMOTED_MISSING_EXACT_ROW_HIGH_STRESS_FATIGUE,NOT_EXPERIMENTALLY_CALIBRATED_NOT_ASTMR_CURVE
P25_TJBSV2_S_064036,P25_ACCESSIBLE_CONTROL,True,True,False,False,False,True,False,True,NOT_PROMOTED_MISSING_EXACT_ROW_HIGH_STRESS_FATIGUE,NOT_EXPERIMENTALLY_CALIBRATED_NOT_ASTMR_CURVE
P40_TJBSV2_S_043821,P40_ACCESSIBLE_CONTROL,True,True,False,False,False,True,True,True,NOT_PROMOTED_MISSING_EXACT_ROW_HIGH_STRESS_FATIGUE,NOT_EXPERIMENTALLY_CALIBRATED_NOT_ASTMR_CURVE
