attempt_count,bridge_element_audit,case_id,cavity_area_m2,cavity_boundary_components,cavity_perimeter_m,cavity_traction_l2_normalized,compliance_m2_per_N,conditioning,crack_free_surface_components,crack_graph_length_m,energy_reaction_identity,error,failure_classification,family,free_residual_norm_N_per_m,geometry_fingerprint,hoop_stress_concentration,initial_error,internal_boundary_components,ligament_ratio,mesh_elements,mesh_fingerprint,mesh_maximum_aspect_ratio,mesh_minimum_quality,mesh_nodes,no_solid_inside_void,offset_ratio,opening_scale,perturbation_ratio,reaction_bottom_N_per_m,reaction_top_N_per_m,recovery,resolution,segments,sigma_xx_max_Pa,sigma_xx_min_Pa,sigma_xy_abs_max_Pa,sigma_yy_max_Pa,sigma_yy_min_Pa,status,stored_energy_J_per_m,support_cavity_overlap,symmetry_error,theta_deg,topology_classification,v12_support_certified,v12_support_elements,wall_seconds
,PASS,STATIC-0010,7.879312268573135e-09,1,0.0003151724907429256,0.8629474752102181,1.472946198374483e-11,SOLVED,1,0.0006303555734163296,FINITE,,,core,5.569172778610949e-10,b5197c7f67a98e1b16548aa65a54a854cecccee9b5dbc6c4ad7cb52bed14bace,14.471769361472978,,1,0.5,768,ab730cdcf0dd3a6fff2840f01fddd3b57fd4b43328e22e0aadb7a17155d4223b,3.498398323592133,0.3117878388141192,416,True,0.5,1.0,,-27156.456932468296,27156.456932468594,,12,,72376720.90785986,-50051504.00666975,112304198.98636584,386399256.6820081,-14008129.75449602,PASS,0.005431291386493752,0,1.0985021460028987e-14,0.0,ONE_CRACK_ONE_VOID,True,96,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
,PASS,STATIC-0011,7.879312268573135e-09,1,0.0003151724907429256,1.0017934680715468,1.1257792464687466e-11,SOLVED,1,0.0006182854147986583,FINITE,,,core,7.960329545840929e-10,223208eb2a33246566f6a4f7f347b09e4c4dd08cd0e18e67adfa7349f76de357,12.939917365937708,,1,0.5,1024,f66d760d4da94ec6ca1fbc8ac7c58023153eb394db287f6b53fd0b9c90cd72e5,4.42027925806725,0.26307284906654793,544,True,0.5,1.0,,-35530.944566147264,35530.9445661472,,16,,89417426.39111628,-22424065.903186392,101249111.69608028,460768244.12223595,-14614242.210288301,PASS,0.007106188913229475,0,1.84300246805264e-15,0.0,ONE_CRACK_ONE_VOID,True,112,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,,STATIC-0012,,,,,,,,,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,core,,,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),,0.5,,,,,,,1.0,1.0,,,,one_local_mesh_refinement_failed,8,,,,,,,OUTSIDE_ENVELOPE,,,,0.0,,,,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,,STATIC-0013,7.879312268573141e-09,,0.0003151724907429256,0.9536279259714768,1.0819523637509176e-11,,,0.0006182854147986583,,,MESH_CONVERGENCE_FAILURE_RECOVERED,core,7.39476897320223e-10,,12.423265463599222,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),1,0.5,1024,,4.42027925806725,0.26307284906654804,544,,1.0,1.0,,-36970.204364015226,36970.20436401452,one_local_mesh_refinement,12,,89431783.77538677,-24834504.88438818,100680026.83307196,460254932.8184187,-12965431.904764475,RECOVERED_PASS,0.0073940408728028996,,1.9090180882601817e-14,0.0,,True,112,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
,PASS,STATIC-0014,7.879312268573141e-09,1,0.0003151724907429256,0.9536279259714768,1.0819523637509176e-11,SOLVED,1,0.0006182854147986583,FINITE,,,core,7.39476897320223e-10,b370b3d3d8dc85ac51debc354473a426bd93f555de1da64050d8683d1ca6669d,12.423265463599222,,1,0.5,1024,293ffb3a9cbd4699c2991d28b949c28d0627e3c751b5ae275e180f189f688a42,4.42027925806725,0.26307284906654804,544,True,1.0,1.0,,-36970.204364015226,36970.20436401452,,16,,89431783.77538677,-24834504.88438818,100680026.83307196,460254932.8184187,-12965431.904764475,PASS,0.0073940408728028996,0,1.9090180882601817e-14,0.0,ONE_CRACK_ONE_VOID,True,112,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,,STATIC-0015,,,,,,,,,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,core,,,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),,1.0,,,,,,,-1.0,1.0,,,,one_local_mesh_refinement_failed,8,,,,,,,OUTSIDE_ENVELOPE,,,,0.0,,,,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,,STATIC-0016,7.879312268573136e-09,,0.0003151724907429256,0.9536279259714758,1.0819523637509257e-11,,,0.0005972190398280965,,,MESH_CONVERGENCE_FAILURE_RECOVERED,core,7.098741448958797e-10,,12.423265463599204,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),1,1.0,1024,,4.42027925806725,0.26307284906654793,544,,-1.0,1.0,,-36970.20436401482,36970.204364014244,one_local_mesh_refinement,12,,89431783.77538545,-24834504.884389594,100680026.83307107,460254932.81841475,-12965431.904763239,RECOVERED_PASS,0.007394040872802906,,1.5547673089954175e-14,0.0,,True,112,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
,PASS,STATIC-0017,7.879312268573136e-09,1,0.0003151724907429256,0.9536279259714758,1.0819523637509257e-11,SOLVED,1,0.0005972190398280965,FINITE,,,core,7.098741448958797e-10,ca53bd3ac9f05654ab987f815641e8ccfa44609dd3e542e6f30b281fc68c1fce,12.423265463599204,,1,1.0,1024,f99e358fe6d6fcb5e1f357dd741def69530c6741a5f95ee19745f0734766b10e,4.42027925806725,0.26307284906654793,544,True,-1.0,1.0,,-36970.20436401482,36970.204364014244,,16,,89431783.77538545,-24834504.884389594,100680026.83307107,460254932.81841475,-12965431.904763239,PASS,0.007394040872802906,0,1.5547673089954175e-14,0.0,ONE_CRACK_ONE_VOID,True,112,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,,STATIC-0018,7.879312268573135e-09,,0.0003151724907429256,1.0651626475331475,1.0732617853445506e-11,,,0.0006046359830908244,,,MESH_CONVERGENCE_FAILURE_RECOVERED,core,4.4900173337055426e-10,,10.159832661922316,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),1,1.0,768,,3.498398323592133,0.3117878388141192,416,,-0.5,1.0,,-37269.56512027415,37269.56512027375,one_local_mesh_refinement,8,,68614505.64844592,-18457536.106615007,76108825.70896034,380086813.5910219,-12920209.540195497,RECOVERED_PASS,0.0074539130240547785,,1.0737384981248449e-14,0.0,,True,80,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
,PASS,STATIC-0019,7.879312268573135e-09,1,0.0003151724907429256,1.0651626475331475,1.0732617853445506e-11,SOLVED,1,0.0006046359830908244,FINITE,,,core,4.4900173337055426e-10,1fe79cce15384eee07200ff8706173de2648c0fd1ce0819e18960894c07d314e,10.159832661922316,,1,1.0,768,81e3181e5a9e55abd8038439c7070e074f81530fe785eca9a80731bcb7654b18,3.498398323592133,0.3117878388141192,416,True,-0.5,1.0,,-37269.56512027415,37269.56512027375,,12,,68614505.64844592,-18457536.106615007,76108825.70896034,380086813.5910219,-12920209.540195497,PASS,0.0074539130240547785,0,1.0737384981248449e-14,0.0,ONE_CRACK_ONE_VOID,True,80,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
