attempt_count,case_id,error,failure_classification,family,initial_error,ligament_ratio,offset_ratio,opening_scale,recovery,resolution,status,theta_deg,wall_seconds
2,STATIC-0000,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,core,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),0.5,-1.0,1.0,one_local_mesh_refinement_failed,8,OUTSIDE_ENVELOPE,0.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
,STATIC-0001,,MESH_CONVERGENCE_FAILURE,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),,,,one_local_mesh_refinement,,RECOVERED_PASS,,
,STATIC-0003,,MESH_CONVERGENCE_FAILURE,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),,,,one_local_mesh_refinement,,RECOVERED_PASS,,
,STATIC-0006,,MESH_CONVERGENCE_FAILURE,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),,,,one_local_mesh_refinement,,RECOVERED_PASS,,
,STATIC-0009,,MESH_CONVERGENCE_FAILURE,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),,,,one_local_mesh_refinement,,RECOVERED_PASS,,
2,STATIC-0012,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,core,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),0.5,1.0,1.0,one_local_mesh_refinement_failed,8,OUTSIDE_ENVELOPE,0.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
,STATIC-0013,,MESH_CONVERGENCE_FAILURE,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),,,,one_local_mesh_refinement,,RECOVERED_PASS,,
2,STATIC-0015,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,core,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),1.0,-1.0,1.0,one_local_mesh_refinement_failed,8,OUTSIDE_ENVELOPE,0.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
,STATIC-0016,,MESH_CONVERGENCE_FAILURE,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),,,,one_local_mesh_refinement,,RECOVERED_PASS,,
,STATIC-0018,,MESH_CONVERGENCE_FAILURE,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),,,,one_local_mesh_refinement,,RECOVERED_PASS,,
,STATIC-0021,,MESH_CONVERGENCE_FAILURE,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),,,,one_local_mesh_refinement,,RECOVERED_PASS,,
,STATIC-0024,,MESH_CONVERGENCE_FAILURE,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),,,,one_local_mesh_refinement,,RECOVERED_PASS,,
2,STATIC-0027,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,core,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),1.0,1.0,1.0,one_local_mesh_refinement_failed,8,OUTSIDE_ENVELOPE,0.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
,STATIC-0028,,MESH_CONVERGENCE_FAILURE,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),,,,one_local_mesh_refinement,,RECOVERED_PASS,,
2,STATIC-0030,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,core,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),2.0,-1.0,1.0,one_local_mesh_refinement_failed,8,OUTSIDE_ENVELOPE,0.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
