case_id,physical_equal,status,trajectory
NEUTRAL-straight,True,PASS,straight
NEUTRAL-oblique,True,PASS,oblique
NEUTRAL-checkpoint_restart,True,PASS,checkpoint_restart
NEUTRAL-opening_unload_reload,True,PASS,opening_unload_reload
