attempt_count,bridge_element_audit,case_id,cavity_area_m2,cavity_boundary_components,cavity_perimeter_m,cavity_traction_l2_normalized,compliance_m2_per_N,conditioning,crack_free_surface_components,crack_graph_length_m,energy_reaction_identity,error,failure_classification,family,free_residual_norm_N_per_m,geometry_fingerprint,hoop_stress_concentration,initial_error,internal_boundary_components,ligament_ratio,mesh_elements,mesh_fingerprint,mesh_maximum_aspect_ratio,mesh_minimum_quality,mesh_nodes,no_solid_inside_void,offset_ratio,opening_scale,reaction_bottom_N_per_m,reaction_top_N_per_m,recovery,resolution,segments,sigma_xx_max_Pa,sigma_xx_min_Pa,sigma_xy_abs_max_Pa,sigma_yy_max_Pa,sigma_yy_min_Pa,status,stored_energy_J_per_m,support_cavity_overlap,symmetry_error,theta_deg,topology_classification,v12_support_certified,v12_support_elements,wall_seconds
2,,STATIC-0075,7.879312268573136e-09,,0.0003151724907429256,0.7491905562632429,1.3943401276498218e-11,,,0.0006335141195966548,,,MESH_CONVERGENCE_FAILURE_RECOVERED,convergence,6.870928688323451e-10,,13.749915567865436,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),1,0.5,896,,3.9584238330341157,0.2863601630247789,480,,-1.0,1.0,-28687.405036114847,28687.40503611591,one_local_mesh_refinement,10,,75778393.47410262,-47007081.2040612,116600876.78754604,387176031.59498876,-12660562.870094802,RECOVERED_PASS,0.0057374810072231205,,3.702983279015352e-14,0.0,,True,112,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
,PASS,STATIC-0076,7.879312268573136e-09,1,0.0003151724907429256,0.7491905562632429,1.3943401276498218e-11,SOLVED,1,0.0006335141195966548,FINITE,,,convergence,6.870928688323451e-10,42e20a912672ee9db9149b4bdbc0fa44b7d4de961d40dbbeca61dc9a14b421e2,13.749915567865436,,1,0.5,896,576b4468745f9d73c5e4fed48cf24f7be2b6119a66d4709b98f627f435e7d268,3.9584238330341157,0.2863601630247789,480,True,-1.0,1.0,-28687.405036114847,28687.40503611591,,14,,75778393.47410262,-47007081.2040612,116600876.78754604,387176031.59498876,-12660562.870094802,PASS,0.0057374810072231205,0,3.702983279015352e-14,0.0,ONE_CRACK_ONE_VOID,True,112,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
,PASS,STATIC-0077,7.87017068246184e-09,1,0.0003148068272984739,0.8478506752098899,1.1019068722177564e-11,SOLVED,1,0.000625801110643052,FINITE,,,convergence,9.19073305796071e-10,e80cd5c0f1f182fd6d6e55d84279a01d656edf0dc35745722c41c7e058092972,14.048914116576546,,1,0.5,1600,9f4060bc30bdd2b1a7ea4f2e48d9267a5082cdd9e4ff91160f102e4d2f443ec9,4.38992270403308,0.26359917702620966,840,True,-1.0,1.0,-36300.70835250754,36300.70835250703,,20,,119199245.15979809,-25515220.973246224,122751499.27498649,527225005.29915446,-18097093.632084932,PASS,0.007260141670501568,0,1.4230934162235044e-14,0.0,ONE_CRACK_ONE_VOID,True,144,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
,PASS,STATIC-0078,7.879312268573131e-09,1,0.00031517249074292553,0.9710277870560323,1.469222537432545e-11,SOLVED,1,0.0006257170227400806,FINITE,,,convergence,5.13337982886842e-10,5df3c9e04a8b291eeaf5488f5fb61f8199cddb6ae170ebfed99cd19b03e9b068,14.420673938557018,,1,0.5,640,4fd4483de6749da41e9684b8c3230a3eb250574a5ded4680c165f936d5a43870,3.229131341006545,0.337346770538999,352,True,0.0,1.0,-27225.283427723298,27225.283427723407,,10,,68124345.57541154,-42466271.1411365,105365127.39507227,387116056.65945375,-12168149.871358661,PASS,0.005445056685544726,0,4.008750340560832e-15,0.0,ONE_CRACK_ONE_VOID,True,80,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
,PASS,STATIC-0079,7.879312268573131e-09,1,0.00031517249074292553,0.7961780320721796,1.4713101578147184e-11,SOLVED,1,0.0006335141195966548,FINITE,,,convergence,6.713998882207814e-10,4690d61a11870b652b3492713500aefbc88d221621b052f42755e62d37d45272,14.437900564006618,,1,0.5,896,aa1a5b53ffde06ba864a6381e109039db1f4cf16e55c0082d8bbcc0d5ad64ae2,3.9584238330341157,0.2863601630247789,480,True,0.0,1.0,-27186.65387277084,27186.653872770436,,14,,74821517.67812811,-47953851.079838485,115545082.68998837,385245989.92581356,-13907788.684866523,PASS,0.0054373307745542165,0,1.485345160448867e-14,0.0,ONE_CRACK_ONE_VOID,True,112,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
,PASS,STATIC-0080,7.870170682461859e-09,1,0.0003148068272984739,0.8507096697523386,1.1009084382253556e-11,SOLVED,1,0.000625801110643052,FINITE,,,convergence,9.707489889438794e-10,b2390f14c82b7678ff59fafe41fb2da4648e4c9105f821aed5dec2d649ade6c3,14.030238899202594,,1,0.5,1600,721e40a00bae7548e0164950838e7efc9c8153e2d7e9dc198f024d6be2061008,4.389922704033078,0.26359917702620966,840,True,0.0,1.0,-36333.63012865941,36333.630128659264,,20,,115872547.07358882,-25704603.701882027,120971409.42082211,523035526.8539237,-8672279.743946522,PASS,0.007266726025731889,0,4.005081566812281e-15,0.0,ONE_CRACK_ONE_VOID,True,144,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,,STATIC-0081,7.879312268573141e-09,,0.0003151724907429256,0.7491905562632418,1.3943401276498191e-11,,,0.0006335141195966548,,,MESH_CONVERGENCE_FAILURE_RECOVERED,convergence,6.981946834020772e-10,,13.74991556786546,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),1,0.5,896,,3.9584238330341153,0.28636016302477896,480,,1.0,1.0,-28687.40503611537,28687.405036115964,one_local_mesh_refinement,10,,75778393.4741044,-47007081.204062924,116600876.7875478,387176031.5949903,-12660562.870095735,RECOVERED_PASS,0.005737481007223127,,2.0670762824640452e-14,0.0,,True,112,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
,PASS,STATIC-0082,7.879312268573141e-09,1,0.0003151724907429256,0.7491905562632418,1.3943401276498191e-11,SOLVED,1,0.0006335141195966548,FINITE,,,convergence,6.981946834020772e-10,c19ac25468d3d0b274d7c8812913e4573097136c45982df7592c534486643d10,13.74991556786546,,1,0.5,896,bc2b9c26b91fe6fc178b84751d052a5006245a6e39a0dedb59d7dac6ebc4ae47,3.9584238330341153,0.28636016302477896,480,True,1.0,1.0,-28687.40503611537,28687.405036115964,,14,,75778393.4741044,-47007081.204062924,116600876.7875478,387176031.5949903,-12660562.870095735,PASS,0.005737481007223127,0,2.0670762824640452e-14,0.0,ONE_CRACK_ONE_VOID,True,112,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
,PASS,STATIC-0083,7.870170682461845e-09,1,0.0003148068272984739,0.8478506752098645,1.1019068722177374e-11,SOLVED,1,0.000625801110643052,FINITE,,,convergence,9.307578238603389e-10,af268d394deaf7bd9edc7332ad862efbf0ace2fe756482005cc97968249c6399,14.048914116576114,,1,0.5,1600,7bf2bc5fa140225033c28446139ea88c095b70605777305394fe42b0410a2661,4.389922704033078,0.2635991770262097,840,True,1.0,1.0,-36300.708352508096,36300.708352507645,,20,,119199245.1597976,-25515220.973246235,122751499.2749853,527225005.2991476,-18097093.63208441,PASS,0.0072601416705015374,0,1.2427012930402221e-14,0.0,ONE_CRACK_ONE_VOID,True,144,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,,STATIC-0084,7.879312268573135e-09,,0.0003151724907429256,1.0250522213398008,1.1027105143965954e-11,,,0.000612629038730831,,,MESH_CONVERGENCE_FAILURE_RECOVERED,convergence,5.347186476569302e-10,,11.581789802864998,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),1,1.0,896,,3.9584238330341157,0.2863601630247789,480,,-0.5,1.0,-36274.25283224865,36274.25283224768,one_local_mesh_refinement,10,,79823476.77334335,-21166443.05341037,88841673.62417093,421386914.9485851,-13905898.14407926,RECOVERED_PASS,0.007254850566449648,,2.6677389253517904e-14,0.0,,True,96,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
