birth_rate_s,candidate_weight,case_id,configuration_hash,growth_rate_s,healing_rate_s,raw_birth_rate_s,stabilization_rate_s,status
800000000000.0,0.8,BIRTH-BASE,656b3d714e2fafc51e02b0a56834934c28f1953335aff6cc550a1d316fbdc455,333333333333.3333,0.0,1000000000000.0,1000000000000.0,PASS
800000000000.0,0.8,BIRTH-HYDRO-UP,aee7026bb7eaf1f4e4d16dc800eefa4000bd792348adf58c3bd3d2459471b524,333333333333.3333,0.0,1000000000000.0,1000000000000.0,PASS
800000000000.0,0.8,BIRTH-NORMAL-UP,4706e6ca8b5f40b64b773ade7d841baf5f7a505f4fd00d9b4a0b03dc65457546,333333333333.3333,0.0,1000000000000.0,1000000000000.0,PASS
800000000000.0,0.8,BIRTH-SHEAR-REVERSE,b14ed93962012a35c0523a76a61585e12431eeaa6eb284da6f54a2ed9e3de874,333333333333.3333,0.0,1000000000000.0,1000000000000.0,PASS
800000000000.0,0.8,BIRTH-HYDRO-COEFF-ZERO,e433be20615d6660fbaa9d3f69214e9d2abed77696191880c79bdf1fcd09b31b,333333333333.3333,0.0,1000000000000.0,1000000000000.0,PASS
800000000000.0,0.8,BIRTH-NORMAL-COEFF-ZERO,3eb12b9ff39adc5e33074d99c5b5f2d24b803074d06f1e3bc3057c2d48c35215,333333333333.3333,0.0,1000000000000.0,1000000000000.0,PASS
800000000000.0,0.8,BIRTH-SHEAR-COEFF-ZERO,1002339fb3cbb9c578049590002695438f4d325d6275912dbf82c5963b46fb63,333333333333.3333,0.0,1000000000000.0,1000000000000.0,PASS
800000000000.0,0.8,BIRTH-BARRIER-UP,371c0195347c19ad9cdb66202ddd9bd337e3180f92e8f2f8ca2b4370c47c15c4,333333333333.3333,0.0,1000000000000.0,1000000000000.0,PASS
400000000000.0,0.4,BIRTH-WEIGHT-DOWN,b247846c9c15310bac41ad6b60382378a0c7dcd9c13ec0eddfe528f9cdfc4a43,333333333333.3333,0.0,1000000000000.0,1000000000000.0,PASS
800000000000.0,0.8,STABILIZE-FAVOR,058b9b358afadb964861ad2e53877f1cae685792fc7b536008360f5d8f650fd2,319617861.7057253,0.0,1000000000000.0,1000000000000.0,PASS
0.0,0.8,HEAL-FAVOR,5c079f47eeefa23a8416baa9c2bc16db4a73fa88ff8fd7ba2301d9a1aceb8029,208134097.67156538,319822303.5472965,0.0,1599289174.7103782,PASS
800000000000.0,0.8,ORIENTATION-NORMAL-Y,299d4f86aa79c8fc4aa1ac19c32282d86bbb7b3ed096637226d92b304e782a4d,333333333333.3333,0.0,1000000000000.0,1000000000000.0,PASS
