attempt_count,case_id,configuration_hash,expected_output_paths,failure_classification,geometry_parameters,kinetic_parameters,mesh_level,seed,source_sha,status,timestep_control
1,STATIC-0010,7640cd10e8cb67b066514727e2a0be3907cd98abdecf5f16969b5dec285a73a3,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 0.5, ""offset_ratio"": 0.5, ""opening_scale"": 1.0, ""resolution"": 12, ""theta_deg"": 0.0}",{},12,0,ba0803a10ce540feb92bb1d8988712d315173d59,PASS,static
1,STATIC-0011,ecb556d4659384365178c10a8dba0327c215bc5f79619e57782eb85d5df9bafa,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 0.5, ""offset_ratio"": 0.5, ""opening_scale"": 1.0, ""resolution"": 16, ""theta_deg"": 0.0}",{},16,0,ba0803a10ce540feb92bb1d8988712d315173d59,PASS,static
2,STATIC-0012,f496eb24880b3411114d1bd5ba6523f6441288816072cc614c67326fd5342bdd,static_mechanics_matrix.csv,OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,"{""family"": ""core"", ""ligament_ratio"": 0.5, ""offset_ratio"": 1.0, ""opening_scale"": 1.0, ""resolution"": 8, ""theta_deg"": 0.0}",{},8,0,ba0803a10ce540feb92bb1d8988712d315173d59,OUTSIDE_ENVELOPE,static
2,STATIC-0013,552c0649b261f498fe1ac69f6f4409d34626303753141ca69fc484d9044d176f,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 0.5, ""offset_ratio"": 1.0, ""opening_scale"": 1.0, ""resolution"": 12, ""theta_deg"": 0.0}",{},12,0,ba0803a10ce540feb92bb1d8988712d315173d59,RECOVERED_PASS,static
1,STATIC-0014,c1a3068aed70883a313af578e89e7e3eee08fbb0fc63d9d35b3f8a13bacb8976,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 0.5, ""offset_ratio"": 1.0, ""opening_scale"": 1.0, ""resolution"": 16, ""theta_deg"": 0.0}",{},16,0,ba0803a10ce540feb92bb1d8988712d315173d59,PASS,static
2,STATIC-0015,4267431ea7734853a5a835d511e319171a56e31d3760b4a22f1642871d69ae19,static_mechanics_matrix.csv,OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,"{""family"": ""core"", ""ligament_ratio"": 1.0, ""offset_ratio"": -1.0, ""opening_scale"": 1.0, ""resolution"": 8, ""theta_deg"": 0.0}",{},8,0,ba0803a10ce540feb92bb1d8988712d315173d59,OUTSIDE_ENVELOPE,static
2,STATIC-0016,cfa907e79e7ec3cbf1ca251e4d3a9390e068d90494b68f22e9ccb97023d12d7e,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 1.0, ""offset_ratio"": -1.0, ""opening_scale"": 1.0, ""resolution"": 12, ""theta_deg"": 0.0}",{},12,0,ba0803a10ce540feb92bb1d8988712d315173d59,RECOVERED_PASS,static
1,STATIC-0017,24df750f333f1dbd0578558375d3c847be35dae0fec508a896b393b669b75312,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 1.0, ""offset_ratio"": -1.0, ""opening_scale"": 1.0, ""resolution"": 16, ""theta_deg"": 0.0}",{},16,0,ba0803a10ce540feb92bb1d8988712d315173d59,PASS,static
2,STATIC-0018,58f39067b0b2681e2114f5420ee7a2bf3a7de655444c1b73ed14f1fa738adbec,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 1.0, ""offset_ratio"": -0.5, ""opening_scale"": 1.0, ""resolution"": 8, ""theta_deg"": 0.0}",{},8,0,ba0803a10ce540feb92bb1d8988712d315173d59,RECOVERED_PASS,static
1,STATIC-0019,914df80580b05a45bcc3437e4e030c1a725b77fa48ede4970f2f8e17baa8ac40,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 1.0, ""offset_ratio"": -0.5, ""opening_scale"": 1.0, ""resolution"": 12, ""theta_deg"": 0.0}",{},12,0,ba0803a10ce540feb92bb1d8988712d315173d59,PASS,static
1,STATIC-0020,36eb6d54404575202afeff38b317552a1f3bade746305541f2bb8b56c021fe35,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 1.0, ""offset_ratio"": -0.5, ""opening_scale"": 1.0, ""resolution"": 16, ""theta_deg"": 0.0}",{},16,0,ba0803a10ce540feb92bb1d8988712d315173d59,PASS,static
2,STATIC-0021,535d872b77e2eab046614fea7078a115504622939f27029ff100bf24ef20e697,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 1.0, ""offset_ratio"": 0.0, ""opening_scale"": 1.0, ""resolution"": 8, ""theta_deg"": 0.0}",{},8,0,ba0803a10ce540feb92bb1d8988712d315173d59,RECOVERED_PASS,static
1,STATIC-0022,006a766e60bccac9f39e68d8377bc234a44394e53f30c731f11700125d82df67,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 1.0, ""offset_ratio"": 0.0, ""opening_scale"": 1.0, ""resolution"": 12, ""theta_deg"": 0.0}",{},12,0,ba0803a10ce540feb92bb1d8988712d315173d59,PASS,static
