accepted_crack_events,birth_hits,case_id,downstream_status,embryo_outcome,integrated_birth_hazard,ligament_status,maximum_subgrid_radius_m,promotion_status,seed,solver_failure,status,terminal_classification,thresholds,wall_seconds
0,2,SEED-000,False,STABLE_SUBGRID_VOID,0.07304206230503732,False,0.0,False,3600,,PASS,STABLE_SUBGRID_VOID,"[0.07304206230503732, 0.8087007639718887, 3.346532698128498]",NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
0,2,SEED-001,False,STABLE_SUBGRID_VOID,1.5957526419343568,False,0.0,False,3601,,PASS,STABLE_SUBGRID_VOID,"[1.5957526419343568, 0.8580733203312098, 0.07087514838985752]",NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
0,2,SEED-002,False,STABLE_SUBGRID_VOID,0.057428311480414426,False,0.0,False,3602,,PASS,STABLE_SUBGRID_VOID,"[0.057428311480414426, 0.6311949956793695, 0.10677993252413728]",NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
0,2,SEED-003,False,STABLE_SUBGRID_VOID,0.20255475945789364,False,0.0,False,3603,,PASS,STABLE_SUBGRID_VOID,"[0.20255475945789364, 0.47876502880660227, 0.5242261213181525]",NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
0,2,SEED-004,False,STABLE_SUBGRID_VOID,0.8698692237368394,False,0.0,False,3604,,PASS,STABLE_SUBGRID_VOID,"[0.8698692237368394, 0.02683613207371118, 0.33958499473564335]",NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
0,2,SEED-005,False,STABLE_SUBGRID_VOID,0.6095838161011923,False,0.0,False,3605,,PASS,STABLE_SUBGRID_VOID,"[0.6095838161011923, 2.3148013264524967, 0.21707956314339333]",NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
0,2,SEED-006,False,STABLE_SUBGRID_VOID,1.363423359871477,False,0.0,False,3606,,PASS,STABLE_SUBGRID_VOID,"[1.363423359871477, 6.5057755533910555, 0.7699715319629187]",NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
0,2,SEED-007,False,STABLE_SUBGRID_VOID,0.33664714168823245,False,0.0,False,3607,,PASS,STABLE_SUBGRID_VOID,"[0.33664714168823245, 0.9949465256141986, 1.163738217155614]",NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
0,2,SEED-008,False,STABLE_SUBGRID_VOID,0.02398933147583821,False,0.0,False,3608,,PASS,STABLE_SUBGRID_VOID,"[0.023989331475838212, 0.06681761072930628, 1.837062800566932]",NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
0,2,SEED-009,False,STABLE_SUBGRID_VOID,0.1993902703344647,False,0.0,False,3609,,PASS,STABLE_SUBGRID_VOID,"[0.1993902703344647, 0.6930209305391529, 2.5249095569175823]",NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
