case_id,fingerprints_equal,stage,status
RESTART-00,True,incomplete_first_hit,PASS
RESTART-01,True,between_birth_hits,PASS
RESTART-02,True,embryo,PASS
RESTART-03,True,stable_subgrid,PASS
RESTART-04,True,before_promotion,PASS
RESTART-05,True,after_promotion,PASS
RESTART-06,True,before_ligament,PASS
RESTART-07,True,connected_before_downstream,PASS
RESTART-08,True,downstream_before_continued,PASS
