active_front_coordinate_advance_m,cavity_area_m2,connected_free_surface_extent_m,defect_inventory_area_m2,fractured_ligament_length_m,ordinary_crack_fractured_length_m,preexisting_void_free_span_m,projected_fractured_length_m,projected_free_span_m,projected_front_advance_m,stage
0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,available_site
0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,multi_hit_1
0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,multi_hit_2
0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,stabilization
0.0,1.9634954084936207e-09,0.0,1.9634954084936207e-09,0.0,0.0,0.0,0.0,0.0,0.0,subgrid_void
0.0,7.853981633974483e-09,0.0,7.853981633974483e-09,0.0,0.0,0.0,0.0,0.0,0.0,subgrid_growth
0.0,7.853981633974483e-09,0.0,7.853981633974483e-09,0.0,0.0,0.0,0.0,0.0,0.0,geometric_promotion
0.0,9.503317777109124e-09,0.0,9.503317777109124e-09,0.0,0.0,0.0,0.0,0.0,0.0,resolved_growth
0.0,9.503317777109124e-09,0.00017278759594743863,9.503317777109124e-09,7.213457811463403e-05,0.0,0.00011,7.213457811463403e-05,0.00011,0.0,ligament_rupture
0.0,9.503317777109124e-09,0.00017278759594743863,9.503317777109124e-09,7.213457811463403e-05,0.0,0.00011,7.213457811463403e-05,0.00011,0.0,connected_topology
0.0,9.503317777109124e-09,0.00017278759594743863,9.503317777109124e-09,7.213457811463403e-05,0.0,0.00011,7.213457811463403e-05,0.00011,0.0,downstream_surface_probe
0.00014951361380522625,9.503317777109124e-09,0.00017278759594743863,9.503317777109124e-09,7.213457811463403e-05,0.00014951361380522625,0.00011,0.00022164819191986028,0.00011,0.00014951361380522625,new_graph_front
0.00021056558680951592,9.503317777109124e-09,0.00017278759594743863,9.503317777109124e-09,7.213457811463403e-05,0.00021056558680951592,0.00011,0.00028270016492414995,0.00011,0.00021056558680951592,continued_accepted_event
