backend,theta_deg,extension_um,physical_path_extension_um,tip_radius_um,reference_opening_m,drive_factor_system_0,drive_factor_system_1,tau_signed_system_0_Pa,tau_signed_system_1_Pa,opening_stress_Pa,sigma_nn_probe_Pa,sigma1_probe_Pa,tau_over_opening_system_0,tau_over_opening_system_1,reliable,field_snapshot_hash,topology_fingerprint,source_commit
PF,45.0,5.0,5.0,12.0,1e-05,0.24477083080282294,0.008173485098760041,162890794.05429304,-5439314.290682221,1330965732.4774208,-43763252.390654325,1330965732.4774208,0.12238541540141147,-0.004086742549380021,True,e3239399fe9db3c3bbeb718da20c3e708b81cc25f1c827c18e07d4316d2277b0,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,5.0,5.0,25.0,1e-05,0.07177626250998918,0.012198032974937214,55758760.36383371,-9475934.992644802,1553682468.659432,970040.0942838838,1553682468.659432,0.03588813125499459,-0.006099016487468607,True,e3239399fe9db3c3bbeb718da20c3e708b81cc25f1c827c18e07d4316d2277b0,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,5.0,5.0,50.0,1e-05,0.20611144648184457,0.014560202124080721,121187472.31972627,-8560970.882503025,1175941214.2149138,130625445.5217111,1175941214.2149138,0.10305572324092228,-0.0072801010620403605,True,e3239399fe9db3c3bbeb718da20c3e708b81cc25f1c827c18e07d4316d2277b0,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,10.0,10.0,1.0,1e-05,0.2935937842359895,0.003131772631930025,291230375.36574566,-3106562.0872410377,1983900143.6873465,498101702.3175806,1983900143.6873465,0.14679689211799474,-0.0015658863159650125,True,c465eb10bd19576215ca141e12c5cf59046ee2a88dca9ac7c7a2454b8f3a6fd4,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,10.0,10.0,2.0,1e-05,0.2288553432489606,0.0017878392046998621,-397660668.21378833,-3106562.0872410377,3475214190.487068,3475210657.4709277,3475214190.487068,-0.1144276716244803,-0.0008939196023499311,True,c465eb10bd19576215ca141e12c5cf59046ee2a88dca9ac7c7a2454b8f3a6fd4,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,10.0,10.0,4.0,1e-05,0.5268803340831406,0.004274623552676816,-559563137.428601,-4539781.828495029,2124061579.949967,466687926.870432,2124061579.949967,-0.2634401670415703,-0.002137311776338408,True,c465eb10bd19576215ca141e12c5cf59046ee2a88dca9ac7c7a2454b8f3a6fd4,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,10.0,10.0,8.0,1e-05,0.5698713612855393,0.006408402242669878,-511110153.29138523,-5747611.96143473,1793773781.2912793,138775037.7864494,1793773781.2912793,-0.28493568064276964,-0.003204201121334939,True,c465eb10bd19576215ca141e12c5cf59046ee2a88dca9ac7c7a2454b8f3a6fd4,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,10.0,10.0,12.0,1e-05,0.45571127219488233,0.011332162908614649,369458051.6900012,-9187305.833988722,1621456717.1470122,-18283856.754215885,1621456717.1470122,0.22785563609744117,-0.005666081454307324,True,c465eb10bd19576215ca141e12c5cf59046ee2a88dca9ac7c7a2454b8f3a6fd4,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,10.0,10.0,25.0,1e-05,0.23511842043827433,0.012635537371356264,190876112.35087174,-10257904.27824779,1623659362.7591376,-7246382.847814974,1623659362.7591376,0.11755921021913716,-0.006317768685678132,True,c465eb10bd19576215ca141e12c5cf59046ee2a88dca9ac7c7a2454b8f3a6fd4,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,10.0,10.0,50.0,1e-05,0.24022440685534252,0.010377764798048725,201371275.59279907,-8699298.137693133,1676526363.2355235,243460033.43269843,1676526363.2355235,0.12011220342767126,-0.005188882399024363,True,c465eb10bd19576215ca141e12c5cf59046ee2a88dca9ac7c7a2454b8f3a6fd4,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,15.000000000000002,15.0,1.0,1e-05,0.19106834909098797,0.003837131286006539,-130255104.15063928,-2615848.9235726185,1363439887.0386531,392158384.32543397,1363439887.0386531,-0.09553417454549398,-0.0019185656430032695,True,06daa220f6827fcaa8d1a1279ec0f428d8eecae3badd2302409509c1b5fb5a44,fc7dec6825e4c0c074427981da1bf016d18e7996c6cee082bce03d4acf15cb4d,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,15.000000000000002,15.0,2.0,1e-05,0.14797608774448773,0.005467402672825969,-201025262.6675525,-7427457.200462857,2716996586.8359146,2716968790.3263006,2716996586.8359146,-0.07398804387224386,-0.0027337013364129845,True,06daa220f6827fcaa8d1a1279ec0f428d8eecae3badd2302409509c1b5fb5a44,fc7dec6825e4c0c074427981da1bf016d18e7996c6cee082bce03d4acf15cb4d,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,15.000000000000002,15.0,4.0,1e-05,0.27970848913970336,0.005562989258380401,-477829028.87087286,-9503314.551255394,3416621571.55492,3416586501.9190335,3416621571.55492,-0.13985424456985168,-0.0027814946291902006,True,06daa220f6827fcaa8d1a1279ec0f428d8eecae3badd2302409509c1b5fb5a44,fc7dec6825e4c0c074427981da1bf016d18e7996c6cee082bce03d4acf15cb4d,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,15.000000000000002,15.0,8.0,1e-05,0.9625143047377608,0.03142329752189834,-502150627.5501277,-16393760.064287782,1043414368.1364607,334229467.6673177,1043414368.1364607,-0.4812571523688804,-0.01571164876094917,True,06daa220f6827fcaa8d1a1279ec0f428d8eecae3badd2302409509c1b5fb5a44,fc7dec6825e4c0c074427981da1bf016d18e7996c6cee082bce03d4acf15cb4d,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,15.000000000000002,15.0,12.0,1e-05,0.6934456473867524,0.011637237086382389,512318489.05676097,-8597604.936101912,1477602436.4344385,126342533.75694002,1477602436.4344385,0.3467228236933762,-0.0058186185431911945,True,06daa220f6827fcaa8d1a1279ec0f428d8eecae3badd2302409509c1b5fb5a44,fc7dec6825e4c0c074427981da1bf016d18e7996c6cee082bce03d4acf15cb4d,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,15.000000000000002,15.0,25.0,1e-05,0.4382785570213834,0.011998073675073594,345536979.33708376,-9459231.050964791,1576791626.2452474,-9466465.78484726,1576791626.2452474,0.2191392785106917,-0.005999036837536797,True,06daa220f6827fcaa8d1a1279ec0f428d8eecae3badd2302409509c1b5fb5a44,fc7dec6825e4c0c074427981da1bf016d18e7996c6cee082bce03d4acf15cb4d,9e884fb0b0845da621d2612bdf1042e481b8df49
