theta_deg,target_extension_um,actual_extension_um,physical_path_extension_um,geometry_event_count,reference_opening_m,reaction_N_per_m,compliance_m2_per_N,elastic_energy_J_per_m,native_J_J_per_m2,native_J_signed_J_per_m2,native_KJ_MPa_sqrt_m,domain_metadata_json,F_over_U_N_per_m2,J_native_over_U2,KJ_native_over_U,wake_width_m,mesh_scale_m,tip_x_m,tip_y_m,mesh_fingerprint,damage_wake_fingerprint
45.0,0.0,0.0,0.0,0,1e-05,2178398.58921205,4.5905281290221116e-12,10.891992946060201,888.3352775942353,888.3352775942353,19.87966903942888,"{""J"": 888.3352775942353, ""J_signed"": 888.3352775942353, ""KJ"": 19879669.03942888, ""KJ_MPa"": 19.87966903942888, ""n_active_elements"": 470.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217839858921.205,8883352775942.352,1987966.903942888,2.769159822672732e-06,1.384579911336366e-06,0.0005,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,9a73ac2dedb244ae21bd0570908201e341e20845473ed145a11912c35b1d4dac
45.0,5.0,5.0,5.0,1,1e-05,2178281.4551270474,4.590774978349506e-12,10.89140727563522,873.9172008031463,873.9172008031463,19.71768112994083,"{""J"": 873.9172008031463, ""J_signed"": 873.9172008031463, ""KJ"": 19717681.12994083, ""KJ_MPa"": 19.71768112994083, ""n_active_elements"": 476.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217828145512.7047,8739172008031.462,1971768.1129940827,2.769159822672732e-06,1.384579911336366e-06,0.000505,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7
45.0,10.0,10.0,10.0,2,1e-05,2177971.5031570536,4.591428301749869e-12,10.889857515785248,859.9582092774426,859.9582092774426,19.55957295848523,"{""J"": 859.9582092774426, ""J_signed"": 859.9582092774426, ""KJ"": 19559572.95848523, ""KJ_MPa"": 19.55957295848523, ""n_active_elements"": 475.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217797150315.70535,8599582092774.425,1955957.2958485228,2.769159822672732e-06,1.384579911336366e-06,0.00051,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76
45.0,15.000000000000002,15.000000000000002,15.0,3,1e-05,2177219.658932032,4.593013827968646e-12,10.886098294660126,846.5336501553724,846.5336501553724,19.406303021591288,"{""J"": 846.5336501553724, ""J_signed"": 846.5336501553724, ""KJ"": 19406303.021591287, ""KJ_MPa"": 19.406303021591288, ""n_active_elements"": 471.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217721965893.2032,8465336501553.722,1940630.3021591287,2.769159822672732e-06,1.384579911336366e-06,0.000515,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,fc7dec6825e4c0c074427981da1bf016d18e7996c6cee082bce03d4acf15cb4d
45.0,20.0,20.0,20.0,4,1e-05,2176565.244936595,4.594394780153401e-12,10.882826224682944,833.5116253217117,833.5116253217117,19.25646329034967,"{""J"": 833.5116253217117, ""J_signed"": 833.5116253217117, ""KJ"": 19256463.29034967, ""KJ_MPa"": 19.25646329034967, ""n_active_elements"": 469.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217656524493.65952,8335116253217.115,1925646.3290349669,2.769159822672732e-06,1.384579911336366e-06,0.0005200000000000001,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,912ad33658abb14b8efcdec9597a706af92c47137ee27fe6c3f1252afb3350e9
45.0,25.0,25.0,25.0,5,1e-05,2175654.9599660677,4.596317055787175e-12,10.878274799830326,820.9729407521653,820.9729407521653,19.111074999005375,"{""J"": 820.9729407521653, ""J_signed"": 820.9729407521653, ""KJ"": 19111074.999005374, ""KJ_MPa"": 19.111074999005375, ""n_active_elements"": 460.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217565495996.60675,8209729407521.651,1911107.4999005373,2.769159822672732e-06,1.384579911336366e-06,0.0005250000000000001,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,82c2cc073e6a585581cfba547c17939ee0ea538877aa408cad818c656b6b7f1a
45.0,30.000000000000004,30.000000000000004,30.0,6,1e-05,2174504.33469687,4.598749168000174e-12,10.87252167348431,808.974158085966,808.974158085966,18.970903708483238,"{""J"": 808.974158085966, ""J_signed"": 808.974158085966, ""KJ"": 18970903.708483238, ""KJ_MPa"": 18.970903708483238, ""n_active_elements"": 458.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217450433469.68695,8089741580859.658,1897090.3708483237,2.769159822672732e-06,1.384579911336366e-06,0.0005300000000000001,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,68c46aef480acc95b28b179793e95b8b8c0d3c6dba3530b45c5874598f6e17d9
45.0,35.00000000000001,35.00000000000001,35.0,7,1e-05,2172995.1171673555,4.601943152562473e-12,10.864975585836765,797.6024676793063,797.6024676793063,18.837095510238413,"{""J"": 797.6024676793063, ""J_signed"": 797.6024676793063, ""KJ"": 18837095.510238413, ""KJ_MPa"": 18.837095510238413, ""n_active_elements"": 459.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217299511716.73553,7976024676793.062,1883709.5510238411,2.769159822672732e-06,1.384579911336366e-06,0.0005350000000000001,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,36ccc446d053bd8e89f775ae6f3bdb9a0d78e49e512723a00cc62be061cc6ab2
45.0,40.0,40.0,40.0,8,1e-05,2172995.1171673555,4.601943152562473e-12,10.864975585836765,786.5745946362191,786.5745946362191,18.70641879009916,"{""J"": 786.5745946362191, ""J_signed"": 786.5745946362191, ""KJ"": 18706418.79009916, ""KJ_MPa"": 18.70641879009916, ""n_active_elements"": 458.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217299511716.73553,7865745946362.189,1870641.879009916,2.769159822672732e-06,1.384579911336366e-06,0.0005400000000000001,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,36ccc446d053bd8e89f775ae6f3bdb9a0d78e49e512723a00cc62be061cc6ab2
45.0,45.0,45.0,45.0,9,1e-05,2166652.3559543574,4.615415099943546e-12,10.833261779771734,776.7776658686157,776.7776658686157,18.58955785509633,"{""J"": 776.7776658686157, ""J_signed"": 776.7776658686157, ""KJ"": 18589557.85509633, ""KJ_MPa"": 18.58955785509633, ""n_active_elements"": 456.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",216665235595.43573,7767776658686.156,1858955.785509633,2.769159822672732e-06,1.384579911336366e-06,0.0005450000000000001,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,2e28f429784789c32102f579875d0c3e68cafc35b15f8a582f15a5cbc541037f
45.0,50.0,50.0,50.0,10,1e-05,2166652.3559543574,4.615415099943546e-12,10.833261779771734,766.9413133495366,766.9413133495366,18.47148287948335,"{""J"": 766.9413133495366, ""J_signed"": 766.9413133495366, ""KJ"": 18471482.87948335, ""KJ_MPa"": 18.47148287948335, ""n_active_elements"": 456.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",216665235595.43573,7669413133495.364,1847148.2879483348,2.769159822672732e-06,1.384579911336366e-06,0.0005500000000000001,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,2e28f429784789c32102f579875d0c3e68cafc35b15f8a582f15a5cbc541037f
45.0,55.0,55.0,55.0,11,1e-05,2149343.1458806763,4.6525842181903345e-12,10.746715729403334,758.285774902129,758.285774902129,18.366954484788792,"{""J"": 758.285774902129, ""J_signed"": 758.285774902129, ""KJ"": 18366954.48478879, ""KJ_MPa"": 18.366954484788792, ""n_active_elements"": 454.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",214934314588.06763,7582857749021.289,1836695.448478879,2.769159822672732e-06,1.384579911336366e-06,0.0005550000000000002,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,4a2c35556a5add52d3b0d7a393873e9bf1bffea9128d4cafb86a3eea8e36c7d1
45.0,60.00000000000001,60.00000000000001,60.0,12,1e-05,2149343.1458806763,4.6525842181903345e-12,10.746715729403334,749.8359941426828,749.8359941426828,18.264333863884218,"{""J"": 749.8359941426828, ""J_signed"": 749.8359941426828, ""KJ"": 18264333.863884218, ""KJ_MPa"": 18.264333863884218, ""n_active_elements"": 454.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",214934314588.06763,7498359941426.827,1826433.3863884218,2.769159822672732e-06,1.384579911336366e-06,0.0005600000000000002,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,4a2c35556a5add52d3b0d7a393873e9bf1bffea9128d4cafb86a3eea8e36c7d1
45.0,65.00000000000001,65.00000000000001,65.0,13,1e-05,2143096.287862026,4.666145920105204e-12,10.715481439310096,741.2315221410292,741.2315221410292,18.15923861655696,"{""J"": 741.2315221410292, ""J_signed"": 741.2315221410292, ""KJ"": 18159238.616556957, ""KJ_MPa"": 18.15923861655696, ""n_active_elements"": 454.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",214309628786.2026,7412315221410.291,1815923.8616556956,2.769159822672732e-06,1.384579911336366e-06,0.0005650000000000002,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,b2d206fb852fa0021f12a6e270c67c0b5125d2069755743554f1bcdba4357387
45.0,70.00000000000001,70.00000000000001,70.0,14,1e-05,2143096.287862026,4.666145920105204e-12,10.715481439310096,734.5071382380409,734.5071382380409,18.07668148459933,"{""J"": 734.5071382380409, ""J_signed"": 734.5071382380409, ""KJ"": 18076681.48459933, ""KJ_MPa"": 18.07668148459933, ""n_active_elements"": 458.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",214309628786.2026,7345071382380.407,1807668.1484599328,2.769159822672732e-06,1.384579911336366e-06,0.0005700000000000002,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,b2d206fb852fa0021f12a6e270c67c0b5125d2069755743554f1bcdba4357387
45.0,75.0,75.0,75.0,15,1e-05,2143096.287862026,4.666145920105204e-12,10.715481439310096,728.7278334251608,728.7278334251608,18.005424882517925,"{""J"": 728.7278334251608, ""J_signed"": 728.7278334251608, ""KJ"": 18005424.882517926, ""KJ_MPa"": 18.005424882517925, ""n_active_elements"": 458.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",214309628786.2026,7287278334251.607,1800542.4882517923,2.769159822672732e-06,1.384579911336366e-06,0.0005750000000000002,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,b2d206fb852fa0021f12a6e270c67c0b5125d2069755743554f1bcdba4357387
45.0,80.0,80.0,80.0,16,1e-05,2143096.287862026,4.666145920105204e-12,10.715481439310096,723.9409924577322,723.9409924577322,17.946190757473722,"{""J"": 723.9409924577322, ""J_signed"": 723.9409924577322, ""KJ"": 17946190.757473722, ""KJ_MPa"": 17.946190757473722, ""n_active_elements"": 459.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",214309628786.2026,7239409924577.321,1794619.0757473721,2.769159822672732e-06,1.384579911336366e-06,0.0005800000000000002,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,b2d206fb852fa0021f12a6e270c67c0b5125d2069755743554f1bcdba4357387
