backend,theta_deg,extension_um,physical_path_extension_um,tip_radius_um,reference_opening_m,drive_factor_system_0,drive_factor_system_1,tau_signed_system_0_Pa,tau_signed_system_1_Pa,opening_stress_Pa,sigma_nn_probe_Pa,sigma1_probe_Pa,tau_over_opening_system_0,tau_over_opening_system_1,reliable,field_snapshot_hash,topology_fingerprint,source_commit
PF,15.0,0.0,0.0,1.0,1e-05,1.50176563859086,4.468403603335033,206804061.7440705,-615331707.515038,275414560.6076316,21942580.345860455,275414560.6076316,0.75088281929543,-2.2342018016675165,True,91ee3e99e80fdc63b82fe7c4c3c4b1f52aeb3c16f96e09921f2b9815db0651c5,9a73ac2dedb244ae21bd0570908201e341e20845473ed145a11912c35b1d4dac,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,15.0,0.0,0.0,2.0,1e-05,0.4342298645736685,3.4573262835376357,87699828.11270157,-698263628.3975257,403932733.6400788,-47668594.32061385,403932733.6400788,0.21711493228683426,-1.7286631417688179,True,91ee3e99e80fdc63b82fe7c4c3c4b1f52aeb3c16f96e09921f2b9815db0651c5,9a73ac2dedb244ae21bd0570908201e341e20845473ed145a11912c35b1d4dac,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,15.0,0.0,0.0,4.0,1e-05,0.24278124214897792,2.0370382300832395,96732850.48104589,-811629896.9007722,796872522.9743053,-3472354.8602188146,796872522.9743053,0.12139062107448896,-1.0185191150416197,True,91ee3e99e80fdc63b82fe7c4c3c4b1f52aeb3c16f96e09921f2b9815db0651c5,9a73ac2dedb244ae21bd0570908201e341e20845473ed145a11912c35b1d4dac,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,15.0,0.0,0.0,8.0,1e-05,0.3189090271787887,1.7359230094062632,157403074.8728584,-856794872.9463418,987134646.2990785,6111439.198249748,987134646.2990785,0.15945451358939436,-0.8679615047031316,True,91ee3e99e80fdc63b82fe7c4c3c4b1f52aeb3c16f96e09921f2b9815db0651c5,9a73ac2dedb244ae21bd0570908201e341e20845473ed145a11912c35b1d4dac,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,15.0,0.0,0.0,12.0,1e-05,1.268464332709143,0.7005187943160445,766381690.4179721,-423239947.6387896,1208361434.6193876,24465865.901916064,1208361434.6193876,0.6342321663545715,-0.35025939715802223,True,91ee3e99e80fdc63b82fe7c4c3c4b1f52aeb3c16f96e09921f2b9815db0651c5,9a73ac2dedb244ae21bd0570908201e341e20845473ed145a11912c35b1d4dac,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,15.0,0.0,0.0,25.0,1e-05,1.2601331423382423,0.029408154651545046,901567386.8811232,-21040183.97055439,1430908142.3066428,35381456.15549218,1430908142.3066428,0.6300665711691211,-0.014704077325772523,True,91ee3e99e80fdc63b82fe7c4c3c4b1f52aeb3c16f96e09921f2b9815db0651c5,9a73ac2dedb244ae21bd0570908201e341e20845473ed145a11912c35b1d4dac,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,15.0,0.0,0.0,50.0,1e-05,1.4715149138712713,0.03819108071382635,810685215.6204427,-21040183.97055439,1101837579.732966,155267641.51208016,1101837579.732966,0.7357574569356357,-0.019095540356913174,True,91ee3e99e80fdc63b82fe7c4c3c4b1f52aeb3c16f96e09921f2b9815db0651c5,9a73ac2dedb244ae21bd0570908201e341e20845473ed145a11912c35b1d4dac,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,15.0,5.0,5.0,1.0,1e-05,0.44303339663641006,0.2617001725806688,556518562.0098336,-328735948.1882224,2512309754.6822586,2512308255.3862123,2512309754.6822586,0.22151669831820503,-0.1308500862903344,True,92829dc10c5a607abd2c55f3f5eab2c25c5eb68ed42b4cd9ede4ab9deb9b7b95,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,15.0,5.0,5.0,2.0,1e-05,0.6074705821975861,0.5875393072849522,919894034.7651409,-889712061.4569545,3028604385.8694572,3028172870.131454,3028604385.8694572,0.30373529109879305,-0.2937696536424761,True,92829dc10c5a607abd2c55f3f5eab2c25c5eb68ed42b4cd9ede4ab9deb9b7b95,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,15.0,5.0,5.0,4.0,1e-05,0.013375768200708365,1.475853237757784,9000863.956685703,-993135797.0444218,1345846282.8638177,91042911.42508972,1345846282.8638177,0.006687884100354182,-0.737926618878892,True,92829dc10c5a607abd2c55f3f5eab2c25c5eb68ed42b4cd9ede4ab9deb9b7b95,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,15.0,5.0,5.0,8.0,1e-05,0.16569096965285351,1.454844291959897,110253912.01852976,-968080969.665834,1330837911.680131,-28546184.298284598,1330837911.680131,0.08284548482642676,-0.7274221459799485,True,92829dc10c5a607abd2c55f3f5eab2c25c5eb68ed42b4cd9ede4ab9deb9b7b95,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,15.0,5.0,5.0,12.0,1e-05,1.513666088511415,0.0021885334840914357,1007318847.1109201,-1456431.5358525685,1330965732.477429,-43763252.39064843,1330965732.477429,0.7568330442557075,-0.0010942667420457178,True,92829dc10c5a607abd2c55f3f5eab2c25c5eb68ed42b4cd9ede4ab9deb9b7b95,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,15.0,5.0,5.0,25.0,1e-05,1.2789873428796652,0.051958944530617356,993570106.1347309,-40363850.60363436,1553682468.6594446,970040.0942856526,1553682468.6594446,0.6394936714398326,-0.025979472265308678,True,92829dc10c5a607abd2c55f3f5eab2c25c5eb68ed42b4cd9ede4ab9deb9b7b95,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,15.0,5.0,5.0,50.0,1e-05,1.4360005007104055,0.035745868027569926,844326086.2093208,-21017519.72575361,1175941214.2149298,130625445.52171825,1175941214.2149298,0.7180002503552028,-0.017872934013784963,True,92829dc10c5a607abd2c55f3f5eab2c25c5eb68ed42b4cd9ede4ab9deb9b7b95,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,15.0,10.0,10.0,1.0,1e-05,0.8461823518707254,0.3249273912618908,839370644.7310125,-322311749.1062091,1983900143.6873417,498101702.3175789,1983900143.6873417,0.4230911759353627,-0.1624636956309454,True,2e9cd39d2562b734075862ce746d55c6d09b3510eaba13ed6a6984aec2ff5eaf,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,15.0,10.0,10.0,2.0,1e-05,0.5574673046562189,0.49363702301520745,968659143.93693,-857747193.666116,3475214190.487051,3475210657.47091,3475214190.487051,0.2787336523281094,-0.24681851150760373,True,2e9cd39d2562b734075862ce746d55c6d09b3510eaba13ed6a6984aec2ff5eaf,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,15.0,10.0,10.0,4.0,1e-05,0.03393729041732024,1.0134476931188787,-36042447.35151658,-1076312654.1213534,2124061579.9499393,466687926.8704139,2124061579.9499393,-0.01696864520866012,-0.5067238465594394,True,2e9cd39d2562b734075862ce746d55c6d09b3510eaba13ed6a6984aec2ff5eaf,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,15.0,10.0,10.0,8.0,1e-05,0.023964516136282383,1.1274871910564004,21493460.363297336,-1011228481.0293504,1793773781.2912602,138775037.7864421,1793773781.2912602,0.011982258068141191,-0.5637435955282002,True,2e9cd39d2562b734075862ce746d55c6d09b3510eaba13ed6a6984aec2ff5eaf,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,15.0,10.0,10.0,12.0,1e-05,1.426135452095543,0.021668021439813806,1156208454.180909,-17566879.455435853,1621456717.1470184,-18283856.75421275,1621456717.1470184,0.7130677260477715,-0.010834010719906903,True,2e9cd39d2562b734075862ce746d55c6d09b3510eaba13ed6a6984aec2ff5eaf,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,15.0,10.0,10.0,25.0,1e-05,1.299361043562474,0.020118752976410588,1054859861.992358,-16333000.818593822,1623659362.7591538,-7246382.847812612,1623659362.7591538,0.649680521781237,-0.010059376488205294,True,2e9cd39d2562b734075862ce746d55c6d09b3510eaba13ed6a6984aec2ff5eaf,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,15.0,10.0,10.0,50.0,1e-05,1.0092225037842832,0.02507903075170973,845994066.9824681,-21022828.109818164,1676526363.2355456,243460033.43271038,1676526363.2355456,0.5046112518921416,-0.012539515375854866,True,2e9cd39d2562b734075862ce746d55c6d09b3510eaba13ed6a6984aec2ff5eaf,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,15.0,15.000000000000002,15.0,1.0,1e-05,0.04348922865220724,0.8736875049037698,29647474.500481497,-595610196.4965333,1363439887.0386393,392158384.32542354,1363439887.0386393,0.02174461432610362,-0.4368437524518849,True,428fcc79e9d5dcb026850a3221bd127277d3fcc938c1659139f3fe05db210c89,fc7dec6825e4c0c074427981da1bf016d18e7996c6cee082bce03d4acf15cb4d,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,15.0,15.000000000000002,15.0,2.0,1e-05,0.3540764869735271,0.5700207989764676,481012303.29296017,-774372282.6222686,2716996586.835903,2716968790.326289,2716996586.835903,0.17703824348676356,-0.2850103994882338,True,428fcc79e9d5dcb026850a3221bd127277d3fcc938c1659139f3fe05db210c89,fc7dec6825e4c0c074427981da1bf016d18e7996c6cee082bce03d4acf15cb4d,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,15.0,15.000000000000002,15.0,4.0,1e-05,0.5393195375161154,0.43463987819807415,921325382.9192877,-742499991.8547685,3416621571.554906,3416586501.919019,3416621571.554906,0.2696597687580577,-0.21731993909903707,True,428fcc79e9d5dcb026850a3221bd127277d3fcc938c1659139f3fe05db210c89,fc7dec6825e4c0c074427981da1bf016d18e7996c6cee082bce03d4acf15cb4d,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,15.0,15.000000000000002,15.0,8.0,1e-05,0.10425439115067775,1.7825439806367196,-54390264.83396699,-929966000.6157413,1043414368.1364429,334229467.6672993,1043414368.1364429,-0.052127195575338875,-0.8912719903183598,True,428fcc79e9d5dcb026850a3221bd127277d3fcc938c1659139f3fe05db210c89,fc7dec6825e4c0c074427981da1bf016d18e7996c6cee082bce03d4acf15cb4d,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,15.0,15.000000000000002,15.0,12.0,1e-05,1.567513485211168,0.010643450336328493,1158080872.44594,-7863394.07451403,1477602436.434451,126342533.75694422,1477602436.434451,0.783756742605584,-0.005321725168164247,True,428fcc79e9d5dcb026850a3221bd127277d3fcc938c1659139f3fe05db210c89,fc7dec6825e4c0c074427981da1bf016d18e7996c6cee082bce03d4acf15cb4d,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,15.0,15.000000000000002,15.0,25.0,1e-05,1.406620079262361,0.008866750957525569,1108973381.1446707,-6990509.330914251,1576791626.2452648,-9466465.784844607,1576791626.2452648,0.7033100396311806,-0.0044333754787627844,True,428fcc79e9d5dcb026850a3221bd127277d3fcc938c1659139f3fe05db210c89,fc7dec6825e4c0c074427981da1bf016d18e7996c6cee082bce03d4acf15cb4d,9e884fb0b0845da621d2612bdf1042e481b8df49
