state_id,r_eff_over_r0,opening_strength_fraction,crack_extension_m,region,system,bin,x_m,burgers_sign,delta_signed_line_content,K_I_base_Pa_sqrt_m,K_I_perturbed_Pa_sqrt_m,K_II_base_Pa_sqrt_m,K_II_perturbed_Pa_sqrt_m,interaction_integral_schema,ribbon_width_m,mesh_area_ratio
E0000400__load_1,1.0,0.0,0.0004,active,0,0,3.125e-07,-1,-0.25,13839.980103499283,13843.363091575711,11683.191852558528,11686.748694540396,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.54559918337995e-08,0.9940084883819742
E0000400__load_1,1.0,0.0,0.0004,active,0,0,3.125e-07,-1,-0.5,13839.980103499283,13846.74607965219,11683.191852558528,11690.305536522228,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.54559918337995e-08,0.9940084883819742
E0000400__load_1,1.0,0.0,0.0004,active,0,0,3.125e-07,1,0.25,13839.980103499283,13836.597115422892,11683.191852558528,11679.635010576676,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.54559918337995e-08,0.9940084883819742
E0000400__load_1,1.0,0.0,0.0004,active,0,0,3.125e-07,1,0.5,13839.980103499283,13833.214127346462,11683.191852558528,11676.07816859478,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.54559918337995e-08,0.9940084883819742
E0000400__load_1,1.0,0.0,0.0004,active,0,79,4.96875e-05,-1,-0.25,13839.980103499283,13591.693688363226,11683.191852558528,12362.890498033174,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.54559918337995e-08,0.9999623175369962
E0000400__load_1,1.0,0.0,0.0004,active,0,79,4.96875e-05,-1,-0.5,13839.980103499283,13343.407273227082,11683.191852558528,13042.58914350782,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.54559918337995e-08,0.9999623175369962
E0000400__load_1,1.0,0.0,0.0004,active,0,79,4.96875e-05,1,0.25,13839.980103499283,14088.266518635397,11683.191852558528,11003.493207083879,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.54559918337995e-08,0.9999623175369962
E0000400__load_1,1.0,0.0,0.0004,active,0,79,4.96875e-05,1,0.5,13839.980103499283,14336.552933771505,11683.191852558528,10323.794561609215,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.54559918337995e-08,0.9999623175369962
E0000400__load_1,1.0,0.0,0.0004,active,1,0,3.125e-07,-1,-0.25,13839.980103499283,13836.766965362462,11683.191852558528,11685.730788376257,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.54559918337995e-08,0.9985869789781899
E0000400__load_1,1.0,0.0,0.0004,active,1,0,3.125e-07,-1,-0.5,13839.980103499283,13833.553827225585,11683.191852558528,11688.269724193959,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.54559918337995e-08,0.9985869789781899
E0000400__load_1,1.0,0.0,0.0004,active,1,0,3.125e-07,1,0.25,13839.980103499283,13843.193241636143,11683.191852558528,11680.6529167408,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.54559918337995e-08,0.9985869789781899
E0000400__load_1,1.0,0.0,0.0004,active,1,0,3.125e-07,1,0.5,13839.980103499283,13846.40637977302,11683.191852558528,11678.113980923075,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.54559918337995e-08,0.9985869789781899
E0000400__load_1,1.0,0.0,0.0004,active,1,79,4.96875e-05,-1,-0.25,13839.980103499283,14072.8951447166,11683.191852558528,12309.847376189144,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.54559918337995e-08,0.9999911130753384
E0000400__load_1,1.0,0.0,0.0004,active,1,79,4.96875e-05,-1,-0.5,13839.980103499283,14305.810185933864,11683.191852558528,12936.50289981982,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.54559918337995e-08,0.9999911130753384
E0000400__load_1,1.0,0.0,0.0004,active,1,79,4.96875e-05,1,0.25,13839.980103499283,13607.065062282029,11683.191852558528,11056.536328927903,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.54559918337995e-08,0.9999911130753384
E0000400__load_1,1.0,0.0,0.0004,active,1,79,4.96875e-05,1,0.5,13839.980103499283,13374.150021064745,11683.191852558528,10429.880805297247,v10.2.14_signed_intrinsic_isotropy_interaction_integral,2.54559918337995e-08,0.9999911130753384
