candidate_id,cumulative_advance_um,J_equiv_J_m2
P25_TJBSV2_S_002987,5.0,2860.706011278667
P25_TJBSV2_S_002987,10.0,3542.767890010059
P25_TJBSV2_S_002987,15.0,4058.365729101773
P25_TJBSV2_S_002987,20.0,4501.254915331124
P25_TJBSV2_S_002987,25.0,4898.370753242869
P25_TJBSV2_S_002987,30.0,5265.773534091422
P25_TJBSV2_S_002987,35.0,5611.233365443287
P25_TJBSV2_S_002987,40.0,5936.056081847588
P25_TJBSV2_S_002987,45.0,6248.51363044391
P25_TJBSV2_S_002987,50.0,6546.415239226518
P40_TJBSV2_S_038503,5.0,11943.316645039093
P25_TJBSV2_S_026704,5.0,47.76106940687868
P25_TJBSV2_S_026704,10.0,47.761070009116295
P25_TJBSV2_S_026704,15.0,47.76107061135398
P25_TJBSV2_S_026704,20.0,47.761071213591784
P25_TJBSV2_S_026704,25.0,47.76107181582973
P25_TJBSV2_S_026704,30.0,47.76107241806777
P25_TJBSV2_S_026704,35.0,47.761073020305936
P25_TJBSV2_S_026704,40.0,47.7610736225442
P25_TJBSV2_S_026704,45.0,47.76107422478258
P25_TJBSV2_S_026704,50.0,47.76107482702107
P40_TJBSV2_S_038278,5.0,105.51248344743968
P40_TJBSV2_S_038278,10.0,105.51248617107127
P40_TJBSV2_S_038278,15.0,105.51248889470315
P40_TJBSV2_S_038278,20.0,105.51249161833528
P40_TJBSV2_S_038278,25.0,105.51249434196778
P40_TJBSV2_S_038278,30.0,105.51249706560044
P40_TJBSV2_S_038278,35.0,105.5124997892335
P40_TJBSV2_S_038278,40.0,105.51250251286682
P40_TJBSV2_S_038278,45.0,105.5125052365004
P40_TJBSV2_S_038278,50.0,105.51250796013429
P25_TJBSV2_S_004127,5.0,14.15748361802394
P25_TJBSV2_S_004127,10.0,14.157483629702588
P25_TJBSV2_S_004127,15.0,14.15748364138123
P25_TJBSV2_S_004127,20.0,14.15748365305988
P25_TJBSV2_S_004127,25.0,14.157483664738528
P25_TJBSV2_S_004127,30.0,14.157483676417172
P25_TJBSV2_S_004127,35.0,14.157483688095825
P25_TJBSV2_S_004127,40.0,14.157483699774474
P25_TJBSV2_S_004127,45.0,14.157483711453123
P25_TJBSV2_S_004127,50.0,14.157483723131778
P40_TJBSV2_S_031027,5.0,31.639663457470935
P40_TJBSV2_S_031027,10.0,31.63966349839135
P40_TJBSV2_S_031027,15.0,31.63966353931177
P40_TJBSV2_S_031027,20.0,31.63966358023221
P40_TJBSV2_S_031027,25.0,31.63966362115264
P40_TJBSV2_S_031027,30.0,31.639663662073097
P40_TJBSV2_S_031027,35.0,31.639663702993538
P40_TJBSV2_S_031027,40.0,31.639663743914006
P40_TJBSV2_S_031027,45.0,31.63966378483447
P40_TJBSV2_S_031027,50.0,31.639663825754948
P25_TJBSV2_S_064036,5.0,79.25021941221978
P25_TJBSV2_S_064036,10.0,79.2502211658833
P25_TJBSV2_S_064036,15.0,79.25022291954706
P25_TJBSV2_S_064036,20.0,79.25022467321101
P25_TJBSV2_S_064036,25.0,79.25022642687517
P25_TJBSV2_S_064036,30.0,79.25022818053955
P25_TJBSV2_S_064036,35.0,79.25022993420414
P25_TJBSV2_S_064036,40.0,79.25023168786893
P25_TJBSV2_S_064036,45.0,79.25023344153396
P25_TJBSV2_S_064036,50.0,79.25023519519918
P40_TJBSV2_S_043821,5.0,161.9423654107175
P40_TJBSV2_S_043821,10.0,161.94237457784007
P40_TJBSV2_S_043821,15.0,161.94238374496663
P40_TJBSV2_S_043821,20.0,161.9423929120976
P40_TJBSV2_S_043821,25.0,161.94240207923258
P40_TJBSV2_S_043821,30.0,161.9424112463718
P40_TJBSV2_S_043821,35.0,161.94242041351526
P40_TJBSV2_S_043821,40.0,161.9424295806628
P40_TJBSV2_S_043821,45.0,161.9424387478146
P40_TJBSV2_S_043821,50.0,161.9424479149706
