candidate_id,result_path,run_args_sha256,producer_head,executed_multihit_m,executed_multihit_tau
P25_TRANSFER_V1_RANK1,runs/prospective_paris_transfer_v1/P25_TRANSFER_V1_RANK1/K_12.75_R_0.1_seed_1720__attempt0,6fdee1a64ccdc6513fbfe0983f2dca33f14c9f6aaa628ce36bc9c60af53b0066,7d415be264ed9bafd08ee29395c750ff991239ac,3.0,1e-06
P25_TRANSFER_V1_RANK1,runs/prospective_paris_transfer_v1/P25_TRANSFER_V1_RANK1/K_12_R_0.1_seed_1720__attempt0,eaa523ab8432e27b76770f46727092c38bd784776e5fa3f46e8e7735a9b1593f,7d415be264ed9bafd08ee29395c750ff991239ac,3.0,1e-06
P25_TRANSFER_V1_RANK1,runs/prospective_paris_transfer_v1/P25_TRANSFER_V1_RANK1/K_13.5_R_0.1_seed_1720__attempt0,f26d7a7577c3052f0af314e2d7850624a88774dbf60448b8ec1e20001d7ec0ad,f2d692263518b64a9bbef5619fea9fe359dee037,3.0,1e-06
P25_TRANSFER_V1_RANK1,runs/prospective_paris_transfer_v1/P25_TRANSFER_V1_RANK1/K_15_R_-0.95_seed_1720__attempt0,883f55c07427f93856810545b77052400dde57f9d1e85dc396a50afcc058e02b,c3f3292d63df4ccd8ef7da2c9a0ce3cd14de085c,3.0,1e-06
P25_TRANSFER_V1_RANK1,runs/prospective_paris_transfer_v1/P25_TRANSFER_V1_RANK1/K_15_R_0.1_seed_1001723__attempt0,8764a8cc407325ffdf75d8a5a757579820a6cb8fc6a7e1c4392352511807c0ee,3771f079442b30963b0e8585eb20803b4e593365,3.0,1e-06
P25_TRANSFER_V1_RANK1,runs/prospective_paris_transfer_v1/P25_TRANSFER_V1_RANK1/K_15_R_0.1_seed_1720__attempt0,6d6ef4ef44e8049630dd6f38035093c04d6cc294df099d104beac4bce27ddaab,7d415be264ed9bafd08ee29395c750ff991239ac,3.0,1e-06
P25_TRANSFER_V1_RANK1,runs/prospective_paris_transfer_v1/P25_TRANSFER_V1_RANK1/K_15_R_0.5_seed_1720__attempt0,bae1a3bacbfafc616dee5ee1a84d8c96d346a8d5c442817625e7ff6149a73001,c3f3292d63df4ccd8ef7da2c9a0ce3cd14de085c,3.0,1e-06
P25_TRANSFER_V1_RANK1,runs/prospective_paris_transfer_v1/P25_TRANSFER_V1_RANK1/K_16.5_R_0.1_seed_1720__attempt0,9a6bea0022cec57dc71f8cd71920afab7fc114c0e6d117857787e12dadbf4816,7d415be264ed9bafd08ee29395c750ff991239ac,3.0,1e-06
P25_TRANSFER_V1_RANK1,runs/prospective_paris_transfer_v1/P25_TRANSFER_V1_RANK1/K_18_R_-0.95_seed_1720__attempt0,df28c45c8d39dbe6958d8652e7716251fa09f82eb8203b94c9dfa7c7b83b00d1,c3f3292d63df4ccd8ef7da2c9a0ce3cd14de085c,3.0,1e-06
P25_TRANSFER_V1_RANK1,runs/prospective_paris_transfer_v1/P25_TRANSFER_V1_RANK1/K_18_R_0.1_seed_1001723__attempt0,6224f38108f9d3e76293359c95acaafea19a10828582ebd3767cc4c3a43c08af,3771f079442b30963b0e8585eb20803b4e593365,3.0,1e-06
P25_TRANSFER_V1_RANK1,runs/prospective_paris_transfer_v1/P25_TRANSFER_V1_RANK1/K_18_R_0.1_seed_1720__attempt0,c27554e799155c4c6db3e8503d485d61d0022cd41db97f2693a74434f03a8915,f2d692263518b64a9bbef5619fea9fe359dee037,3.0,1e-06
P25_TRANSFER_V1_RANK1,runs/prospective_paris_transfer_v1/P25_TRANSFER_V1_RANK1/K_18_R_0.5_seed_1720__attempt0,5f65556c8f4eca255aad30401b38d0a80e3ffcd7014205ce8f1ef8f976e65ce1,c3f3292d63df4ccd8ef7da2c9a0ce3cd14de085c,3.0,1e-06
P25_TRANSFER_V1_RANK1,runs/prospective_paris_transfer_v1/P25_TRANSFER_V1_RANK1/K_19.5_R_0.1_seed_1720__attempt0,9151af5f9376a1f9a70bc6f8c02a061d9240354e27ebad618a6915ccdb03b59b,7d415be264ed9bafd08ee29395c750ff991239ac,3.0,1e-06
P25_TRANSFER_V1_RANK1,runs/prospective_paris_transfer_v1/P25_TRANSFER_V1_RANK1/K_21_R_-0.95_seed_1720__attempt0,14a2d1359d88b5b5678e612ea9ba12f13b6599dfda55a11e3a01b7d428670850,c3f3292d63df4ccd8ef7da2c9a0ce3cd14de085c,3.0,1e-06
P25_TRANSFER_V1_RANK1,runs/prospective_paris_transfer_v1/P25_TRANSFER_V1_RANK1/K_21_R_0.1_seed_1001723__attempt0,ee087fd0c945f10bc0cdfc6e09bcdec02d5ff8ca7da78b8ba721e828e9f07de1,3771f079442b30963b0e8585eb20803b4e593365,3.0,1e-06
