candidate_id,temperature_K,Kdot,threshold_action,threshold_mode,renewal_hits,renewal_tau_s,tier,barrier,evaluation,stress_Pa,G,D1,D2,DT
A_NATIVE,300.0,0.0005,0.07509316036236147,SEED_1720,3.2732414351776242,6.992153587194454e-07,F0_INTRINSIC_OPENING,cleavage,fixed_K18_intrinsic,7180961047.225788,0.41087650129913017,1.3861892569385025e-05,-0.0005813265507626142,0.0
A_NATIVE,300.0,0.0005,0.07509316036236147,SEED_1720,3.2732414351776242,6.992153587194454e-07,F0_INTRINSIC_OPENING,cleavage,FP_opening_stress,3972925188.3589873,0.505119451776186,0.7495352560966052,-3.7706261917585935,0.0
A_NATIVE,300.0,0.0005,0.07509316036236147,SEED_1720,3.2732414351776242,6.992153587194454e-07,F0_INTRINSIC_OPENING,cleavage,cleavage_action_weighted_opening_stress,,0.5127058984142879,0.7860638805705703,-3.775268896248676,0.0
A_NATIVE,300.0,0.0005,0.07509316036236147,SEED_1720,3.2732414351776242,6.992153587194454e-07,F0_INTRINSIC_OPENING,emission,fixed_K18_intrinsic,7180961047.225788,0.04827490263457832,0.006270448505946058,-0.09927957979150781,0.0
A_NATIVE,300.0,0.0005,0.07509316036236147,SEED_1720,3.2732414351776242,6.992153587194454e-07,F0_INTRINSIC_OPENING,emission,FP_opening_stress,3972925188.3589873,0.19399713057524343,0.74138063321904,-2.1794624380036236,0.0
A_NATIVE,300.0,0.0005,0.07509316036236147,SEED_1720,3.2732414351776242,6.992153587194454e-07,F0_INTRINSIC_OPENING,emission,cleavage_action_weighted_opening_stress,,0.20136191313198493,0.7622973877361755,-2.1606683047541733,0.0
A_NATIVE,300.0,0.0005,0.07509316036236147,SEED_1720,3.2732414351776242,6.992153587194454e-07,F1_EMISSION_BLUNTING,cleavage,fixed_K18_intrinsic,7180961047.225788,0.41087650129913017,1.3861892569385025e-05,-0.0005813265507626142,0.0
A_NATIVE,300.0,0.0005,0.07509316036236147,SEED_1720,3.2732414351776242,6.992153587194454e-07,F1_EMISSION_BLUNTING,cleavage,FP_opening_stress,3967085066.835061,0.5062261450581917,0.7550836914121818,-3.77277500110729,0.0
A_NATIVE,300.0,0.0005,0.07509316036236147,SEED_1720,3.2732414351776242,6.992153587194454e-07,F1_EMISSION_BLUNTING,cleavage,cleavage_action_weighted_opening_stress,,0.5137599655961929,0.7911238534949806,-3.7758075669148616,0.0
A_NATIVE,300.0,0.0005,0.07509316036236147,SEED_1720,3.2732414351776242,6.992153587194454e-07,F1_EMISSION_BLUNTING,emission,fixed_K18_intrinsic,7180961047.225788,0.04827490263457832,0.006270448505946058,-0.09927957979150781,0.0
A_NATIVE,300.0,0.0005,0.07509316036236147,SEED_1720,3.2732414351776242,6.992153587194454e-07,F1_EMISSION_BLUNTING,emission,FP_opening_stress,3967085066.835061,0.1950901045774239,0.744584975415007,-2.177027721297204,0.0
A_NATIVE,300.0,0.0005,0.07509316036236147,SEED_1720,3.2732414351776242,6.992153587194454e-07,F1_EMISSION_BLUNTING,emission,cleavage_action_weighted_opening_stress,,0.20238384748910385,0.7651926826997828,-2.1580345347663394,0.0
A_NATIVE,325.0,0.0005,0.07509316036236147,SEED_1720,3.2732414351776242,6.992153587194454e-07,F0_INTRINSIC_OPENING,cleavage,fixed_K18_intrinsic,7180961047.225788,0.41087650129913017,1.3861892569385025e-05,-0.0005813265507626142,0.0
A_NATIVE,325.0,0.0005,0.07509316036236147,SEED_1720,3.2732414351776242,6.992153587194454e-07,F0_INTRINSIC_OPENING,cleavage,FP_opening_stress,3785469462.87629,0.5457533077041856,0.9313935802623541,-3.709665027574309,0.0
A_NATIVE,325.0,0.0005,0.07509316036236147,SEED_1720,3.2732414351776242,6.992153587194454e-07,F0_INTRINSIC_OPENING,cleavage,cleavage_action_weighted_opening_stress,,0.5541126756467549,0.9632876444091808,-3.6669540076086413,0.0
A_NATIVE,325.0,0.0005,0.07509316036236147,SEED_1720,3.2732414351776242,6.992153587194454e-07,F0_INTRINSIC_OPENING,emission,fixed_K18_intrinsic,7180961047.225788,0.04827490263457832,0.006270448505946058,-0.09927957979150781,0.0
A_NATIVE,325.0,0.0005,0.07509316036236147,SEED_1720,3.2732414351776242,6.992153587194454e-07,F0_INTRINSIC_OPENING,emission,FP_opening_stress,3785469462.87629,0.23233732363278514,0.8441776436688538,-2.0614373865758098,0.0
A_NATIVE,325.0,0.0005,0.07509316036236147,SEED_1720,3.2732414351776242,6.992153587194454e-07,F0_INTRINSIC_OPENING,emission,cleavage_action_weighted_opening_stress,,0.23982112608110906,0.8618480571189938,-2.031329586837995,0.0
A_NATIVE,325.0,0.0005,0.07509316036236147,SEED_1720,3.2732414351776242,6.992153587194454e-07,F1_EMISSION_BLUNTING,cleavage,fixed_K18_intrinsic,7180961047.225788,0.41087650129913017,1.3861892569385025e-05,-0.0005813265507626142,0.0
A_NATIVE,325.0,0.0005,0.07509316036236147,SEED_1720,3.2732414351776242,6.992153587194454e-07,F1_EMISSION_BLUNTING,cleavage,FP_opening_stress,3780680350.479865,0.5469353591646704,0.9360865012337365,-3.704484806364237,0.0
