candidate_id,temperature_K,Kdot,threshold_action,threshold_mode,renewal_hits,renewal_tau_s,tier,status,K_FP,action,root_relative_residual,r_eff_m,K_shield_MPa_sqrt_m,source_activations,AK,AT,thermal_derivative,accessibility,accessibility_flags,zero_load_elementary_rate,zero_load_renewal_rate,zero_load_action_fraction,renewal_ceiling_ramp_fraction,renewal_ceiling_margin_at_FP,stress_cap_ramp_fraction,barrier_floor_ramp_fraction,numerical_lower_bound_occupancy,full_state_available,state_scope,refinement_relative_K_error,K_over_300K,reason,selected_tier,best_scope
A_NATIVE,300.0,0.0005,0.07509316036236147,SEED_1720,3.2732414351776242,6.992153587194454e-07,F0_INTRINSIC_OPENING,FIRST_PASSAGE,9.958646610134332,0.07509316036236015,1.7541523789077473e-14,1e-06,0.0,0.0,100.42828550542104,0.21625815799130044,-0.0021533590551999116,FRACTURE_RESPONSE_ACCESSIBLE,,1.0782117019768365e-19,9.796629146859482e-78,2.598403560945756e-72,0.0,0.9999999997352493,0.0,0.0,0,False,intrinsic,0.0,1.0,,,
A_NATIVE,300.0,0.0005,0.07509316036236147,SEED_1720,3.2732414351776242,6.992153587194454e-07,F1_EMISSION_BLUNTING,FIRST_PASSAGE,10.20972981815838,0.07509316036236885,9.836575998178887e-14,1.0541577453675085e-06,0.0,344.4140144156013,89.50492727125658,0.19331549949223703,-0.002159830809161698,FRACTURE_RESPONSE_ACCESSIBLE,,1.0782117019768365e-19,9.796629146859482e-78,2.663916027384664e-72,0.0,0.9999999997698483,0.0,0.0,0,False,conditional_ideal_mode_I_source_bin_moment_no_PT_transport,5.88862292261183e-12,1.0,,,
A_NATIVE,300.0,0.0005,0.07509316036236147,SEED_1720,3.2732414351776242,6.992153587194454e-07,F2_CURRENT_STATE,STATE_CLOSURE_UNAVAILABLE,,,,,,,,,,,,,,,,,,,,False,,,,No qualified monotonic tensor-drive replay over evolving radius and opening: current production obtains emission drive from live 2-D equilibrium; F1 ideal mode-I factors are not that replay. No new FEM requested.,,
A_NATIVE,300.0,0.0005,0.07509316036236147,SEED_1720,3.2732414351776242,6.992153587194454e-07,BEST_CURRENT_MONOTONIC_FORWARD,FIRST_PASSAGE,10.20972981815838,0.07509316036236885,9.836575998178887e-14,1.0541577453675085e-06,0.0,344.4140144156013,89.50492727125658,0.19331549949223703,-0.002159830809161698,FRACTURE_RESPONSE_ACCESSIBLE,,1.0782117019768365e-19,9.796629146859482e-78,2.663916027384664e-72,0.0,0.9999999997698483,0.0,0.0,0,False,conditional_ideal_mode_I_source_bin_moment_no_PT_transport,5.88862292261183e-12,1.0,,F1_EMISSION_BLUNTING,F1_REDUCED_NOT_F2
A_NATIVE,325.0,0.0005,0.07509316036236147,SEED_1720,3.2732414351776242,6.992153587194454e-07,F0_INTRINSIC_OPENING,FIRST_PASSAGE,9.488764788397935,0.07509316036236295,1.9761969838327786e-14,1e-06,0.0,0.0,113.4756948626093,0.19913374071093912,-0.0017548580861482302,FRACTURE_RESPONSE_ACCESSIBLE,,2.5989847435443162e-17,6.141353174480877e-70,1.5520416366531913e-64,0.0,0.9999999996860398,0.0,0.0,0,False,intrinsic,0.0,0.952816698881731,,,
A_NATIVE,325.0,0.0005,0.07509316036236147,SEED_1720,3.2732414351776242,6.992153587194454e-07,F1_EMISSION_BLUNTING,FIRST_PASSAGE,9.734095170377064,0.07509316036235937,2.786659791809143e-14,1.0550459810001979e-06,0.0,350.06271337686013,101.39652410095889,0.1726822917162929,-0.0017030395592688753,FRACTURE_RESPONSE_ACCESSIBLE,,2.5989847435443162e-17,6.141353174480877e-70,1.5921694062900997e-64,0.0,0.9999999997265305,0.0,0.0,0,False,conditional_ideal_mode_I_source_bin_moment_no_PT_transport,3.436473328122247e-12,0.9534135911280059,,,
A_NATIVE,325.0,0.0005,0.07509316036236147,SEED_1720,3.2732414351776242,6.992153587194454e-07,F2_CURRENT_STATE,STATE_CLOSURE_UNAVAILABLE,,,,,,,,,,,,,,,,,,,,False,,,,No qualified monotonic tensor-drive replay over evolving radius and opening: current production obtains emission drive from live 2-D equilibrium; F1 ideal mode-I factors are not that replay. No new FEM requested.,,
A_NATIVE,325.0,0.0005,0.07509316036236147,SEED_1720,3.2732414351776242,6.992153587194454e-07,BEST_CURRENT_MONOTONIC_FORWARD,FIRST_PASSAGE,9.734095170377064,0.07509316036235937,2.786659791809143e-14,1.0550459810001979e-06,0.0,350.06271337686013,101.39652410095889,0.1726822917162929,-0.0017030395592688753,FRACTURE_RESPONSE_ACCESSIBLE,,2.5989847435443162e-17,6.141353174480877e-70,1.5921694062900997e-64,0.0,0.9999999997265305,0.0,0.0,0,False,conditional_ideal_mode_I_source_bin_moment_no_PT_transport,3.436473328122247e-12,0.9534135911280059,,F1_EMISSION_BLUNTING,F1_REDUCED_NOT_F2
A_NATIVE,350.0,0.0005,0.07509316036236147,SEED_1720,3.2732414351776242,6.992153587194454e-07,F1_EMISSION_BLUNTING,STATE_CLOSURE_UNAVAILABLE,,,,,,,,,,,,,,,,,,,,False,,,,F1_STATE_CLOSURE_UNAVAILABLE: Required step size is less than spacing between numbers.,,
A_NATIVE,350.0,0.0005,0.07509316036236147,SEED_1720,3.2732414351776242,6.992153587194454e-07,F0_INTRINSIC_OPENING,FIRST_PASSAGE,9.109513827006339,0.07509316036235966,2.398081733190338e-14,1e-06,0.0,0.0,120.92540054675435,0.18463098234031908,-0.001526817207183314,FRACTURE_RESPONSE_ACCESSIBLE,,2.8615640011421096e-15,2.961880711867822e-63,7.186085435345983e-58,0.0,0.9999999996514993,0.0,0.0,0,False,intrinsic,0.0,0.9147341183626417,,,
