alias,temperature_K,accepted_step,projected_extension_m,terminal_reason,effective_radius_m,backstress_Pa,active_shielding_Pa_sqrt_m,mobile_count,retained_count
DBTT_V2,300,2126,0.0010000106212350874,REACHED_1000UM,1.0324273819734532e-06,234206952.71791586,1.3677397466134206e-31,105.45988329094615,9.410488527083604e-33
DBTT_V2,1200,1345,0.0010000106212350874,REACHED_1000UM,1.4490810191366619e-06,874058884.1877413,4028.258195381314,61.135424593741874,1375.0267131875605
DBTT_V2_P40,300,2130,0.0010000106212350874,REACHED_1000UM,1.2439235885565937e-06,642376813.0953218,1.167794861910435e-25,817.9868057702724,8.034250885476841e-27
DBTT_V2_P40,1200,2322,0.0010000106212350874,REACHED_1000UM,1.3044511783016652e-05,4514010266.984894,-5952583.465239013,1.3294028076680633,40499.50678180734
weakT_V2_P25,300,2131,0.0010000106212350874,REACHED_1000UM,1.0677654443782129e-06,338575729.333958,7.621161434844728e-30,224.44406191351015,5.243440586531685e-31
weakT_V2_P25,1200,2128,0.0010000106212350874,REACHED_1000UM,1e-06,9.444029503841518e-08,1.1246370846511199e-31,1.1551912302243539e-29,7.719811839478603e-33
weakT_V2_P40,300,2142,0.0010000106212350874,REACHED_1000UM,1.3384191197434766e-06,756644742.8253185,3.2694644556206365e-24,1135.7434216503968,2.249325134397632e-25
weakT_V2_P40,1200,2143,0.0010000106212350874,REACHED_1000UM,1.0029529556320595e-06,71130836.05917437,1.9460241889972005,8.257664432735158,0.13406121869975546
ceramic_V2_P25,300,2128,0.0010000106212350874,REACHED_1000UM,1.0366245056079179e-06,248903565.2123692,2.514116340398798e-31,119.52922482224272,1.7297825234312032e-32
ceramic_V2_P25,1200,2119,0.0010000106212350874,REACHED_1000UM,1e-06,2.650817295019367e-75,1.1181256930908902e-175,1.1814570804440642e-164,1.4279109993420946e-176
ceramic_V2_P40,300,2132,0.0010000106212350874,REACHED_1000UM,1.2702255116487684e-06,676124498.2708433,3.1659594805262042e-25,906.4515094199362,2.178126706276244e-26
ceramic_V2_P40,1200,1635,0.0010000106212350874,REACHED_1000UM,1e-06,7.104406632217041e-06,1.4225989521786514e-38,8.958307628999697e-26,1.4425847121507668e-39
