case_id,alias,temperature_K,package,roles,accepted_step,projected_extension_m,checkpoint_generation,metadata_sha256
DBTT_V2_P40_1200K_theta0,DBTT_V2_P40,1200,last_pre_first_event,LAST_ACCEPTED_PRE_FIRST_EVENT,199,0.0,c62d2dc23ecb7e3f9fd0da89,60f6172e54edb654d10eacfa3e63b173680aef68353dd8d569ac75b735848c9a
DBTT_V2_P40_1200K_theta0,DBTT_V2_P40,1200,milestone_250um,FIRST_ACCEPTED_AT_OR_BEYOND_250UM,643,0.0002543796503985268,cb5ba2843fc0b502b409e536,f07dda39fa68ebeb6385a362e9e39be81dd74040a7d48175fbe19f6ca5192310
DBTT_V2_P40_1200K_theta0,DBTT_V2_P40,1200,milestone_500um,FIRST_ACCEPTED_AT_OR_BEYOND_500UM,1222,0.0005064614852632956,53c1ac339fa21243c9b43534,cf7c4431e7cccf0a5a9a11ea5caeb78ac01571491b606df3013c093661f7ff73
DBTT_V2_P40_1200K_theta0,DBTT_V2_P40,1200,milestone_750um,FIRST_ACCEPTED_AT_OR_BEYOND_750UM,1790,0.0007524061539595259,cab8ff046014bffcc6638b0b,f32d6ad278d74f942a8723930663359d53526e2715bd4ea09017f8c49e76c50e
DBTT_V2_P40_1200K_theta0,DBTT_V2_P40,1200,terminal,FIRST_ACCEPTED_AT_OR_BEYOND_1000UM;TERMINAL_ACCEPTED_STATE,2322,0.0010000106212350874,3080a2e3d6df540f3d2f159a,3ad4d6149e5c0791582934f800493cb4af18bd2b12b868fbb05c007dce7bbec0
weakT_V2_P25_300K_theta0,weakT_V2_P25,300,first_post_event,FIRST_ACCEPTED_POST_EVENT,32,2.4335696912706475e-06,cf180122552d3a56c43a3a01,7529d9f954082acfc1bc73743f24298f6272a3469aecbb34025286c52b1519e3
weakT_V2_P25_300K_theta0,weakT_V2_P25,300,initial,INITIAL_ACCEPTED_STATE,0,0.0,36cf0691df83e6af653bc517,1f3aa843a3093f2dd38f9d2d8ba00157f1f3a363e2fdb993d2b60e68056ee91d
weakT_V2_P25_300K_theta0,weakT_V2_P25,300,last_pre_first_event,LAST_ACCEPTED_PRE_FIRST_EVENT,31,0.0,d3e56141dbcf2590173fd8c3,5af0638fc01bfb3fa8e0d7f35da5291ef06dba68d07c21281c81776916f3cd76
weakT_V2_P25_300K_theta0,weakT_V2_P25,300,milestone_250um,FIRST_ACCEPTED_AT_OR_BEYOND_250UM,467,0.0002543796503985268,53cd05bb9e58bf03e9c6dec8,a67fabac786edecd37443915228511cab8fabbe6d0dc3ff4cf30802c077b4619
weakT_V2_P25_300K_theta0,weakT_V2_P25,300,milestone_500um,FIRST_ACCEPTED_AT_OR_BEYOND_500UM,1035,0.0005064614852632956,88dfd6e710900fab5858ac14,4d2724f9ac968ee68bbc32269bbe359234c67f5bc91018b7cdbf93828e2b41c9
weakT_V2_P25_300K_theta0,weakT_V2_P25,300,milestone_750um,FIRST_ACCEPTED_AT_OR_BEYOND_750UM,1600,0.0007524061539595259,149c93cc5a356c152d385290,b0c77039e8250c3c1dee7491ddc10c16e991d5ba560ce07f18c2dd54822ece80
weakT_V2_P25_300K_theta0,weakT_V2_P25,300,terminal,FIRST_ACCEPTED_AT_OR_BEYOND_1000UM;TERMINAL_ACCEPTED_STATE,2131,0.0010000106212350874,9983d2e3b774db376ce19337,cfb23ad23ddd7fd82782f013bf95ed6d2358833f6884530de4677fe4a0c5d4b1
weakT_V2_P25_1200K_theta0,weakT_V2_P25,1200,first_post_event,FIRST_ACCEPTED_POST_EVENT,28,2.4335696912706475e-06,12fd81698284e8928519f812,79304c6ba4ece60346752768d616846c33db4775fdf3c6a2274d665522c5d234
weakT_V2_P25_1200K_theta0,weakT_V2_P25,1200,initial,INITIAL_ACCEPTED_STATE,0,0.0,b6b946cc1007db2597df9378,50d888df0405347807856f2a283991682ee2a36c02757305630199317ba9eadd
weakT_V2_P25_1200K_theta0,weakT_V2_P25,1200,last_pre_first_event,LAST_ACCEPTED_PRE_FIRST_EVENT,27,0.0,eaf6cfb5f361e309638472fc,05969830022b58fbf0b926fde21cb8c5e03242b8c6b1d588ebe5895aa566cf06
weakT_V2_P25_1200K_theta0,weakT_V2_P25,1200,milestone_250um,FIRST_ACCEPTED_AT_OR_BEYOND_250UM,464,0.0002543796503985268,eaad99b287251a459c683818,efd99a4f2cda554f175b01e7918fd8c3d58da78424c184cf71af6aee723f7bdb
weakT_V2_P25_1200K_theta0,weakT_V2_P25,1200,milestone_500um,FIRST_ACCEPTED_AT_OR_BEYOND_500UM,1031,0.0005064614852632956,a8e01a540bf1b06b947325cf,fda17298082121c2fb0784d7a8c6c91d53320b73885021ab68737e744a21e1fc
weakT_V2_P25_1200K_theta0,weakT_V2_P25,1200,milestone_750um,FIRST_ACCEPTED_AT_OR_BEYOND_750UM,1596,0.0007524061539595259,59d3241905d42964b0130f58,89f8bd009fc5b65d90f2bb410154a9b832d63ec7c74e14d7f3fe214bc69554f9
weakT_V2_P25_1200K_theta0,weakT_V2_P25,1200,terminal,FIRST_ACCEPTED_AT_OR_BEYOND_1000UM;TERMINAL_ACCEPTED_STATE,2128,0.0010000106212350874,6de89123f4e3e84a13f35af6,76e158e629f47cba19b34d529b7fbeffb246608a78d40b0796a5b642cb0eeaa2
weakT_V2_P40_300K_theta0,weakT_V2_P40,300,first_post_event,FIRST_ACCEPTED_POST_EVENT,37,2.4335696912706475e-06,9b86b37a434afe2342b674a8,1b97da2b02dc1e3980da97449132c26deae158a683beb8901b044ab40e75e445
weakT_V2_P40_300K_theta0,weakT_V2_P40,300,initial,INITIAL_ACCEPTED_STATE,0,0.0,545f04af1d9f7653ce2b25de,cfca3ba5b83ebeee7570218c0990d47c76373fa7d283ea40abc81398f4a6bdcc
weakT_V2_P40_300K_theta0,weakT_V2_P40,300,last_pre_first_event,LAST_ACCEPTED_PRE_FIRST_EVENT,36,0.0,c61d7a3636e9d3f00e4a8a86,9b15ea374bb19ae5f62b37bb97b1051ad75df66e0bba6e8bb39c2b82018b9e23
weakT_V2_P40_300K_theta0,weakT_V2_P40,300,milestone_250um,FIRST_ACCEPTED_AT_OR_BEYOND_250UM,471,0.0002543796503985268,80a6183d85b7cbf2200885be,d6677f0fe1da293a6f4fcae77c9b997b6a60dcc1a888598f88f17742bf5463a0
weakT_V2_P40_300K_theta0,weakT_V2_P40,300,milestone_500um,FIRST_ACCEPTED_AT_OR_BEYOND_500UM,1043,0.0005064614852632956,4541c781b080c4ea7480b224,9372da8b00fcf0d3b1723e7c0de7efcd6cdebc9dbe2f93c215d607f146b580eb
weakT_V2_P40_300K_theta0,weakT_V2_P40,300,milestone_750um,FIRST_ACCEPTED_AT_OR_BEYOND_750UM,1608,0.0007524061539595259,60c75a49ceb4dcf2da6435e7,5daa70b0c01f88618406f244ad94732a22c77d1288a5728d8430c1f4718850e9
weakT_V2_P40_300K_theta0,weakT_V2_P40,300,terminal,FIRST_ACCEPTED_AT_OR_BEYOND_1000UM;TERMINAL_ACCEPTED_STATE,2142,0.0010000106212350874,b4ac299155af39b0c3d44929,ad3bcc023ea6e75d04051c8d650546fc5fa63799e172ede66ed0a7d74cd92ebb
weakT_V2_P40_1200K_theta0,weakT_V2_P40,1200,first_post_event,FIRST_ACCEPTED_POST_EVENT,31,2.4335696912706475e-06,0d543ab1d190eb81534a7c0e,60ff8d0816ddeca1015513bed073bd4206f61274db2deea15923b8a6a870ea76
weakT_V2_P40_1200K_theta0,weakT_V2_P40,1200,initial,INITIAL_ACCEPTED_STATE,0,0.0,b9303f81bbcc2a4edb2e36c2,6859ada95f625c9949111aa628b56ff3c678b58cb828bae51da6aa515947f09e
weakT_V2_P40_1200K_theta0,weakT_V2_P40,1200,last_pre_first_event,LAST_ACCEPTED_PRE_FIRST_EVENT,30,0.0,52a417a70e46f41bfdac0d1b,7b98426b3c265cb57c6d6b74dac4cee8e9f08e148dbdefd3c38782520697b1ad
weakT_V2_P40_1200K_theta0,weakT_V2_P40,1200,milestone_250um,FIRST_ACCEPTED_AT_OR_BEYOND_250UM,469,0.0002543796503985268,866fc46d9571d853491243e9,d5daa91ff6e2d451fff253b70fa6cf06a1f1f14384cf3bd7cd79363c04c61374
