family,temperature_K,P25_first_event_K_J_Pa_sqrt_m,P40_first_event_K_J_Pa_sqrt_m,P25_maximum_K_J_Pa_sqrt_m,P40_maximum_K_J_Pa_sqrt_m,P25_terminal_K_J_Pa_sqrt_m,P40_terminal_K_J_Pa_sqrt_m,terminal_K_J_P40_over_P25,P25_accepted_steps,P40_accepted_steps,P25_extension_m,P40_extension_m,P25_path_extension_m,P40_path_extension_m,P25_final_effective_radius_m,P40_final_effective_radius_m,P25_final_backstress_Pa,P40_final_backstress_Pa,P25_final_mobile_process_zone_count,P40_final_mobile_process_zone_count
DBTT,300,3447465.854570969,5262136.346592324,12273086.810908157,16367198.565955715,9224051.550493019,12184098.843705771,1.3209053285326164,2126,2130,0.0010000106212350874,0.0010000106212350874,0.0010036252389956364,0.0010036252389956364,1.0324273819734532e-06,1.2439235885565937e-06,234206952.71791586,642376813.0953218,105.45988329094615,817.9868057702724
DBTT,1200,28671058.34398782,67935235.27058633,63362527.95674738,153035248.6347749,45855941.15189097,110824264.89684175,2.4167918510221584,1345,2322,0.0010000106212350874,0.0010000106212350874,0.0010036252389956364,0.0010036252389956364,1.4490810191366619e-06,1.3044511783016652e-05,874058884.1877413,4514010266.984894,61.135424593741874,1.3294028076680633
weakT,300,4593709.535576808,6820223.511714986,13344784.22919239,17881958.18142404,9966905.674151681,13207991.794345416,1.3251847891567003,2131,2142,0.0010000106212350874,0.0010000106212350874,0.0010036252389956364,0.0010036252389956364,1.0677654443782129e-06,1.3384191197434766e-06,338575729.333958,756644742.8253185,224.44406191351015,1135.7434216503968
weakT,1200,5019263.431819546,8002646.619087813,14845035.33376777,21122996.537856124,10776774.97742211,15290839.299022853,1.4188696832826087,2128,2143,0.0010000106212350874,0.0010000106212350874,0.0010036252389956364,0.0010036252389956364,1e-06,1.0029529556320595e-06,9.444029503841518e-08,71130836.05917437,1.1551912302243539e-29,8.257664432735158
ceramic,300,3646476.4412531103,5822487.755362433,12428230.193593822,16806112.614742704,9330099.745117605,12477994.78847432,1.3373913601517489,2128,2132,0.0010000106212350874,0.0010000106212350874,0.0010036252389956364,0.0010036252389956364,1.0366245056079179e-06,1.2702255116487684e-06,248903565.2123692,676124498.2708433,119.52922482224272,906.4515094199362
ceramic,1200,1886983.785136131,2018233.545162818,4844322.268708012,6670064.759998177,3507339.652656865,4827184.708175973,1.3763094499613988,2119,1635,0.0010000106212350874,0.0010000106212350874,0.0010036252389956364,0.0010036252389956364,1e-06,1e-06,2.650817295019367e-75,7.104406632217041e-06,1.1814570804440642e-164,8.958307628999697e-26
