case_id,roles,accepted_step,domain_K_J_Pa_sqrt_m,domain_K_J_valid,applied_specimen_K,applied_specimen_K_status,global_G_or_VCCT,global_G_or_VCCT_status
weakT_V2_P40_300K_theta0,FIRST_ACCEPTED_AT_OR_BEYOND_500UM,1043,14704390.085454766,True,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
weakT_V2_P40_300K_theta0,FIRST_ACCEPTED_AT_OR_BEYOND_1000UM;TERMINAL_ACCEPTED_STATE,2142,13207991.794345416,True,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
weakT_V2_P40_1200K_theta0,INITIAL_ACCEPTED_STATE,0,,False,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
weakT_V2_P40_1200K_theta0,LAST_ACCEPTED_PRE_FIRST_EVENT,30,7947497.050832711,True,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
weakT_V2_P40_1200K_theta0,FIRST_ACCEPTED_AT_OR_BEYOND_500UM,1037,17783684.32886974,True,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
weakT_V2_P40_1200K_theta0,FIRST_ACCEPTED_AT_OR_BEYOND_1000UM;TERMINAL_ACCEPTED_STATE,2143,15290839.299022853,True,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
ceramic_V2_P25_300K_theta0,INITIAL_ACCEPTED_STATE,0,,False,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
ceramic_V2_P25_300K_theta0,LAST_ACCEPTED_PRE_FIRST_EVENT,29,3637494.6016848595,True,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
ceramic_V2_P25_300K_theta0,FIRST_ACCEPTED_AT_OR_BEYOND_500UM,1033,9881761.689780127,True,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
ceramic_V2_P25_300K_theta0,FIRST_ACCEPTED_AT_OR_BEYOND_1000UM;TERMINAL_ACCEPTED_STATE,2128,9330099.745117605,True,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
ceramic_V2_P25_1200K_theta0,INITIAL_ACCEPTED_STATE,0,,False,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
ceramic_V2_P25_1200K_theta0,LAST_ACCEPTED_PRE_FIRST_EVENT,19,1872958.2366745593,True,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
ceramic_V2_P25_1200K_theta0,FIRST_ACCEPTED_AT_OR_BEYOND_500UM,1026,4077764.0522310394,True,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
ceramic_V2_P25_1200K_theta0,FIRST_ACCEPTED_AT_OR_BEYOND_1000UM;TERMINAL_ACCEPTED_STATE,2119,3507339.652656865,True,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
ceramic_V2_P40_300K_theta0,INITIAL_ACCEPTED_STATE,0,,False,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
ceramic_V2_P40_300K_theta0,LAST_ACCEPTED_PRE_FIRST_EVENT,31,5809363.665086323,True,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
ceramic_V2_P40_300K_theta0,FIRST_ACCEPTED_AT_OR_BEYOND_500UM,1035,13724497.8260836,True,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
ceramic_V2_P40_300K_theta0,FIRST_ACCEPTED_AT_OR_BEYOND_1000UM;TERMINAL_ACCEPTED_STATE,2132,12477994.78847432,True,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
ceramic_V2_P40_1200K_theta0,INITIAL_ACCEPTED_STATE,0,,False,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
ceramic_V2_P40_1200K_theta0,LAST_ACCEPTED_PRE_FIRST_EVENT,11,1957571.7749108719,True,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
ceramic_V2_P40_1200K_theta0,FIRST_ACCEPTED_AT_OR_BEYOND_500UM,896,5617130.051229893,True,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
ceramic_V2_P40_1200K_theta0,FIRST_ACCEPTED_AT_OR_BEYOND_1000UM;TERMINAL_ACCEPTED_STATE,1635,4827184.708175973,True,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
