candidate_id,parent_id,temperature_K,Kmax_MPa_sqrt_m,exact_developed_da_dN,local_log_slope,cycle_integrated_hazard_ratio,event_size_m,censor,floor_occupancy,ceiling_occupancy,state_transmission_correction
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,300.0,12.0,1.480400435102097e-07,2.9805676418155653,0.9664818169080677,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,300.0,12.75,1.7735947185847907e-07,2.928779657869384,0.9739517932938472,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,300.0,13.5,2.096800897902626e-07,2.9342247768289664,0.9795830719648305,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,300.0,15.0,2.856406130132428e-07,2.757527487160995,0.9871025958210796,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,300.0,16.5,3.7150222872501816e-07,2.539080973295229,0.9915284187308543,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,300.0,18.0,4.633505037272933e-07,2.0905322703434206,0.9942122801920253,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,300.0,19.5,5.477481815255094e-07,1.959381606537188,0.9958933458635217,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,300.0,21.0,6.33348900617797e-07,1.4635440151711376,0.9969820393771837,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,300.0,24.3,7.841743896689759e-07,1.4635440151711376,0.9982977890039312,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,750.0,12.0,1.1113730370704503e-08,8.969974628818909,0.07255616836240719,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,750.0,12.75,1.9143871414081944e-08,8.292186544395138,0.10512665435319715,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,750.0,13.5,3.07518718002349e-08,7.257435698095662,0.14366654018927116,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,750.0,15.0,6.606228647489674e-08,5.764570612993907,0.22829475744831537,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,750.0,16.5,1.144365239257116e-07,4.580299185315991,0.30542768478814014,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,750.0,18.0,1.7046984726786852e-07,3.5519602140415176,0.36577755757857955,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,750.0,19.5,2.2652763477009236e-07,3.0972372934952235,0.4118632826738663,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,750.0,21.0,2.8497370714906704e-07,2.33878797004309,0.44858950168732575,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,750.0,24.3,4.0091609877168037e-07,2.33878797004309,0.5103885822499267,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,1200.0,12.0,3.89904171807923e-08,5.828083334336706,0.2545495687881016,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,1200.0,12.75,5.5514333611752705e-08,5.0747774111546775,0.30485140831848156,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,1200.0,13.5,7.419579505096995e-08,4.440512148026368,0.34662778385684084,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,1200.0,15.0,1.1845843360755471e-07,3.8369973118315497,0.4093627515968647,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,1200.0,16.5,1.7076136089532869e-07,3.4100646259984853,0.4557570024006474,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,1200.0,18.0,2.2974763105804067e-07,2.8340411252145103,0.4929700395391542,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,1200.0,19.5,2.882493129277112e-07,2.615149891721531,0.5240831140597233,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,1200.0,21.0,3.4989364290926376e-07,2.026253468277422,0.5507827949689624,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,1200.0,24.3,4.702990893173396e-07,2.026253468277422,0.5987170037958677,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_059496,P25_TRANSFER_V1_RANK1,300.0,12.0,1.4677817422634498e-07,3.0122977561079596,0.958243682892078,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_059496,P25_TRANSFER_V1_RANK1,300.0,12.75,1.761862793037335e-07,2.9537143918428597,0.9675093237679726,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_059496,P25_TRANSFER_V1_RANK1,300.0,13.5,2.0859018090019785e-07,2.9520252743957,0.9744912375433585,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_059496,P25_TRANSFER_V1_RANK1,300.0,15.0,2.8468929004152596e-07,2.76900478848348,0.9838150613037021,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_059496,P25_TRANSFER_V1_RANK1,300.0,16.5,3.706702003613043e-07,2.5466960473764777,0.9893077597306547,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_059496,P25_TRANSFER_V1_RANK1,300.0,18.0,4.626191980692523e-07,2.0957271057481957,0.9926431158985811,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_059496,P25_TRANSFER_V1_RANK1,300.0,19.5,5.471111173606947e-07,1.963019122000815,0.9947350618490315,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_059496,P25_TRANSFER_V1_RANK1,300.0,21.0,6.327828332345397e-07,1.4657530946148543,0.9960909680993552,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
P25_TJBSV2_S_059496,P25_TRANSFER_V1_RANK1,300.0,24.3,7.8372617042217e-07,1.4657530946148543,0.9977271808726655,5e-06,False,0.0,0.0,F1B_MONOTONIC_ONLY_NO_FATIGUE_RETUNING
