candidate_id,parent_id,temperature_K,Kdot,A0_OPENING_ONLY,A1_OPENING_PLUS_EMISSION_RATE_FROZEN_STATE,A2_OPENING_PLUS_REDUCED_BLUNTING,A3_FULL_PRODUCTION_STATE,Delta_K_rate_only,Delta_K_reduced_state,Delta_K_full_transport,Delta_K_total_state,emitted_total,mobile,retained,escaped,recovered,radius_m,backstress_Pa,active_shield_Pa_sqrt_m,wake_shield_Pa_sqrt_m,source_multiplicity,state_closure_status
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,300.0,0.005,3.5057593233474424,3.5057593233474424,3.5057829520227117,3.5085451644849632,0.0,2.3628675269282695e-05,0.002762212462251501,0.0027858411375207837,0.0002889547615849692,0.0002889547615849692,1.3130907077242875e-47,0.0,0.0,1.0000000645343162e-06,330420.68256953533,1.1577150626958883e-46,0.0,96387.50064960099,FIRST_PASSAGE
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,450.0,0.005,3.1802534409061636,3.1802534409061636,3.180288149731601,3.0134055111653137,0.0,3.470882543732401e-05,-0.16688263856628716,-0.16684792974084983,2.6774312146568872e-05,2.6774312146568872e-05,2.6119164135131326e-33,0.0,0.0,1.000000005979697e-06,100579.9597355448,1.8371861521917872e-32,0.0,96388.66850513643,FIRST_PASSAGE
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,600.0,0.005,2.9611066488161075,2.9611066488161075,2.9611315450465083,3.000497985432498,0.0,2.489623040080602e-05,0.03936644038598969,0.03939133661639049,2.6332977333417285e-05,2.6332977333417285e-05,3.178214611619805e-26,0.0,0.0,1.0000000058811305e-06,99747.55955429484,1.9688408929440122e-25,0.0,96388.67047105246,FIRST_PASSAGE
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,750.0,0.005,2.7573299180475637,2.7573299180475637,2.7573605307271096,2.557770240653252,0.0,3.0612679545960475e-05,-0.19959029007385753,-0.19955967739431157,1.9047888065071888e-05,1.9047888065071895e-05,8.004675157112572e-21,1.1270335846035002e-22,0.0,1.0000000042541e-06,84835.12643338833,4.4346324090333456e-20,0.0,96388.70292233673,FIRST_PASSAGE
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,900.0,0.005,2.531422311300945,2.531422311300945,2.531438698723457,2.5021782890935342,0.0,1.6387422511865424e-05,-0.029260409629922712,-0.029244022207410847,1.868010905348615e-05,1.868010905348307e-05,3.1001342850436997e-18,3.272057669560698e-20,0.0,1.0000000041719612e-06,84012.1308140692,1.6526571785787518e-17,0.0,96388.70456060187,FIRST_PASSAGE
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,1050.0,0.005,2.228428113967371,2.228428113967371,2.228438175084438,2.0616825168203525,0.0,1.0061117067028391e-05,-0.16675565826408567,-0.16674559714701864,1.257191261498533e-05,1.2571912614057869e-05,9.274325173216126e-16,4.58721280497407e-20,0.0,1.0000000028077744e-06,68921.22263463457,4.557775074265377e-15,0.0,96388.73176946746,FIRST_PASSAGE
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,1200.0,0.005,1.5244483037672374,1.5244483037672374,1.5244506924308405,1.5154396926811011,0.0,2.3886636031367203e-06,-0.009010999749739401,-0.009008611086136264,3.7605404213709664e-06,3.760540414007221e-06,7.36374355464109e-15,5.008785404161721e-21,0.0,1.000000000839868e-06,37694.450997649765,3.403233169437975e-14,0.0,96388.77101962837,FIRST_PASSAGE
P25_TJBSV2_S_059496,P25_TRANSFER_V1_RANK1,300.0,0.005,4.0768465410541435,4.0768465410541435,4.076867734520565,4.016023199704142,0.0,2.1193466421820517e-05,-0.06084453481642349,-0.06082334135000167,0.015090789424865853,0.015090789424865853,4.150523230813365e-45,0.0,0.0,1.0000033703330323e-06,2387856.7849285104,3.8827992354604173e-44,0.0,96321.63663087437,FIRST_PASSAGE
P25_TJBSV2_S_059496,P25_TRANSFER_V1_RANK1,450.0,0.005,3.747789627852234,3.747789627852234,3.7478217829781015,3.540173843776482,0.0,3.215512586773883e-05,-0.20764793920161972,-0.20761578407575199,3.58737778564309e-05,3.58737778564309e-05,1.2545017331548188e-32,0.0,0.0,1.0000000080119453e-06,116423.55424441576,9.849164634550139e-32,0.0,96388.62797179742,FIRST_PASSAGE
P25_TJBSV2_S_059496,P25_TRANSFER_V1_RANK1,600.0,0.005,3.622385723981517,3.622385723981517,3.622447616005535,3.501815446032763,0.0,6.189202401829519e-05,-0.12063216997277237,-0.12057027794875408,3.58737778564309e-05,3.58737778564309e-05,2.0477838674248487e-25,0.0,0.0,1.0000000080119453e-06,116423.55424441576,1.4577335187909418e-24,0.0,96388.62797179742,FIRST_PASSAGE
