candidate_id,temperature_K,grid_root,adaptive_root,absolute_error
P25_TJBSV2_S_004127,300,3.5057593233,3.5057829518,2.36285e-05
P25_TJBSV2_S_004127,450,3.1802534409,3.1802881497,3.47088e-05
P25_TJBSV2_S_004127,600,2.9611066488,2.9611315451,2.48962e-05
P25_TJBSV2_S_004127,750,2.757329918,2.7573605307,3.06127e-05
P25_TJBSV2_S_004127,900,2.5314223113,2.5314386987,1.6387400000000002e-05
P25_TJBSV2_S_004127,1050,2.228428114,2.2284381751,1.0061200000000001e-05
P25_TJBSV2_S_004127,1200,1.5244483038,1.5244506927,2.3889e-06
P25_TJBSV2_S_059496,300,4.0768465411,4.0768677314,2.11903e-05
P25_TJBSV2_S_059496,450,3.7477896279,3.747821783,3.21551e-05
P25_TJBSV2_S_059496,600,3.622385724,3.622447616,6.189200000000001e-05
P25_TJBSV2_S_059496,750,3.5522753996,3.5523456854,7.02858e-05
P25_TJBSV2_S_059496,900,3.506847108,3.5069018392,5.47313e-05
P25_TJBSV2_S_059496,1050,3.4748071603,3.4748686097,6.14494e-05
P25_TJBSV2_S_059496,1200,3.4509272179,3.4510077284,8.051050000000001e-05
P25_TJBSV2_S_026704,300,4.4650100328,4.4650570727,4.7039900000000003e-05
P25_TJBSV2_S_026704,450,4.5353960987,4.5354172041,2.11054e-05
P25_TJBSV2_S_026704,600,4.5826426659,4.5826672741,2.46083e-05
P25_TJBSV2_S_026704,750,4.6165554531,4.6165838601,2.84069e-05
P25_TJBSV2_S_026704,900,4.6420744615,4.6420981659,2.37045e-05
P25_TJBSV2_S_026704,1050,4.6619623167,4.6619776444,1.53277e-05
P25_TJBSV2_S_026704,1200,4.6778775223,4.6778966238,1.91015e-05
P25_TJBSV2_S_064036,300,4.3650200091,4.3650910484,7.10394e-05
P25_TJBSV2_S_064036,450,4.7074081945,4.7074188323,1.06378e-05
P25_TJBSV2_S_064036,600,5.2994098445,5.2994165726,6.7281e-06
P25_TJBSV2_S_064036,750,5.7109488605,5.7109596894,1.08289e-05
P25_TJBSV2_S_064036,900,5.9448946376,5.9449048785,1.02409e-05
P25_TJBSV2_S_064036,1050,6.0902375005,6.0902600352,2.25347e-05
P25_TJBSV2_S_064036,1200,6.1885029614,6.1885236102,2.06488e-05
P25_TJBSV2_S_038124,300,3.7152153617,3.7152472918,3.19301e-05
P25_TJBSV2_S_038124,450,4.0964635799,4.096470436,6.8562000000000005e-06
P25_TJBSV2_S_038124,600,4.7939331167,4.7939348386,1.7220000000000002e-06
P25_TJBSV2_S_038124,750,5.685225302,5.6852299071,4.6051e-06
P25_TJBSV2_S_038124,900,6.4173339566,6.4173400335,6.0769e-06
P25_TJBSV2_S_038124,1050,6.9515239216,6.9515314464,7.524900000000001e-06
P25_TJBSV2_S_038124,1200,7.3440563066,7.3440639637,7.6571e-06
P25_TJBSV2_S_005447,300,4.1696263272,4.169655175,2.8847800000000002e-05
P25_TJBSV2_S_005447,450,7.0512599058,7.0512736145,1.37087e-05
P25_TJBSV2_S_005447,600,8.9423064637,8.9423346424,2.8178700000000002e-05
P25_TJBSV2_S_005447,750,9.6646516725,9.664677142,2.54695e-05
P25_TJBSV2_S_005447,900,10.0474088786,10.0474272587,1.83801e-05
P25_TJBSV2_S_005447,1050,10.2847812078,10.2848227888,4.15811e-05
P25_TJBSV2_S_005447,1200,10.4465038157,10.4465256783,2.18625e-05
P25_TJBSV2_S_034272,300,3.9971630432,3.9971996937,3.6650500000000004e-05
P25_TJBSV2_S_034272,450,10.380394,10.3804400357,4.6035700000000004e-05
P25_TJBSV2_S_034272,600,11.4106671102,11.4107341613,6.70511e-05
P25_TJBSV2_S_034272,750,11.7793010542,11.7793882532,8.7199e-05
P25_TJBSV2_S_034272,900,11.968491051400001,11.9686190771,0.0001280257
P25_TJBSV2_S_034272,1050,12.0836347002,12.0837055049,7.08047e-05
P25_TJBSV2_S_034272,1200,12.1609243541,12.1610615858,0.0001372317
P25_TJBSV2_S_026962,300,4.1742222622,4.1742486855,2.64232e-05
P25_TJBSV2_S_026962,450,12.76807147,12.7681604472,8.89772e-05
P25_TJBSV2_S_026962,600,13.6957454495,13.6958828557,0.0001374062
P25_TJBSV2_S_026962,750,14.0259558356,14.0261665145,0.0002106789
P25_TJBSV2_S_026962,900,14.1951086034,14.1952721297,0.0001635263
P25_TJBSV2_S_026962,1050,14.2977765418,14.297965682,0.0001891402
P25_TJBSV2_S_026962,1200,14.3667437495,14.3669244081,0.0001806585
P25_TJBSV2_S_055250,300,4.059299942,4.0593301133,3.01714e-05
P25_TJBSV2_S_055250,450,13.7372799805,13.7373552041,7.522360000000001e-05
P25_TJBSV2_S_055250,600,14.9353482675,14.9354918407,0.00014357320000000002
P25_TJBSV2_S_055250,750,15.3753115747,15.3754150862,0.00010351160000000001
P25_TJBSV2_S_055250,900,15.6035935206,15.6038156584,0.00022213780000000002
P25_TJBSV2_S_055250,1050,15.7434732371,15.7436383406,0.0001651035
P25_TJBSV2_S_055250,1200,15.8379085325,15.8380251687,0.0001166362
P25_TJBSV2_S_002987,300,3.2943685057,3.2943880278,1.9522e-05
P25_TJBSV2_S_002987,450,13.417306391,13.4173745539,6.81629e-05
P25_TJBSV2_S_002987,600,14.6997063918,14.6998261404,0.00011974860000000001
P25_TJBSV2_S_002987,750,15.1745866662,15.1747367834,0.0001501172
P25_TJBSV2_S_002987,900,15.4221969056,15.4222872793,9.03737e-05
P25_TJBSV2_S_002987,1050,15.5739739307,15.5741875931,0.0002136625
P25_TJBSV2_S_002987,1200,15.6767935729,15.6768854259,9.1853e-05
P25_TJBSV2_S_034830,300,3.7534351792000002,3.7534619645,2.67854e-05
P25_TJBSV2_S_034830,450,12.7934769701,12.7935043065,2.73363e-05
P25_TJBSV2_S_034830,600,16.9259774731,16.9260192505,4.1777400000000004e-05
P25_TJBSV2_S_034830,750,19.0104851865,19.0105217986,3.6612e-05
P25_TJBSV2_S_034830,900,20.3197983881,20.3198345721,3.61841e-05
P25_TJBSV2_S_034830,1050,21.2326368142,21.2326731808,3.63665e-05
P25_TJBSV2_S_034830,1200,21.9104730567,21.9105436291,7.05724e-05
P25_TJBSV2_S_036971,300,2.2854402888,2.2854489041,8.6153e-06
P25_TJBSV2_S_036971,450,19.1359295193,19.1359977243,6.820490000000001e-05
P25_TJBSV2_S_036971,600,24.4077825959,24.4078331611,5.05651e-05
P25_TJBSV2_S_036971,750,27.6005602894,27.6006189426,5.86532e-05
P25_TJBSV2_S_036971,900,29.9591914562,29.9592447653,5.33091e-05
P25_TJBSV2_S_036971,1050,31.8634038767,31.8634363687,3.2492e-05
P25_TJBSV2_S_036971,1200,33.479132792,33.4791744884,4.16963e-05
P40_TJBSV2_S_031027,300,5.5991526245,5.5992112384,5.8613900000000005e-05
P40_TJBSV2_S_031027,450,4.9074870306000005,4.9075349787,4.79481e-05
P40_TJBSV2_S_031027,600,4.50631863,4.5063884024,6.97724e-05
P40_TJBSV2_S_031027,750,4.1404515017,4.1404960268,4.45251e-05
P40_TJBSV2_S_031027,900,3.7320595959,3.7320844741,2.48781e-05
P40_TJBSV2_S_031027,1050,3.128053859,3.1280675129,1.36539e-05
P40_TJBSV2_S_031027,1200,0.5345467705,0.5345467759,5.4e-09
P40_TJBSV2_S_029466,300,5.8833029497,5.8833387255,3.5775800000000004e-05
P40_TJBSV2_S_029466,450,5.2864097779,5.2865021815,9.24036e-05
P40_TJBSV2_S_029466,600,5.002483188,5.002570382,8.7194e-05
P40_TJBSV2_S_029466,750,4.8092898436,4.8093665385,7.66949e-05
P40_TJBSV2_S_029466,900,4.6614258018,4.6614929068,6.7105e-05
P40_TJBSV2_S_029466,1050,4.5412528709,4.5413245236,7.16527e-05
P40_TJBSV2_S_029466,1200,4.4399715636,4.4400382925,6.67289e-05
P40_TJBSV2_S_023912,300,6.060521414,6.0605636603,4.22463e-05
P40_TJBSV2_S_023912,450,5.8146443465,5.8147173992,7.30527e-05
P40_TJBSV2_S_023912,600,5.699943219,5.6999739992,3.07802e-05
P40_TJBSV2_S_023912,750,5.6310887935,5.6311437385,5.4945e-05
P40_TJBSV2_S_023912,900,5.5847005854,5.5847452903,4.47049e-05
P40_TJBSV2_S_023912,1050,5.5511259405,5.5511872619,6.13214e-05
P40_TJBSV2_S_023912,1200,5.5256544541,5.525724765,7.03109e-05
P40_TJBSV2_S_038278,300,6.4417541403,6.4418630881,0.00010894790000000001
P40_TJBSV2_S_038278,450,6.5448440271,6.5448810796,3.70526e-05
P40_TJBSV2_S_038278,600,6.6527410247,6.6527632394,2.22147e-05
P40_TJBSV2_S_038278,750,6.7599351445,6.7599536444,1.8499900000000002e-05
P40_TJBSV2_S_038278,900,6.8595077204,6.8595225676,1.48472e-05
P40_TJBSV2_S_038278,1050,6.9461046174,6.9461136306,9.0132e-06
