backend,theta_deg,extension_um,physical_path_extension_um,tip_radius_um,reference_opening_m,drive_factor_system_0,drive_factor_system_1,tau_signed_system_0_Pa,tau_signed_system_1_Pa,opening_stress_Pa,sigma_nn_probe_Pa,sigma1_probe_Pa,tau_over_opening_system_0,tau_over_opening_system_1,reliable,field_snapshot_hash,topology_fingerprint,source_commit
PF,40.0,0.0,0.0,1.0,1e-05,0.3296983900472638,0.908600402830969,45401868.613956414,-125120890.35680713,275414560.60763806,21942580.345857758,275414560.60763806,0.1648491950236319,-0.4543002014154845,True,cddc65d9119968084bc05d9e47bdc5a616e7215c36a49750d9c6e795b99e9513,9a73ac2dedb244ae21bd0570908201e341e20845473ed145a11912c35b1d4dac,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,40.0,0.0,0.0,2.0,1e-05,0.2394085388568,0.737337856779277,48352472.77860356,-148917448.05258957,403932733.6400908,-47668594.32061578,403932733.6400908,0.1197042694284,-0.3686689283896385,True,cddc65d9119968084bc05d9e47bdc5a616e7215c36a49750d9c6e795b99e9513,9a73ac2dedb244ae21bd0570908201e341e20845473ed145a11912c35b1d4dac,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,40.0,0.0,0.0,4.0,1e-05,0.1759486698864146,0.41256388900117313,70104330.24318138,-164380413.55823082,796872522.9743187,-3472354.860213959,796872522.9743187,0.0879743349432073,-0.20628194450058657,True,cddc65d9119968084bc05d9e47bdc5a616e7215c36a49750d9c6e795b99e9513,9a73ac2dedb244ae21bd0570908201e341e20845473ed145a11912c35b1d4dac,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,40.0,0.0,0.0,8.0,1e-05,0.24986853239515025,0.35260241048113916,123326942.67357916,-174033027.8772522,987134646.2990859,6111439.198253423,987134646.2990859,0.12493426619757513,-0.17630120524056958,True,cddc65d9119968084bc05d9e47bdc5a616e7215c36a49750d9c6e795b99e9513,9a73ac2dedb244ae21bd0570908201e341e20845473ed145a11912c35b1d4dac,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,40.0,0.0,0.0,12.0,1e-05,0.12281745892951253,0.016539995302824344,74203940.43418643,-9993146.226359338,1208361434.6193826,24465865.901914474,1208361434.6193826,0.06140872946475626,-0.008269997651412172,True,cddc65d9119968084bc05d9e47bdc5a616e7215c36a49750d9c6e795b99e9513,9a73ac2dedb244ae21bd0570908201e341e20845473ed145a11912c35b1d4dac,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,40.0,0.0,0.0,25.0,1e-05,0.14930800863458968,0.006015367146056643,106823022.63341163,4303718.914128128,1430908142.3066318,35381456.155492626,1430908142.3066318,0.07465400431729484,0.0030076835730283216,True,cddc65d9119968084bc05d9e47bdc5a616e7215c36a49750d9c6e795b99e9513,9a73ac2dedb244ae21bd0570908201e341e20845473ed145a11912c35b1d4dac,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,40.0,0.0,0.0,50.0,1e-05,0.33871432116626077,0.042674841329723594,186604083.9273609,-23510371.94311515,1101837579.7329497,155267641.51207408,1101837579.7329497,0.16935716058313038,-0.021337420664861797,True,cddc65d9119968084bc05d9e47bdc5a616e7215c36a49750d9c6e795b99e9513,9a73ac2dedb244ae21bd0570908201e341e20845473ed145a11912c35b1d4dac,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,40.0,5.0,5.0,1.0,1e-05,0.23874784311865038,0.12591987443121966,299904267.58816814,-158174864.4209595,2512309754.6822643,2512308255.386218,2512309754.6822643,0.11937392155932519,-0.06295993721560983,True,9a0ceeb2178df78ecd23493d3861f6e4ce9f7b79e91215165f6442cb17a00744,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,40.0,5.0,5.0,2.0,1e-05,0.29945602418997636,0.14005189170219434,453466914.1183976,-212080886.7292906,3028604385.869466,3028172870.131462,3028604385.869466,0.14972801209498818,-0.07002594585109717,True,9a0ceeb2178df78ecd23493d3861f6e4ce9f7b79e91215165f6442cb17a00744,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,40.0,5.0,5.0,4.0,1e-05,0.4156249932379294,0.2703282774260055,-279683676.10728395,-181910153.66338462,1345846282.8638208,91042911.42509407,1345846282.8638208,-0.2078124966189647,-0.13516413871300276,True,9a0ceeb2178df78ecd23493d3861f6e4ce9f7b79e91215165f6442cb17a00744,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7,9e884fb0b0845da621d2612bdf1042e481b8df49
