theta_deg,target_extension_um,actual_extension_um,physical_path_extension_um,geometry_event_count,reference_opening_m,reaction_N_per_m,compliance_m2_per_N,elastic_energy_J_per_m,native_J_J_per_m2,native_J_signed_J_per_m2,native_KJ_MPa_sqrt_m,domain_metadata_json,F_over_U_N_per_m2,J_native_over_U2,KJ_native_over_U,wake_width_m,mesh_scale_m,tip_x_m,tip_y_m,mesh_fingerprint,damage_wake_fingerprint
40.0,0.0,0.0,0.0,0,1e-05,2178398.589212028,4.590528129022159e-12,10.891992946060196,888.3352775942284,888.3352775942284,19.8796690394288,"{""J"": 888.3352775942284, ""J_signed"": 888.3352775942284, ""KJ"": 19879669.0394288, ""KJ_MPa"": 19.8796690394288, ""n_active_elements"": 470.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217839858921.20276,8883352775942.283,1987966.90394288,2.769159822672732e-06,1.384579911336366e-06,0.0005,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,9a73ac2dedb244ae21bd0570908201e341e20845473ed145a11912c35b1d4dac
40.0,5.0,5.0,5.0,1,1e-05,2178281.4551270264,4.59077497834955e-12,10.891407275635217,873.9172008031393,873.9172008031393,19.71768112994075,"{""J"": 873.9172008031393, ""J_signed"": 873.9172008031393, ""KJ"": 19717681.129940752, ""KJ_MPa"": 19.71768112994075, ""n_active_elements"": 476.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217828145512.70264,8739172008031.392,1971768.1129940748,2.769159822672732e-06,1.384579911336366e-06,0.000505,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7
40.0,10.0,10.0,10.0,2,1e-05,2177971.5031570336,4.591428301749911e-12,10.889857515785245,859.9582092774356,859.9582092774356,19.559572958485152,"{""J"": 859.9582092774356, ""J_signed"": 859.9582092774356, ""KJ"": 19559572.958485153, ""KJ_MPa"": 19.559572958485152, ""n_active_elements"": 475.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217797150315.70334,8599582092774.3545,1955957.2958485151,2.769159822672732e-06,1.384579911336366e-06,0.00051,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76
40.0,15.000000000000002,15.000000000000002,15.0,3,1e-05,2177219.658932007,4.593013827968698e-12,10.886098294660119,846.533650155367,846.533650155367,19.406303021591228,"{""J"": 846.533650155367, ""J_signed"": 846.533650155367, ""KJ"": 19406303.021591228, ""KJ_MPa"": 19.406303021591228, ""n_active_elements"": 471.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217721965893.20068,8465336501553.669,1940630.3021591227,2.769159822672732e-06,1.384579911336366e-06,0.000515,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,fc7dec6825e4c0c074427981da1bf016d18e7996c6cee082bce03d4acf15cb4d
40.0,20.0,20.0,20.0,4,1e-05,2176565.2449365715,4.594394780153451e-12,10.88282622468294,833.5116253217062,833.5116253217062,19.256463290349608,"{""J"": 833.5116253217062, ""J_signed"": 833.5116253217062, ""KJ"": 19256463.290349606, ""KJ_MPa"": 19.256463290349608, ""n_active_elements"": 469.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217656524493.65714,8335116253217.061,1925646.3290349606,2.769159822672732e-06,1.384579911336366e-06,0.0005200000000000001,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,912ad33658abb14b8efcdec9597a706af92c47137ee27fe6c3f1252afb3350e9
40.0,25.0,25.0,25.0,5,1e-05,2175654.9599660444,4.5963170557872244e-12,10.878274799830322,820.9729407521593,820.9729407521593,19.111074999005304,"{""J"": 820.9729407521593, ""J_signed"": 820.9729407521593, ""KJ"": 19111074.999005303, ""KJ_MPa"": 19.111074999005304, ""n_active_elements"": 460.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217565495996.60443,8209729407521.592,1911107.4999005303,2.769159822672732e-06,1.384579911336366e-06,0.0005250000000000001,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,82c2cc073e6a585581cfba547c17939ee0ea538877aa408cad818c656b6b7f1a
40.0,30.000000000000004,30.000000000000004,30.0,6,1e-05,2174504.3346968465,4.598749168000223e-12,10.872521673484307,808.9741580859603,808.9741580859603,18.97090370848317,"{""J"": 808.9741580859603, ""J_signed"": 808.9741580859603, ""KJ"": 18970903.70848317, ""KJ_MPa"": 18.97090370848317, ""n_active_elements"": 458.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217450433469.68463,8089741580859.602,1897090.370848317,2.769159822672732e-06,1.384579911336366e-06,0.0005300000000000001,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,68c46aef480acc95b28b179793e95b8b8c0d3c6dba3530b45c5874598f6e17d9
40.0,35.00000000000001,35.00000000000001,35.0,7,1e-05,2172995.1171673373,4.601943152562511e-12,10.864975585836762,797.6024676793015,797.6024676793015,18.837095510238356,"{""J"": 797.6024676793015, ""J_signed"": 797.6024676793015, ""KJ"": 18837095.510238357, ""KJ_MPa"": 18.837095510238356, ""n_active_elements"": 459.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217299511716.7337,7976024676793.014,1883709.5510238355,2.769159822672732e-06,1.384579911336366e-06,0.0005350000000000001,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,36ccc446d053bd8e89f775ae6f3bdb9a0d78e49e512723a00cc62be061cc6ab2
40.0,40.0,40.0,40.0,8,1e-05,2172995.1171673373,4.601943152562511e-12,10.864975585836762,786.5745946362151,786.5745946362151,18.70641879009911,"{""J"": 786.5745946362151, ""J_signed"": 786.5745946362151, ""KJ"": 18706418.79009911, ""KJ_MPa"": 18.70641879009911, ""n_active_elements"": 458.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217299511716.7337,7865745946362.15,1870641.8790099109,2.769159822672732e-06,1.384579911336366e-06,0.0005400000000000001,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,36ccc446d053bd8e89f775ae6f3bdb9a0d78e49e512723a00cc62be061cc6ab2
40.0,45.0,45.0,45.0,9,1e-05,2166652.3559543253,4.615415099943615e-12,10.833261779771728,776.7776658686126,776.7776658686126,18.58955785509629,"{""J"": 776.7776658686126, ""J_signed"": 776.7776658686126, ""KJ"": 18589557.85509629, ""KJ_MPa"": 18.58955785509629, ""n_active_elements"": 456.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",216665235595.43253,7767776658686.125,1858955.785509629,2.769159822672732e-06,1.384579911336366e-06,0.0005450000000000001,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,2e28f429784789c32102f579875d0c3e68cafc35b15f8a582f15a5cbc541037f
