representation,h_tip_m,kappa,r_inner_m,r_outer_m,r_inner_over_h_tip,support_width_over_r_inner,root_clearance_m,exterior_clearance_m,patch_clearance_m,q_gradient_element_count,raw_q_gradient_support_overlap,exact_excluded_element_count,exact_mask_total,damage_skips,branch_cut_skips,line_of_sight_skips,final_active_element_count,active_angular_coverage_fraction,K_I_int,K_II_int,mode_II_to_mode_I,support_width_m,killed_region_energy_fraction,equilibrium_residual,conditioning
CONFORMING,1.25e-05,,0.00024,0.00026,19.2,0.08333333333333322,3.9999999999999996e-05,3.9999999999999996e-05,3.9999999999999996e-05,416,0,0,0,0,0,0,664,1.0,4388493.497131812,-7.118741803342509e-08,1.622137940501702e-14,0.0,0.0,2.3536690875443138e-14,4.00000000000002
CONFORMING,1.25e-05,,0.00025,0.00027,20.0,0.07999999999999999,2.999999999999997e-05,2.999999999999997e-05,2.999999999999997e-05,400,0,0,0,0,0,0,720,1.0,4388567.685573309,-7.091881238068311e-08,1.6159899416344194e-14,0.0,0.0,2.3536690875443138e-14,4.00000000000002
CONFORMING,1.25e-05,,0.00026,0.00028,20.799999999999997,0.07692307692307693,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,432,0,0,0,0,0,0,760,1.0,4388648.714417971,-6.747419631001482e-08,1.5374708868436592e-14,0.0,0.0,2.3536690875443138e-14,4.00000000000002
V12_FIXED,1.25e-05,1e-08,0.00024,0.00026,19.2,0.08333333333333322,3.9999999999999996e-05,3.9999999999999996e-05,3.9999999999999996e-05,416,16,16,196,0,0,0,648,0.9722222222222222,4325170.7052051285,-4.2127322343518415e-08,9.740036917576518e-15,2.500000000000001e-05,3.514448708917027e-08,2.636637928975587e-14,100000001.00000042
V12_FIXED,1.25e-05,1e-08,0.00025,0.00027,20.0,0.07999999999999999,2.999999999999997e-05,2.999999999999997e-05,2.999999999999997e-05,400,12,22,196,0,0,0,698,0.9722222222222222,4324895.270329352,-4.8637661894901224e-08,1.1245974492972485e-14,2.500000000000001e-05,3.514448708917027e-08,2.636637928975587e-14,100000001.00000042
V12_FIXED,1.25e-05,1e-08,0.00026,0.00028,20.799999999999997,0.07692307692307693,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,432,12,24,196,0,0,0,736,0.9722222222222222,4324690.728102017,-4.228724459141698e-08,9.77809680508082e-15,2.500000000000001e-05,3.514448708917027e-08,2.636637928975587e-14,100000001.00000042
V12_JOINT_P2,1.25e-05,2.5e-07,0.00024,0.00026,19.2,0.08333333333333322,3.9999999999999996e-05,3.9999999999999996e-05,3.9999999999999996e-05,416,16,16,196,0,0,0,648,0.9722222222222222,4325175.956687379,1.4711362653761072e-07,3.4013327552639965e-14,2.500000000000001e-05,8.786065348820429e-07,2.706249100800101e-14,4000001.0000000168
V12_JOINT_P2,1.25e-05,2.5e-07,0.00025,0.00027,20.0,0.07999999999999999,2.999999999999997e-05,2.999999999999997e-05,2.999999999999997e-05,400,12,22,196,0,0,0,698,0.9722222222222222,4324900.844620134,1.406676333362522e-07,3.252505395845841e-14,2.500000000000001e-05,8.786065348820429e-07,2.706249100800101e-14,4000001.0000000168
V12_JOINT_P2,1.25e-05,2.5e-07,0.00026,0.00028,20.799999999999997,0.07692307692307693,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,432,12,24,196,0,0,0,736,0.9722222222222222,4324696.588023744,1.3553336838629937e-07,3.13393935569094e-14,2.500000000000001e-05,8.786065348820429e-07,2.706249100800101e-14,4000001.0000000168
CONFORMING,6.25e-06,,0.00024,0.00026,38.4,0.08333333333333322,3.9999999999999996e-05,3.9999999999999996e-05,3.9999999999999996e-05,1608,0,0,0,0,0,0,2168,1.0,4381369.515760277,-6.036303750372805e-07,1.377720762574246e-13,0.0,0.0,5.298697801295777e-14,4.000000000000035
