representation,h_tip_m,kappa,delta_a_m,G_energy,G_compliance,energy_compliance_error,K_G
CONFORMING,1.25e-05,,2.5e-05,81.60612932712738,81.51265895009415,0.0011453842720384536,4339606.398151283
V12_FIXED,1.25e-05,1e-08,2.5e-05,87.80850893462532,87.67731167035855,0.001494129280391861,4501499.979099924
V12_JOINT_P2,1.25e-05,2.5e-07,2.5e-05,87.80818518080241,87.67698965369341,0.0014941150057806156,4501491.680478366
CONFORMING,6.25e-06,,2.5e-05,82.2201255481289,82.12343894083642,0.001175948183585367,4355901.184197282
V12_FIXED,6.25e-06,1e-08,2.5e-05,85.55890759830639,85.44298313113066,0.001354908219726094,4443462.984195644
V12_JOINT_P2,6.25e-06,6.25e-08,2.5e-05,85.55876867245918,85.4428448568315,0.0013549028045444105,4443459.37666881
CONFORMING,3.125e-06,,2.5e-05,82.52319280030257,82.42487900065586,0.001191347502569522,4363921.8282580115
V12_FIXED,3.125e-06,1e-08,2.5e-05,84.26746077602645,84.15935802885463,0.0012828527901078248,4409800.120431758
V12_JOINT_P2,3.125e-06,1.5625e-08,2.5e-05,84.26743140130269,84.15932878227795,0.0012828517165774573,4409799.351827421
