Kmax_left_MPa_sqrt_m,Kmax_right_MPa_sqrt_m,local_two_point_log_slope,rate_quantity,not_a_broad_Paris_exponent
3.75,6.0,4.06542948195295,CUMULATIVE_SHORT_GROWTH_DA_DN,True
6.0,12.75,2.167801320714687,CUMULATIVE_SHORT_GROWTH_DA_DN,True
