event_index,accelerated_cycles,explicit_cycles,cycle_relative_difference,threshold_exact,event_size_exact,radius_relative_difference,backstress_relative_difference
0,533.4276847721353,533.4382773665776,1.9857207275400382e-05,True,True,1.240400618482602e-05,0.01808577831019475
1,842.8123452434235,842.8275377607665,1.8025653722013358e-05,True,True,5.19301638967513e-06,0.012145778804528128
2,906.2846222280793,906.2999077032755,1.6865802441586264e-05,True,True,5.067356563082808e-07,0.002954984349487955
3,1036.6065190911097,1036.6221534592198,1.5082031633166786e-05,True,True,1.9385112291123654e-06,0.006212962801019641
4,3156.112276572805,3157.0701455166113,0.00030340439067105964,True,True,0.0,5.516283859377281e-126
5,7134.826281993995,7140.415348786115,0.0007827369304322714,True,True,0.0,0.0
