family,candidate,fraction,deltaK_MPa_sqrt_m,seed,maximum_cycles
DBTT,v913_zeroD_sobol_0202500,1.075,22.602205725129203,1720,5000
DBTT,v913_zeroD_sobol_0202500,1.09,22.917585339898448,1720,5000
Peak-T,v913_zeroD_sobol_0242980,1.11,23.63139657620575,1720,5000
Peak-T,v913_zeroD_sobol_0242980,1.15,24.48297843480775,1720,5000
weak-T,v913_zeroD_sobol_0129902,1.1,13.973229120127668,2001726,5000
weak-T,v913_zeroD_sobol_0129902,1.15,14.608375898315288,2001726,5000
ceramic-like,v913_zeroD_sobol_0077080,1.15,14.09839946064412,3001729,5000
ceramic-like,v913_zeroD_sobol_0077080,1.2,14.711373350237343,3001729,5000
