family,candidate,fraction,deltaK_MPa_sqrt_m,seed,maximum_cycles,mode
weak-T,v913_zeroD_sobol_0129902,1.16,14.73540525395281,2001726,100000,accelerated
weak-T,v913_zeroD_sobol_0129902,1.18,14.98946396522786,2001726,100000,accelerated
weak-T,v913_zeroD_sobol_0129902,1.2,15.24352267650291,2001726,100000,accelerated
ceramic-like,v913_zeroD_sobol_0077080,1.15,14.09839946064412,3001729,100000,accelerated
ceramic-like,v913_zeroD_sobol_0077080,1.175,14.404886405440733,3001729,100000,accelerated
ceramic-like,v913_zeroD_sobol_0077080,1.2,14.711373350237343,3001729,100000,accelerated
ceramic-like,v913_zeroD_sobol_0077080,1.225,15.017860295033957,3001729,100000,accelerated
ceramic-like,v913_zeroD_sobol_0077080,1.25,15.324347239830567,3001729,100000,accelerated
