family,candidate,fraction,deltaK_MPa_sqrt_m,seed,maximum_cycles
DBTT,v913_zeroD_sobol_0202500,1.08,22.70733226338562,1720,5000
Peak-T,v913_zeroD_sobol_0242980,1.13,24.05718750550675,1720,5000
Peak-T,v913_zeroD_sobol_0242980,1.17,24.908769364108757,1720,5000
weak-T,v913_zeroD_sobol_0129902,1.12,14.227287831402716,2001726,5000
weak-T,v913_zeroD_sobol_0129902,1.14,14.481346542677763,2001726,5000
weak-T,v913_zeroD_sobol_0129902,1.16,14.73540525395281,2001726,5000
weak-T,v913_zeroD_sobol_0129902,1.18,14.98946396522786,2001726,5000
weak-T,v913_zeroD_sobol_0129902,1.2,15.24352267650291,2001726,5000
ceramic-like,v913_zeroD_sobol_0077080,1.175,14.404886405440733,3001729,5000
ceramic-like,v913_zeroD_sobol_0077080,1.225,15.017860295033957,3001729,5000
ceramic-like,v913_zeroD_sobol_0077080,1.25,15.324347239830567,3001729,5000
