family,candidate,fraction,deltaK_MPa_sqrt_m,seed,maximum_cycles,mode
A,v914_endurance_knee_0462,5,49.520642708520275,1720,5000,explicit
A,v914_endurance_knee_0462,7,69.32889930642799,1720,5000,explicit
B,v914_endurance_knee_0658,1.25,28.936455161696313,1720,500,explicit
B,v914_endurance_knee_0658,1.5,34.723746194035575,1720,500,explicit
C,v914_endurance_knee_0554,1.5,20.046641938213724,1720,100,explicit
C,v914_endurance_knee_0554,2,26.728855917618296,1720,100,explicit
D,v914_endurance_knee_0133,2.5,61.66100005372588,1720,5000,explicit
D,v914_endurance_knee_0133,3,73.99320006447105,1720,5000,explicit
D,v914_endurance_knee_0133,4,98.6576000859614,1720,5000,explicit
