candidate_id,integration_role,Kmax_MPa_sqrt_m,DeltaK_MPa_sqrt_m,seed,backstress_Pa,committed_advance_m,cumulative_extension_m,cycles,event_index,event_length_factor,explicit_cycles,front_width_m,interval_cycles,mobile_m2,periodic_projection_cycles,phase_fraction,physical_hazard_action,proposed_advance_m,retained_m2,shielding_MPa_sqrt_m,threshold_action,tip_radius_m
P25_TJBSV2_S_002987,QUALIFIED_ACCELERATED_OR_EXACT,3.75,3.375,1720,1484672.4883681831,2.2973400956248734e-06,2.2973400956248734e-06,3607.5709095299594,0,0.45946801912497465,51,9.997292017111497e-06,3607.5709095299594,5081206346.901388,3556.0,0.570909529959259,0.3753690264272723,2.2973400956248734e-06,1.606163710960823e-42,3.5824224085823298e-56,0.3753690264272723,1.0000003811807246e-06
P25_TJBSV2_S_002987,QUALIFIED_ACCELERATED_OR_EXACT,3.75,3.375,1720,1130681.9768224922,2.2973400956248734e-06,4.594680191249747e-06,5700.032084893177,1,0.45946801912497465,36,9.99842913223498e-06,2092.4611753632175,2947042840.068067,2056.0,0.4611753632183877,0.2176813454772713,2.2973400956248734e-06,1.2912963849715843e-42,2.8801354893494993e-56,0.2176813454772713,1.0000002210805562e-06
P25_TJBSV2_S_002987,QUALIFIED_ACCELERATED_OR_EXACT,3.75,3.375,1720,512268.56172397,2.2973400956248734e-06,6.89202028687462e-06,6129.524757176433,2,0.45946801912497465,50,9.999677495759896e-06,429.49267228325607,604924142.4549274,379.0,0.4926722832561907,0.04468101397612416,2.2973400956248734e-06,3.3221493855792746e-43,7.409794108993853e-57,0.04468101397612416,1.0000000453800548e-06
P25_TJBSV2_S_002987,QUALIFIED_ACCELERATED_OR_EXACT,3.75,3.375,1720,733499.9283459842,2.2973400956248734e-06,9.189360382499494e-06,7010.050143274039,3,0.45946801912497465,24,9.99933882243452e-06,880.5253860976063,1240239792.9506018,856.0,0.5253860976063578,0.09162504074279443,2.2973400956248734e-06,6.551320736172443e-43,1.4612207990326526e-56,0.09162504074279443,1.0000000930400125e-06
P25_TJBSV2_S_002987,QUALIFIED_ACCELERATED_OR_EXACT,3.75,3.375,1720,1.0517081137987294e-149,6.847168980152932e-06,1.6036529362652427e-05,21333.6080563357,4,1.3694337960305862,37,1e-05,14323.55791306166,5.099480725249753e-301,14286.0,0.5579130616619565,1.4902384268643758,6.847168980152932e-06,0.0,0.0,1.4902384268643758,1e-06
P25_TJBSV2_S_002987,QUALIFIED_ACCELERATED_OR_EXACT,3.75,3.375,1720,0.0,1.2851577741021596e-05,2.8888107103674025e-05,48219.066543949215,5,2.570315548204319,50,1e-05,26885.458487613516,0.0,26835.0,0.4584876135210365,2.797055987813155,1.2851577741021596e-05,0.0,0.0,2.797055987813155,1e-06
P25_TJBSV2_S_002987,EXPLICIT_CYCLE_OVERLAP,6.0,5.4,1720,44741476.36999126,2.2973400956248734e-06,2.2973400956248734e-06,533.4382773665776,0,0.45946801912497465,533,8.186681860566176e-06,533.4382773665776,4614515738243.781,0.0,0.4382773665775872,0.3753690264272723,2.2973400956248734e-06,2.482698914991754e-34,5.53746555605404e-48,0.3753690264272723,1.0003461706399547e-06
P25_TJBSV2_S_002987,EXPLICIT_CYCLE_OVERLAP,6.0,5.4,1720,35270921.151482515,2.2973400956248734e-06,4.594680191249747e-06,842.8275377607665,1,0.45946801912497465,309,8.751110597225363e-06,309.3892603941889,2867735642463.9795,0.0,0.3892603941888524,0.2176813454772713,2.2973400956248734e-06,6.423319159314076e-36,1.4326710494559439e-49,0.2176813454772713,1.000215131107766e-06
P25_TJBSV2_S_002987,EXPLICIT_CYCLE_OVERLAP,6.0,5.4,1720,22251604.520479515,2.2973400956248734e-06,6.89202028687462e-06,906.2999077032755,2,0.45946801912497465,63,9.44192151675817e-06,63.472369942508976,1141374525364.638,0.0,0.4723699425089478,0.044681013976124166,2.2973400956248734e-06,1.1731427868760434e-34,2.6166031392014013e-48,0.04468101397612416,1.0000856233616452e-06
P25_TJBSV2_S_002987,EXPLICIT_CYCLE_OVERLAP,6.0,5.4,1720,30084623.406415783,2.2973400956248734e-06,9.189360382499494e-06,1036.6221534592198,3,0.45946801912497465,130,9.044407063495636e-06,130.32224575594432,2086386043401.0652,0.0,0.3222457559444152,0.09162504074279443,2.2973400956248734e-06,3.4794459749293637e-38,7.760631836577822e-52,0.09162504074279443,1.0001565160100877e-06
