candidate_id,integration_role,Kmax_MPa_sqrt_m,DeltaK_MPa_sqrt_m,R,frequency_Hz,temperature_K,seed,status,accepted_event_count,final_cycles,final_extension_m,cumulative_short_growth_da_dN_m_per_cycle,developed_da_dN_m_per_cycle,developed_rate_status,dmd_accepted_segments,dmd_projected_cycles,raw_result_sha256
P25_TJBSV2_S_002987,QUALIFIED_ACCELERATED_OR_EXACT,3.75,3.375,0.1,1000.0,300.0,1720,growth_target_reached,6,48219.066543949215,2.8888107103674025e-05,5.991013342687585e-10,,UNRESOLVED_ONLY_ONE_POINT_BEYOND_20UM,13,47968.0,ce931565bb7f28e20a045386b99212c62f26abf9cc4aa476a60e902b47ea087b
P25_TJBSV2_S_002987,QUALIFIED_ACCELERATED_OR_EXACT,6.0,5.4,0.1,1000.0,300.0,1720,growth_target_reached,6,7134.826281993995,2.8888107103674025e-05,4.048887241526582e-09,,UNRESOLVED_ONLY_ONE_POINT_BEYOND_20UM,16,6671.0,3fc76b227e5f2d602b23a43d5b003d53c2545d17a067bf3b9b297bf0c8b4bbd4
P25_TJBSV2_S_002987,QUALIFIED_ACCELERATED_OR_EXACT,12.75,11.475,0.1,1000.0,300.0,1720,growth_target_reached,6,1392.3046484622487,2.8888107103674025e-05,2.074840957801866e-08,,UNRESOLVED_ONLY_ONE_POINT_BEYOND_20UM,5,1157.0,a5bbbaa5709cbb05bdb486b51d99ef3b9a5ab96b216b0607b8153c2270365d73
