candidate_id,process,temperature_K,max_abs_residual_m3_per_K,passed
P25_TJBS_S_039907,emission,1050,1.4484910217864437e-42,True
P25_TJBS_S_039907,cleavage,1200,1.6390830491130149e-40,True
P25_TJBS_S_039907,emission,1200,1.4484910217864437e-42,True
P25_TJBS_S_047409,cleavage,300,2.422078709719931e-40,True
P25_TJBS_S_047409,emission,300,1.2647331708609616e-41,True
P25_TJBS_S_047409,cleavage,450,2.4276839035772303e-40,True
P25_TJBS_S_047409,emission,450,1.2507201862177134e-41,True
P25_TJBS_S_047409,cleavage,600,2.4276839035772303e-40,True
P25_TJBS_S_047409,emission,600,1.2437136938960894e-41,True
P25_TJBS_S_047409,cleavage,750,2.4052631281480333e-40,True
P25_TJBS_S_047409,emission,750,1.222694216931217e-41,True
P25_TJBS_S_047409,cleavage,900,2.4052631281480333e-40,True
P25_TJBS_S_047409,emission,900,1.2647331708609616e-41,True
P25_TJBS_S_047409,cleavage,1050,2.4276839035772303e-40,True
P25_TJBS_S_047409,emission,1050,1.2367072015744653e-41,True
P25_TJBS_S_047409,cleavage,1200,2.4501046790064274e-40,True
P25_TJBS_S_047409,emission,1200,1.1246033244284799e-41,True
P25_TJBS_S_016645,cleavage,300,1.1219789551482616e-40,True
P25_TJBS_S_016645,emission,300,3.718958543164044e-42,True
P25_TJBS_S_016645,cleavage,450,1.1443997305774587e-40,True
P25_TJBS_S_016645,emission,450,3.683926081555924e-42,True
P25_TJBS_S_016645,cleavage,600,1.1331893428628601e-40,True
P25_TJBS_S_016645,emission,600,3.701442312359984e-42,True
P25_TJBS_S_016645,cleavage,750,1.1331893428628601e-40,True
P25_TJBS_S_016645,emission,750,3.7539910047721646e-42,True
P25_TJBS_S_016645,cleavage,900,1.1331893428628601e-40,True
P25_TJBS_S_016645,emission,900,3.7539910047721646e-42,True
P25_TJBS_S_016645,cleavage,1050,1.1219789551482616e-40,True
P25_TJBS_S_016645,emission,1050,3.908484160463976e-42,True
P25_TJBS_S_016645,cleavage,1200,1.1443997305774587e-40,True
P25_TJBS_S_016645,emission,1200,3.5087637735153216e-42,True
P25_TJBS_S_064760,cleavage,300,2.2293653573665457e-40,True
P25_TJBS_S_064760,emission,300,7.757008073356803e-43,True
P25_TJBS_S_064760,cleavage,450,2.240575745081144e-40,True
P25_TJBS_S_064760,emission,450,1.3362201930656071e-42,True
P25_TJBS_S_064760,cleavage,600,2.2517861327957427e-40,True
P25_TJBS_S_064760,emission,600,1.0559605002006437e-42,True
P25_TJBS_S_064760,cleavage,750,2.2517861327957427e-40,True
P25_TJBS_S_064760,emission,750,1.0559605002006437e-42,True
P25_TJBS_S_064760,cleavage,900,2.240575745081144e-40,True
P25_TJBS_S_064760,emission,900,1.3362201930656071e-42,True
P25_TJBS_S_064760,cleavage,1050,2.2293653573665457e-40,True
P25_TJBS_S_064760,emission,1050,1.0559605002006437e-42,True
P25_TJBS_S_064760,cleavage,1200,2.234970551223845e-40,True
P25_TJBS_S_064760,emission,1200,1.0559605002006437e-42,True
P40_TJBS_S_037582,cleavage,300,1.5368353360875891e-40,True
P40_TJBS_S_037582,emission,300,3.3396883556791304e-42,True
P40_TJBS_S_037582,cleavage,450,1.5312301422302899e-40,True
P40_TJBS_S_037582,emission,450,3.059428662814167e-42,True
P40_TJBS_S_037582,cleavage,600,1.5312301422302899e-40,True
P40_TJBS_S_037582,emission,600,3.059428662814167e-42,True
P40_TJBS_S_037582,cleavage,750,1.5312301422302899e-40,True
P40_TJBS_S_037582,emission,750,2.7791689699492036e-42,True
P40_TJBS_S_037582,cleavage,900,1.5312301422302899e-40,True
P40_TJBS_S_037582,emission,900,3.2696234324628896e-42,True
P40_TJBS_S_037582,cleavage,1050,1.5312301422302899e-40,True
P40_TJBS_S_037582,emission,1050,2.8317176623613842e-42,True
P40_TJBS_S_037582,cleavage,1200,1.5396379330162388e-40,True
P40_TJBS_S_037582,emission,1200,2.8492338931654445e-42,True
P40_TJBS_S_040211,cleavage,300,7.46014080416074e-42,True
P40_TJBS_S_040211,emission,300,5.4589771206623757e-42,True
P40_TJBS_S_040211,cleavage,450,6.899621418430813e-42,True
P40_TJBS_S_040211,emission,450,5.4589771206623757e-42,True
P40_TJBS_S_040211,cleavage,600,6.899621418430813e-42,True
P40_TJBS_S_040211,emission,600,5.494009582270496e-42,True
P40_TJBS_S_040211,cleavage,750,8.020660189890667e-42,True
P40_TJBS_S_040211,emission,750,5.388912197446135e-42,True
P40_TJBS_S_040211,cleavage,900,8.020660189890667e-42,True
P40_TJBS_S_040211,emission,900,5.318847274229894e-42,True
P40_TJBS_S_040211,cleavage,1050,7.46014080416074e-42,True
P40_TJBS_S_040211,emission,1050,5.388912197446135e-42,True
P40_TJBS_S_040211,cleavage,1200,6.899621418430813e-42,True
P40_TJBS_S_040211,emission,1200,5.388912197446135e-42,True
P40_TJBS_S_008683,cleavage,300,6.857371722349207e-43,True
P40_TJBS_S_008683,emission,300,5.073663833550061e-42,True
P40_TJBS_S_008683,cleavage,450,6.8135811453390566e-43,True
P40_TJBS_S_008683,emission,450,5.00359891033382e-42,True
P40_TJBS_S_008683,cleavage,600,6.6384188372984544e-43,True
P40_TJBS_S_008683,emission,600,5.0123570257358504e-42,True
P40_TJBS_S_008683,cleavage,750,6.8135811453390566e-43,True
P40_TJBS_S_008683,emission,750,4.9685664487257e-42,True
P40_TJBS_S_008683,cleavage,900,6.934429453331756e-43,True
P40_TJBS_S_008683,emission,900,5.073663833550061e-42,True
P40_TJBS_S_008683,cleavage,1050,1.1185509193034645e-42,True
P40_TJBS_S_008683,emission,1050,5.143728756766302e-42,True
P40_TJBS_S_008683,cleavage,1200,6.934429453331756e-43,True
P40_TJBS_S_008683,emission,1200,5.2838586031987837e-42,True
P40_TJBS_S_049735,cleavage,300,8.575846978105182e-41,True
P40_TJBS_S_049735,emission,300,1.089219443439853e-42,True
P40_TJBS_S_049735,cleavage,450,8.51979503953219e-41,True
P40_TJBS_S_049735,emission,450,1.3694791363048164e-42,True
P40_TJBS_S_049735,cleavage,600,8.575846978105182e-41,True
P40_TJBS_S_049735,emission,600,1.089219443439853e-42,True
P40_TJBS_S_049735,cleavage,750,8.631898916678175e-41,True
P40_TJBS_S_049735,emission,750,1.3694791363048164e-42,True
P40_TJBS_S_049735,cleavage,900,8.575846978105182e-41,True
P40_TJBS_S_049735,emission,900,1.3694791363048164e-42,True
P40_TJBS_S_049735,cleavage,1050,8.491769070245693e-41,True
P40_TJBS_S_049735,emission,1050,1.9299985220347433e-42,True
P40_TJBS_S_049735,cleavage,1200,8.631898916678175e-41,True
P40_TJBS_S_049735,emission,1200,1.3694791363048164e-42,True
P40_TJBS_S_053775,cleavage,300,1.458054336423248e-41,True
P40_TJBS_S_053775,emission,300,3.495998820316863e-42,True
P40_TJBS_S_053775,cleavage,450,1.4020023978502552e-41,True
P40_TJBS_S_053775,emission,450,3.6361286667493445e-42,True
P40_TJBS_S_053775,cleavage,600,1.3459504592772626e-41,True
P40_TJBS_S_053775,emission,600,3.355868973884381e-42,True
P40_TJBS_S_053775,cleavage,750,1.3459504592772626e-41,True
P40_TJBS_S_053775,emission,750,3.6361286667493445e-42,True
P40_TJBS_S_053775,cleavage,900,1.458054336423248e-41,True
P40_TJBS_S_053775,emission,900,3.6361286667493445e-42,True
P40_TJBS_S_053775,cleavage,1050,1.3459504592772626e-41,True
P40_TJBS_S_053775,emission,1050,3.6361286667493445e-42,True
P40_TJBS_S_053775,cleavage,1200,1.458054336423248e-41,True
P40_TJBS_S_053775,emission,1200,3.0756092810194176e-42,True
P40_TJBS_S_064772,cleavage,300,6.783847890931377e-41,True
P40_TJBS_S_064772,emission,300,1.4289960042837373e-41,True
P40_TJBS_S_064772,cleavage,450,6.615692075212399e-41,True
P40_TJBS_S_064772,emission,450,1.4289960042837373e-41,True
P40_TJBS_S_064772,cleavage,600,6.671744013785392e-41,True
P40_TJBS_S_064772,emission,600,1.414983019640489e-41,True
P40_TJBS_S_064772,cleavage,750,6.559640136639406e-41,True
P40_TJBS_S_064772,emission,750,1.4570219735702336e-41,True
P40_TJBS_S_064772,cleavage,900,6.727795952358384e-41,True
P40_TJBS_S_064772,emission,900,1.3449180964242483e-41,True
P40_TJBS_S_064772,cleavage,1050,6.615692075212399e-41,True
P40_TJBS_S_064772,emission,1050,1.4570219735702336e-41,True
P40_TJBS_S_064772,cleavage,1200,6.615692075212399e-41,True
P40_TJBS_S_064772,emission,1200,1.5130739121432263e-41,True
