candidate_id,crossing_temperatures_K,crossing_stratum
P25_TJBS_S_014188,[],NO_CROSSING_IN_RANGE
P25_TJBS_S_016645,[],NO_CROSSING_IN_RANGE
P25_TJBS_S_028493,[],NO_CROSSING_IN_RANGE
P25_TJBS_S_039907,[],NO_CROSSING_IN_RANGE
P25_TJBS_S_047409,[],NO_CROSSING_IN_RANGE
P25_TJBS_S_064760,[],NO_CROSSING_IN_RANGE
P40_TJBS_S_008683,[],NO_CROSSING_IN_RANGE
P40_TJBS_S_037582,[],NO_CROSSING_IN_RANGE
P40_TJBS_S_040211,[],NO_CROSSING_IN_RANGE
P40_TJBS_S_049735,[],NO_CROSSING_IN_RANGE
P40_TJBS_S_053775,[],NO_CROSSING_IN_RANGE
P40_TJBS_S_064772,[],NO_CROSSING_IN_RANGE
