candidate_id,process,temperature_K,stress_Pa,G_eV
P25_TJBS_S_014188,cleavage,300,0.0,1.9171388242393732
P25_TJBS_S_014188,cleavage,300,1555115924.853741,0.9827382541607548
P25_TJBS_S_014188,cleavage,300,4177450406.905994,0.4240518920660049
P25_TJBS_S_014188,cleavage,300,4207016993.423555,0.4238474196387313
P25_TJBS_S_014188,cleavage,300,4472604773.150552,0.42204206456954757
P25_TJBS_S_014188,cleavage,300,4520440812.817024,0.42172315675636296
P25_TJBS_S_014188,cleavage,300,6770876039.721765,0.40926113802444297
P25_TJBS_S_014188,cleavage,300,7177980786.738352,0.4075625335151226
P25_TJBS_S_014188,cleavage,300,15000000000.0,0.39580072966494473
P25_TJBS_S_014188,cleavage,300,30000000000.0,0.39529699030667953
P25_TJBS_S_014188,emission,300,0.0,1.6206148624420167
P25_TJBS_S_014188,emission,300,1555115924.853741,1.1892674812898427
P25_TJBS_S_014188,emission,300,4177450406.905994,0.15955193818177005
P25_TJBS_S_014188,emission,300,4207016993.423555,0.15515908610275256
P25_TJBS_S_014188,emission,300,4472604773.150552,0.1216184302140184
P25_TJBS_S_014188,emission,300,4520440812.817024,0.1166131816022176
P25_TJBS_S_014188,emission,300,6770876039.721765,0.04886786120663432
P25_TJBS_S_014188,emission,300,7177980786.738352,0.04827751412161442
P25_TJBS_S_014188,emission,300,15000000000.0,0.04792593700990317
P25_TJBS_S_014188,emission,300,30000000000.0,0.04792593700990316
P25_TJBS_S_014188,cleavage,450,0.0,2.086862748279522
P25_TJBS_S_014188,cleavage,450,1555115924.853741,1.231194531490719
P25_TJBS_S_014188,cleavage,450,4177450406.905994,0.6225908545535296
P25_TJBS_S_014188,cleavage,450,4207016993.423555,0.6210714275973164
P25_TJBS_S_014188,cleavage,450,4472604773.150552,0.6076559016301746
P25_TJBS_S_014188,cleavage,450,4520440812.817024,0.6052861096031487
P25_TJBS_S_014188,cleavage,450,6770876039.721765,0.512681314704454
P25_TJBS_S_014188,cleavage,450,7177980786.738352,0.5000590481533126
P25_TJBS_S_014188,cleavage,450,15000000000.0,0.4126575238405181
P25_TJBS_S_014188,cleavage,450,30000000000.0,0.4089142555179419
P25_TJBS_S_014188,emission,450,0.0,1.5591597584764458
P25_TJBS_S_014188,emission,450,1555115924.853741,1.1231971194989858
P25_TJBS_S_014188,emission,450,4177450406.905994,0.0824640000109338
P25_TJBS_S_014188,emission,450,4207016993.423555,0.07802414603548923
P25_TJBS_S_014188,emission,450,4472604773.150552,0.044124617504148034
P25_TJBS_S_014188,emission,450,4520440812.817024,0.03906581457897361
P25_TJBS_S_014188,emission,450,6770876039.721765,-0.02940435574904017
P25_TJBS_S_014188,emission,450,7177980786.738352,-0.03000101933005106
P25_TJBS_S_014188,emission,450,15000000000.0,-0.030356358187137188
P25_TJBS_S_014188,emission,450,30000000000.0,-0.030356358187137195
P25_TJBS_S_014188,cleavage,600,0.0,2.25658667231967
P25_TJBS_S_014188,cleavage,600,1555115924.853741,1.479650808820683
P25_TJBS_S_014188,cleavage,600,4177450406.905994,0.8211298170410541
P25_TJBS_S_014188,cleavage,600,4207016993.423555,0.8182954355559013
P25_TJBS_S_014188,cleavage,600,4472604773.150552,0.7932697386908016
P25_TJBS_S_014188,cleavage,600,4520440812.817024,0.7888490624499345
P25_TJBS_S_014188,cleavage,600,6770876039.721765,0.616101491384465
P25_TJBS_S_014188,cleavage,600,7177980786.738352,0.5925555627915027
P25_TJBS_S_014188,cleavage,600,15000000000.0,0.4295143180160915
P25_TJBS_S_014188,cleavage,600,30000000000.0,0.42253152072920425
P25_TJBS_S_014188,emission,600,0.0,1.497704654510875
P25_TJBS_S_014188,emission,600,1555115924.853741,1.057126757708129
P25_TJBS_S_014188,emission,600,4177450406.905994,0.005376061840097562
P25_TJBS_S_014188,emission,600,4207016993.423555,0.0008892059682258924
P25_TJBS_S_014188,emission,600,4472604773.150552,-0.03336919520572233
P25_TJBS_S_014188,emission,600,4520440812.817024,-0.03848155244427039
P25_TJBS_S_014188,emission,600,6770876039.721765,-0.10767657270471466
P25_TJBS_S_014188,emission,600,7177980786.738352,-0.10827955278171654
P25_TJBS_S_014188,emission,600,15000000000.0,-0.10863865338417755
P25_TJBS_S_014188,emission,600,30000000000.0,-0.10863865338417755
P25_TJBS_S_014188,cleavage,750,0.0,2.426310596359819
P25_TJBS_S_014188,cleavage,750,1555115924.853741,1.7281070861506471
P25_TJBS_S_014188,cleavage,750,4177450406.905994,1.0196687795285788
P25_TJBS_S_014188,cleavage,750,4207016993.423555,1.0155194435144863
P25_TJBS_S_014188,cleavage,750,4472604773.150552,0.9788835757514287
P25_TJBS_S_014188,cleavage,750,4520440812.817024,0.9724120152967202
P25_TJBS_S_014188,cleavage,750,6770876039.721765,0.719521668064476
P25_TJBS_S_014188,cleavage,750,7177980786.738352,0.6850520774296927
P25_TJBS_S_014188,cleavage,750,15000000000.0,0.44637111219166486
P25_TJBS_S_014188,cleavage,750,30000000000.0,0.43614878594046663
P25_TJBS_S_014188,emission,750,0.0,1.4362495505453041
P25_TJBS_S_014188,emission,750,1555115924.853741,0.9910563959172721
P25_TJBS_S_014188,emission,750,4177450406.905994,-0.0717118763307387
P25_TJBS_S_014188,emission,750,4207016993.423555,-0.07624573409903745
P25_TJBS_S_014188,emission,750,4472604773.150552,-0.11086300791559271
P25_TJBS_S_014188,emission,750,4520440812.817024,-0.11602891946751438
P25_TJBS_S_014188,emission,750,6770876039.721765,-0.18594878966038914
P25_TJBS_S_014188,emission,750,7177980786.738352,-0.186558086233382
P25_TJBS_S_014188,emission,750,15000000000.0,-0.18692094858121794
P25_TJBS_S_014188,emission,750,30000000000.0,-0.18692094858121794
P25_TJBS_S_014188,cleavage,900,0.0,2.5960345203999675
P25_TJBS_S_014188,cleavage,900,1555115924.853741,1.976563363480611
P25_TJBS_S_014188,cleavage,900,4177450406.905994,1.2182077420161035
P25_TJBS_S_014188,cleavage,900,4207016993.423555,1.2127434514730715
P25_TJBS_S_014188,cleavage,900,4472604773.150552,1.1644974128120558
P25_TJBS_S_014188,cleavage,900,4520440812.817024,1.1559749681435059
P25_TJBS_S_014188,cleavage,900,6770876039.721765,0.8229418447444871
P25_TJBS_S_014188,cleavage,900,7177980786.738352,0.7775485920678826
P25_TJBS_S_014188,cleavage,900,15000000000.0,0.46322790636723826
P25_TJBS_S_014188,cleavage,900,30000000000.0,0.44976605115172896
P25_TJBS_S_014188,emission,900,0.0,1.3747944465797333
P25_TJBS_S_014188,emission,900,1555115924.853741,0.9249860341264153
P25_TJBS_S_014188,emission,900,4177450406.905994,-0.14879981450157492
P25_TJBS_S_014188,emission,900,4207016993.423555,-0.15338067416630077
P25_TJBS_S_014188,emission,900,4472604773.150552,-0.18835682062546305
P25_TJBS_S_014188,emission,900,4520440812.817024,-0.19357628649075836
